ec_id,Division,Polling Place Name,Premise_Address_Line_1,Premise_Address_Line_2,Premise_Locality,state,Premise_Postcode,Location_Within_Premise,Access_To_Location,Disabled_Access,VI_Vote_service,Premise Latitude,Premise Longitude,Premise Name
,Franklin,Risdon Vale,2 Heather Rd,,Risdon Vale,TAS,7016,,,Assistance,,-42.81283,147.35367,Risdon Vale Primary School
,Franklin,Rokeby,1 Chipmans Rd,,Rokeby,TAS,7019,Foyer,,Assistance,,-42.900608,147.439002,Emmanuel Christian School
,Franklin,Sandfly,811 Sandfly Rd,,Sandfly,TAS,7150,,,Assistance,,-42.98497,147.19567,Sandfly Hall
,Franklin,Sandford,949 South Arm Rd,,Sandford,TAS,7020,,,None,,-42.94002,147.49566,Sandford Hall
,Franklin,Snug,2208 Channel Hwy,,Snug,TAS,7054,Hall,,Assistance,,-43.06542,147.25411,Snug Primary School
,Franklin,South Arm,32 Harmony Lane,,South Arm,TAS,7022,Gymnasium,,Assistance,,-43.02613,147.42013,South Arm Primary School
,Franklin,Southport,8606 Huon Hwy,,Southport,TAS,7109,,,Assistance,,-43.415763,146.961547,Southport Community Centre
,Franklin,Warrane,213 Cambridge Rd,,Warrane,TAS,7018,Hall,,Assistance,,-42.86044,147.38279,Warrane Primary School
,Franklin,Woodbridge,3445 Channel Hwy,,Woodbridge,TAS,7162,,,Assistance,,-43.15999,147.23914,Woodbridge Hall
,Lyons,Avoca,3 Falmouth St,,Avoca,TAS,7213,,,Assistance,,-41.78247345,147.7192787,Avoca War Memorial Hall
,Lyons,Bagdad,46-48 School Rd,,Bagdad,TAS,7030,Hall,,Assistance,,-42.62434,147.22359,Bagdad Primary School
,Lyons,Bicheno,78 Burgess St,,Bicheno,TAS,7215,Hall,,Assistance,,-41.87260055,148.3046221,Bicheno War Memorial Hall
,Lyons,Bothwell,Alexander St,,Bothwell,TAS,7030,,,Assistance,,-42.38228,147.00629,Bothwell Town Hall
,Lyons,Bracknell,29 Louisa St,,Bracknell,TAS,7302,Bracknell Town Hall,,Assistance,,-41.6510594,146.9431686,Bracknell Boys & Girls Club Building
,Lyons,Bridgewater,55 Eddington St,,Bridgewater,TAS,7030,Gymnasium,,Assistance,,-42.73867118,147.2409414,JRLF Senior School
,Lyons,Brighton,27 Downie St,,Brighton,TAS,7030,Hall,Off admin area,None,,-42.69909,147.25845,Brighton Primary School
,Lyons,Broadmarsh,1218 Elderslie Rd,,Broadmarsh,TAS,7030,,,Assistance,,-42.65642747,147.1264896,Broadmarsh Fire Station
,Lyons,Campania,45 Reeve St,,Campania,TAS,7026,,,Assistance,,-42.66717,147.42106,Campania Hall
,Lyons,Campbell Town,75 High St,,Campbell Town,TAS,7210,,,Assistance,,-41.927,147.49458,Campbell Town Town Hall
,Lyons,Carrick,29 Meander Valley Rd,,Carrick,TAS,7291,,,Assistance,,-41.53099,147.01128,Carrick Public Hall
,Lyons,Chudleigh,54 Sorell St,,Chudleigh,TAS,7304,,,Assistance,,-41.55698,146.48139,Chudleigh Memorial Hall
,Lyons,Claude Road,787 Claude Rd,,Claude Road,TAS,7306,,,Assistance,,-41.43442,146.27413,Claude Road Memorial Hall
,Lyons,Colebrook,45 Richmond St,,Colebrook,TAS,7027,,,Assistance,,-42.53304333,147.3627427,Colebrook Memorial Hall
,Lyons,Coles Bay,Harold St,,Coles Bay,TAS,7215,,,Assistance,,-42.12505,148.28572,Coles Bay Community Hall
,Lyons,Copping,69 Allanby St,,Copping,TAS,7174,,,Assistance,,-42.82049,147.80428,Copping Hall
,Lyons,Cressy,67 Main St,,Cressy,TAS,7302,,,Assistance,,-41.68551,147.08074,Cressy Community Hall
,Lyons,Deloraine,24 Lansdowne Pl,,Deloraine,TAS,7304,,Access from East Barrack St,Assistance,,-41.52934,146.65926,Deloraine High School Hall
,Lyons,Dodges Ferry,532 Old Forcett Rd,,Dodges Ferry,TAS,7173,Within Dodges Ferry Primary School,,Assistance,,-42.84863,147.62373,Dodges Ferry Community Recreation Centre
,Lyons,Dromedary,14 Millvale Rd,,Dromedary,TAS,7030,,,None,,-42.72826,147.1787,Dromedary (Millvale) Community Hall
,Lyons,Dunalley,5 Franklin St,,Dunalley,TAS,7177,,,Assistance,,-42.88716415,147.812685,Dunalley Community Hall
,Lyons,Elizabeth Town,5816 Bass Hwy,,Elizabeth Town,TAS,7304,,,Assistance,,-41.46167,146.56389,Elizabeth Town Fire Station
,Lyons,Epping,13515 Midland Hwy,,Epping Forest,TAS,7211,,,Assistance,,-41.75814,147.34904,Epping Forest Public Hall
,Lyons,Evandale,5/8 Barclay St,,Evandale,TAS,7212,General purpose room,,Assistance,,-41.56717,147.24676,Evandale Primary School
,Lyons,Fingal,20 Talbot Street,,Fingal,TAS,7214,,,Assistance,,-41.63843418,147.9709241,Fingal Neighbourhood House
,Lyons,Gagebrook,4 Tottenham Rd,,Gagebrook,TAS,7030,Gymnasium,Access from Ashburton Rd,Assistance,,-42.74903,147.27517,Gagebrook Primary School
,Lyons,Glenora,620 Gordon River Rd,,Glenora,TAS,7140,Year 7 classroom,Admin Block,None,,-42.69655,146.88985,Glenora District High School
,Lyons,Granton,Lyell Hwy,,Granton,TAS,7030,,,Assistance,,-42.74976,147.22395,Granton Memorial Hall
,Lyons,Hadspen,47 Main St,,Hadspen,TAS,7290,,,Assistance,,-41.50623,147.06347,Hadspen Uniting Church Centre
,Lyons,Hagley,2508 Meander Valley Rd,,Hagley,TAS,7292,Hall at front of school,,Assistance,,-41.5247212,146.9019556,Hagley Farm Primary School
,Lyons,Kempton,85 Main St,,Kempton,TAS,7030,,,Assistance,,-42.53226,147.20088,Kempton Council Chambers
,Lyons,Lachlan,511 Lachlan Rd,,Lachlan,TAS,7140,,,Assistance,,-42.83039,147.0426,Lachlan Community Hall
,Lyons,Longford,Catherine & William Sts,,Longford,TAS,7301,GP hall,,Assistance,,-41.59592537,147.1168638,Longford Primary School
,Lyons,Lower Barrington,1027 Sheffield Rd,,Lower Barrington,TAS,7306,,,None,,-41.29085,146.29118,Lower Barrington Public Hall
,Lyons,Magra,Back River Rd,,Magra,TAS,7140,,Cnr of Back River and Saddle Rds,Assistance,,-42.73504,147.07053,Magra CWA Building
,Lyons,Meander,124 Main Rd,,Meander,TAS,7304,,,Full,,-41.652762,146.609387,Meander Memorial Hall
,Lyons,Midway Point,Raynors Rd,,Midway Point,TAS,7171,,,Assistance,,-42.79979,147.53265,Midway Point Community Hall
,Lyons,Miena,55-57 Cider Gum Rd,,Miena,TAS,7030,,,Assistance,,-41.9937,146.70828,Great Lake Community Centre
,Lyons,Mole Creek,4 Caveside Rd,,Mole Creek,TAS,7304,Open area,,Assistance,,-41.5572934,146.4077532,Mole Creek Primary School
,Lyons,Molesworth,560 Molesworth Rd,,Molesworth,TAS,7140,,,Assistance,,-42.8043361,147.1602846,Molesworth Community Hall
,Lyons,New Norfolk North,211 Back River Rd,,New Norfolk,TAS,7140,General hall,,Assistance,,-42.774295,147.050038,Fairview Primary School
,Lyons,New Norfolk,8 Pioneer Ave,,New Norfolk,TAS,7140,,Alternative access from Hillside Cres,Assistance,,-42.779,147.06366,New Norfolk Primary School
,Lyons,Nubeena,21 Clarke St,,Nubeena,TAS,7184,,,Assistance,,-43.09998,147.74416,Tasman Civic Centre
,Lyons,Oatlands,27 Church St,,Oatlands,TAS,7120,Multipurpose room,Access from Wellington St,Assistance,,-42.30141666,147.3703108,Oatlands District High School
,Lyons,Old Beach,Jetty Rd,,Old Beach,TAS,7017,,,Assistance,,-42.7743122,147.2661143,Old Beach Community Centre
,Lyons,Orford,35 Charles St,,Orford,TAS,7190,Performing Arts Centre,,Assistance,,-42.563525,147.873845,Orford Primary School
,Lyons,Ouse,6947 Lyell Hwy,,Ouse,TAS,7140,,,Assistance,,-42.48523,146.71076,Ouse Online Access Centre
,Lyons,Perth,173 Fairtlough St,,Perth,TAS,7300,Hall and function room,,Assistance,,-41.57255,147.17365,Perth Community Centre
,Lyons,Pontville,244 Brighton Rd,,Pontville,TAS,7030,,,Assistance,,-42.68722595,147.2634687,Pontville Memorial Hall
,Lyons,Primrose Sands,570 Primrose Sands Rd,,Primrose Sands,TAS,7173,,,Assistance,,-42.89213,147.67292,Primrose Sands Community Hall
,Lyons,Prospect Vale,12 Casino Rise,,Prospect Vale,TAS,7250,,,Assistance,,-41.47909,147.10972,Residential Retirement Village Clubrooms
,Lyons,Railton,94 Foster St,,Railton,TAS,7305,General purpose hall,,Assistance,,-41.3529486,146.4145571,Sheffield School (Railton Campus)
,Lyons,Richmond,Commercial Rd,,Richmond,TAS,7025,Hall,,Assistance,,-42.73937,147.43748,Richmond Primary School
,Lyons,Ross,12 Bridge St,,Ross,TAS,7209,,Access from Church St,Assistance,,-42.03136,147.49244,Ross Town Hall
,Lyons,Scamander,Coach Rd,,Scamander,TAS,7215,Dining room,,Assistance,,-41.45419039,148.2592652,Scamander Sports Complex
,Lyons,Sheffield,12 Henry St,,Sheffield,TAS,7306,Music room - related arts building,,Assistance,,-41.38166,146.3289,Sheffield School
,Lyons,Sorell,49 Cole St,,Sorell,TAS,7172,,,Assistance,,-42.7809503,147.5606303,Sorell Memorial Hall
,Lyons,St Helens,39 Cecilia St,,St Helens,TAS,7216,,,Assistance,,-41.32219509,148.2494296,Portland Memorial Hall
,Lyons,St Marys,23 Main St,,St Marys,TAS,7215,Supper room,,Assistance,,-41.57939,148.18508,St Marys Community Hall
,Lyons,Swansea,12 Franklin St,,Swansea,TAS,7190,,,Assistance,,-42.12448289,148.0768285,Swansea Town Hall
,Lyons,Taranna,33 Amy St,,Taranna,TAS,7180,Hall,Access from Gourlay Rd,Assistance,,-43.03802462,147.866748,Tasman Community Centre
,Lyons,Tea Tree,596 Tea Tree Rd,,Tea Tree,TAS,7017,,Access from Briar Banks Rd,Assistance,,-42.69026,147.31894,Tea Tree Community Hall
,Lyons,Triabunna,3 Vicary St,,Triabunna,TAS,7190,,,Assistance,,-42.508166,147.909631,Triabunna Hall
,Lyons,Tunnack,Tunnack Rd,,Tunnack,TAS,7120,,,Assistance,,-42.45592,147.46179,Tunnack Public Hall
,Lyons,Westbury,26 Lyall St,,Westbury,TAS,7303,Supper room,,Assistance,,-41.528113,146.831023,Westbury Town Hall
,Lyons,Westerway,1619 Gordon River Rd,,Westerway,TAS,7140,GP room,,Assistance,,-42.67788,146.78779,Westerway Primary School
,Lyons,Wilmot,61 Main Rd,,Wilmot,TAS,7310,Music room,,Assistance,,-41.387,146.17606,Wilmot Primary School
