ec_id,name,premises,address,lat,lon,state,wheelchair_access
,Albany PCYC,,"77 Sanford Road, CENTENNIAL PARK WA 6330",-35.01046000,117.88208000,WA,Wheelchair Access
,Albany Primary School,,"Suffolk Street, MOUNT CLARENCE WA 6330",-35.01821000,117.89078000,WA,Wheelchair Access
,Albany Sea Rescue Hall,,"Swarbrick Street, EMU POINT WA 6330",-34.99427000,117.94353000,WA,
,Albany Senior Citizens Centre,,"122 Grey Street West, ALBANY WA 6330",-35.02377000,117.88280000,WA,Wheelchair Access
,Albany Surf Life Saving Club,,"4 Flinders Parade, MIDDLETON BEACH WA 6330",-35.02421000,117.91597000,WA,Wheelchair Access
,Elleker Hall,,"Hassell Street, ELLEKER WA 6330",-35.00847000,117.72988000,WA,
,Flinders Park Primary School,,"Yatana Road, BAYONET HEAD WA 6330",-34.97843000,117.93083000,WA,Wheelchair Access
,Great Southern Grammar,,"244 Nanarup Road, NANARUP WA 6330",-34.94764000,117.97064000,WA,Wheelchair Access
,King River Hall,,"1520 Millbrook Road, KING RIVER WA 6330",-34.93391000,117.89681000,WA,
,Little Grove Primary School,,"33 Gordon Street, LITTLE GROVE WA 6330",-35.06664500,117.86726700,WA,Wheelchair Access
,Mount Lockyer Primary School,,"Humphreys Street, LOCKYER WA 6330",-35.00205000,117.85608000,WA,
,Napier Hall,,"2151 Chester Pass Road, NAPIER WA 6330",-34.83330000,117.96080000,WA,
,North Albany Senior High School,,"47 Anson Road, ORANA WA 6330",-34.99085000,117.86263000,WA,Wheelchair Access
,Redmond Hall,,"Redmond-Hay River Road, REDMOND WA 6327",-34.88647000,117.69151000,WA,
,Spencer Park Primary School,,"46 Hardie Road, SPENCER PARK WA 6330",-35.00519000,117.90087000,WA,
,Wellstead Community Resource Centre,,"49 Windsor Road, WELLSTEAD WA 6328",-34.49298000,118.60681000,WA,
,Yakamia Primary School,,"26 Beaufort Road, YAKAMIA WA 6330",-35.00250000,117.87299000,WA,
,Youngs Siding Hall,,"29 Station Street, YOUNGS SIDING WA 6330",-35.01241300,117.52228600,WA,
,Armadale Primary School,,"1 Carradine Road, ARMADALE WA 6112",-32.14763000,116.02618000,WA,
,Armadale Senior High School,,"169 South Western Highway, ARMADALE WA 6112",-32.15842300,116.01359200,WA,Wheelchair Access
,Australian Christian College Darling Downs,,"10 Ninth Road, BROOKDALE WA 6112",-32.17468100,116.00429400,WA,Wheelchair Access
,Cecil Andrews Senior High School,,"23 Seville Drive, SEVILLE GROVE WA 6112",-32.14080000,115.99240000,WA,
,Challis Primary School,,"40 Braemore Street, ARMADALE WA 6112",-32.13903000,115.99975000,WA,
,Dale Christian School,,"150 Forrest Road, ARMADALE WA 6112",-32.15932600,115.99873600,WA,
,Free Reformed Church,,"84 Fifth Road, ARMADALE WA 6112",-32.14992000,116.00490000,WA,Wheelchair Access
,Grovelands Primary School,,"14 Grovelands Drive, CAMILLO WA 6111",-32.11952000,115.99868000,WA,
,Kelmscott Primary School,,"River Road, KELMSCOTT WA 6111",-32.11959000,116.02049000,WA,
,Kelmscott Senior High School,,"50 Third Avenue, KELMSCOTT WA 6111",-32.12035000,116.00989000,WA,Wheelchair Access
,Kelmscott Voting Centre,,"4/2944 Albany Highway, KELMSCOTT WA 6111",-32.12225200,116.01838300,WA,Wheelchair Access
,Kingsley Primary School,,"11 Lathwell Street, ARMADALE WA 6112",-32.13432000,116.01545000,WA,Wheelchair Access
,Westfield Park Primary School,,"Hemingway Drive, WESTFIELD WA 6111",-32.11032000,116.00533000,WA,Wheelchair Access
,Balcatta Primary School,,"387 Main Street, BALCATTA WA 6021",-31.88110000,115.82798000,WA,
,Balcatta Senior High School,,"Amelia Street , BALCATTA WA 6021",-31.87603000,115.81320000,WA,Wheelchair Access
,Osborne Park Community Centre,,"11 Royal Street, TUART HILL WA 6060",-31.89629000,115.82953000,WA,Wheelchair Access
,Osborne Primary School,,"155 Albert Street, OSBORNE PARK WA 6017",-31.89978000,115.82533000,WA,
,St Denis School,,"2 Orchid Street, JOONDANNA WA 6060",-31.90999000,115.84410000,WA,
,Takari Primary School,,"5 Rickman Street, BALCATTA WA 6021",-31.86981000,115.82153000,WA,
,Tuart Hill Primary School,,"Banksia Street, TUART HILL WA 6060",-31.90123800,115.84013100,WA,Wheelchair Access
,Westminster Primary School,,"30 Marloo Road, WESTMINSTER WA 6061",-31.86963100,115.83815700,WA,Wheelchair Access
,Baldivis Gardens Primary School,,"1 Nadine Promenade, BALDIVIS WA 6171",-32.30082300,115.81006200,WA,Wheelchair Access
,Baldivis Primary School,,"214 Fifty Road, BALDIVIS WA 6171",-32.30767600,115.81767000,WA,
,John Wellard Community Centre,,"Cnr Runnymede Gate and The Strand, WELLARD WA 6170",-32.26240200,115.81553500,WA,Wheelchair Access
,Makybe Rise Primary School,,"Makybe Drive, BALDIVIS WA 6171",-32.34505300,115.81763500,WA,Wheelchair Access
,Rivergums Primary School,,"1 Avoca Chase, BALDIVIS WA 6171",-32.33600000,115.82991000,WA,Wheelchair Access
,Sheoak Grove Primary School,,"Nyilla Approach, BALDIVIS WA 6171",-32.32388400,115.82192300,WA,Wheelchair Access
,South Coast Baptist College,,"30 Gnangara Drive, WAIKIKI WA 6169",-32.31479000,115.75694000,WA,Wheelchair Access
,Tranby College,,"17 Tranby Drive, BALDIVIS WA 6171",-32.34053000,115.80156000,WA,Wheelchair Access
,Tuart Rise Primary School,,"31 Kempeana Way, BALDIVIS WA 6171",-32.35404400,115.81414600,WA,Wheelchair Access
,Waikiki Primary School,,"Arnside Bend, WAIKIKI WA 6169",-32.31958600,115.76233300,WA,Wheelchair Access
,Wellard Primary School,,"25 Breccia Parade, WELLARD WA 6170",-32.26223800,115.84695900,WA,Wheelchair Access
,Anzac Terrace Primary School,,"176 Anzac Terrace, BASSENDEAN WA 6054",-31.89768000,115.93692000,WA,
,Bassendean Primary School,,"70 West Road, BASSENDEAN WA 6054",-31.90770500,115.95384300,WA,Wheelchair Access
,Beechboro Primary School,,"20 King Road, BEECHBORO WA 6063",-31.86847000,115.93609000,WA,Wheelchair Access
,Cracovia Club,,"375 Marshall Road, BEECHBORO WA 6063",-31.85587000,115.93375000,WA,Wheelchair Access
,Cyril Jackson Senior Campus,,"53 Reid Street, ASHFIELD WA 6054",-31.91291000,115.94246500,WA,
,East Beechboro Primary School,,"Brockmill Avenue, BEECHBORO WA 6063",-31.87285000,115.95089800,WA,Wheelchair Access
,Eden Hill Primary School,,"83 A Ivanhoe Street, EDEN HILL WA 6054",-31.89300400,115.94596000,WA,Wheelchair Access
,Hampton Senior High School,,"72 Morley Drive East, MORLEY WA 6062",-31.89010000,115.92653000,WA,Wheelchair Access
,Lockridge Primary School,,"48 Rosher Road, LOCKRIDGE WA 6054",-31.88315000,115.95118000,WA,Wheelchair Access
,Swan Active Beechboro,,"332 Benara Road, BEECHBORO WA 6063",-31.87481800,115.93980800,WA,Wheelchair Access
,Applecross Primary School,,"65 Kintail Road, APPLECROSS WA 6153",-32.01127000,115.83897000,WA,Wheelchair Access
,Applecross Voting Centre,,"Shop 4-6/890 Canning Highway, APPLECROSS WA 6153",-32.01305800,115.84756100,WA,Wheelchair Access
,Ardross Primary School,,"46 Links Road, ARDROSS WA 6153",-32.02740000,115.83382000,WA,
,Bateman Primary School,,"2 Bartling Crescent, BATEMAN WA 6150",-32.05127000,115.84548000,WA,
,Booragoon Primary School,,"10 Clements Road, BOORAGOON WA 6154",-32.03481000,115.82626000,WA,
,Brentwood Primary School,,"2 Dawson Road, BRENTWOOD WA 6153",-32.04172000,115.84764000,WA,Wheelchair Access
,Corpus Christi College,,"50 Murdoch Drive, BATEMAN WA 6150",-32.05664000,115.84190000,WA,Wheelchair Access
,Kardinya Primary School,,"Ochiltree Way, KARDINYA WA 6163",-32.06204800,115.82301800,WA,Wheelchair Access
,Mount Pleasant Baptist Church,,"497 Marmion Street, BOORAGOON WA 6154",-32.04040900,115.82501100,WA,Wheelchair Access
,Mount Pleasant Primary School,,"29 Queens Road, MOUNT PLEASANT WA 6153",-32.02984200,115.84594600,WA,Wheelchair Access
,St Benedict's Primary School,,"70 Alness Street, ARDROSS WA 6153",-32.01863000,115.83894000,WA,Wheelchair Access
,Winthrop Primary School,,"70-80 Jackson Avenue, WINTHROP WA 6150",-32.05488000,115.83353000,WA,
,Belmont City College,,"106 Fisher Street, BELMONT WA 6104",-31.95806000,115.93413000,WA,Wheelchair Access
,Belmont Park Tennis Club,,"Cnr Robinson Avenue and Scott Street , CLOVERDALE WA 6105",-31.97187000,115.94483000,WA,Wheelchair Access
,Belmont Primary School,,"213 Great Eastern Highway, BELMONT WA 6104",-31.94426000,115.92270000,WA,Wheelchair Access
,Belmont Voting Centre,,"222 Belmont Avenue, CLOVERDALE WA 6105",-31.96553300,115.93290500,WA,
,Carlisle Primary School,,"1 Wright Street, KEWDALE WA 6105",-31.97346000,115.92221000,WA,Wheelchair Access
,Hazelmere Community Hall,,"Bushmead Road, HAZELMERE WA 6055",-31.90257200,115.99421800,WA,Wheelchair Access
,Kewdale Primary School,,"264 Kew Street, KEWDALE WA 6105",-31.97528000,115.94398000,WA,Wheelchair Access
,Nations Church,,"240 Epsom Avenue, BELMONT WA 6104",-31.94864100,115.94624400,WA,Wheelchair Access
,Redcliffe Primary School,,"62 Kanowna Avenue, REDCLIFFE WA 6104",-31.93521000,115.94526000,WA,Wheelchair Access
,St Augustine's School,,"34 Gladstone Road, RIVERVALE WA 6103",-31.95988200,115.90647500,WA,Wheelchair Access
,Attadale Primary School,,"Wichmann Road, ATTADALE WA 6156",-32.02521000,115.80181000,WA,Wheelchair Access
,Bicton Primary School,,"View Terrace, BICTON WA 6157",-32.03289000,115.78685300,WA,Wheelchair Access
,East Fremantle Primary School,,"8 Forrest Street, EAST FREMANTLE WA 6158",-32.04824000,115.75961000,WA,
,Melville Primary School,,"70 Curtis Road, MELVILLE WA 6156",-32.03919000,115.80693000,WA,Wheelchair Access
,Melville Recreation Centre,,"431 Canning Highway, MELVILLE WA 6156",-32.03439000,115.79504000,WA,Wheelchair Access
,Melville Senior High School,,"18 Potts Street, MELVILLE WA 6156",-32.04600000,115.80444000,WA,Wheelchair Access
,Palmyra Primary School,,"60 McKimmie Road, PALMYRA WA 6157",-32.04548000,115.78549000,WA,Wheelchair Access
,Richmond Primary School,,"37 Windsor Road, EAST FREMANTLE WA 6158",-32.03630000,115.77026000,WA,
,St Peter's Anglican Church Hall,,"2 Hammad Street, PALMYRA WA 6157",-32.03942000,115.77693000,WA,
,Tricolore Community Centre,,"Wauhop Road, EAST FREMANTLE WA 6158",-32.02812800,115.76828200,WA,
,Adam Road Primary School,,"Hotchin Street, SOUTH BUNBURY WA 6230",-33.35792900,115.63401100,WA,Wheelchair Access
,Bunbury Catholic College,,"Lot 4 Rodsted Street, EAST BUNBURY WA 6230",-33.34337000,115.66183000,WA,Wheelchair Access
,Bunbury Pre-Primary Centre,,"2-18 Lovegrove Avenue, BUNBURY WA 6230",-33.33316100,115.63779800,WA,Wheelchair Access
,Bunbury Voting Centre,,"Homemaker Centre Bunbury, Unit E2 Warehouse Street, BUNBURY WA 6230",-33.333634,115.647413,WA,Wheelchair Access
,Carey Park Primary School,,"Ecclestone Street , CAREY PARK WA 6230",-33.34900000,115.65088000,WA,Wheelchair Access
,Cooinda Primary School,,"10 Allen Street, EAST BUNBURY WA 6230",-33.33466000,115.65233000,WA,Wheelchair Access
,Dalyellup College,,"1 Wake Drive, DALYELLUP WA 6230",-33.40385500,115.62576700,WA,Wheelchair Access
,Dalyellup Primary School,,"14 Hartog Road, DALYELLUP WA 6230",-33.40018500,115.62218200,WA,Wheelchair Access
,ECU South West Campus,,"Lecture Theatres Building, 585 Robinson Drive, COLLEGE GROVE WA 6230",-33.36753,115.65322,WA,Wheelchair Access
,Maidens Park Primary School,,"Westwood Street, WITHERS WA 6230",-33.36920000,115.62827000,WA,
,Milligan Community Learning and Resource Centre,,"35 Milligan Street, CAREY PARK WA 6230",-33.35889100,115.65759600,WA,Wheelchair Access
,Picton Primary School,,"Jeffrey Road, GLEN IRIS WA 6230",-33.34016000,115.68816000,WA,Wheelchair Access
,South Bunbury Pre-Primary Centre,,"19 Prosser Street, SOUTH BUNBURY WA 6230",-33.34031000,115.64260000,WA,Wheelchair Access
,Bramston Park Community Sporting Facility,,"14 Mattingleys Approach, BURNS BEACH WA 6028",-31.72653700,115.73235800,WA,Wheelchair Access
,Clarkson Community High School,,"16 Walyunga Boulevard, CLARKSON WA 6030",-31.67623800,115.72626000,WA,Wheelchair Access
,Clarkson Youth Centre,,"59 Key Largo Drive, CLARKSON WA 6030",-31.69108200,115.71950900,WA,Wheelchair Access
,Currambine Primary School,,"28 Ambassador Drive, CURRAMBINE WA 6028",-31.73304000,115.74892000,WA,Wheelchair Access
,Gumblossom Community Centre,,"17 Tapping Way, QUINNS ROCKS WA 6030",-31.67239000,115.70505000,WA,Wheelchair Access
,Kinross Primary School,,"64 Kinross Drive, KINROSS WA 6028",-31.71846600,115.73623300,WA,Wheelchair Access
,MacNaughton Clubrooms,,"9 MacNaughton Crescent, KINROSS WA 6028",-31.71706000,115.74209000,WA,Wheelchair Access
,Mindarie Primary School,,"90 Rothesay Heights, MINDARIE WA 6030",-31.68700000,115.70893000,WA,Wheelchair Access
,Mindarie Senior College,,"14 Elliston Parade, MINDARIE WA 6030",-31.67720000,115.70615000,WA,Wheelchair Access
,Quinns Beach Primary School,,"5 James Cook Avenue, QUINNS ROCKS WA 6030",-31.65820300,115.69532100,WA,Wheelchair Access
,Somerly Primary School,,"15 Somerly Drive, CLARKSON WA 6030",-31.68481000,115.72782000,WA,Wheelchair Access
,Alkimos Beach Primary School,,"200 Leatherback Boulevard, ALKIMOS WA 6038",-31.62652400,115.68066900,WA,Wheelchair Access
,Butler College,,"15 McCormack Boulevard, BUTLER WA 6036",-31.65166400,115.70870100,WA,Wheelchair Access
,Butler Primary School,,"30 Tollesbury Avenue, BUTLER WA 6036",-31.64572100,115.70257600,WA,Wheelchair Access
,Butler Voting Centre,,"Unit 7/5 Kingsbridge Boulevard, BUTLER WA 6036",-31.64922,115.69709,WA,Wheelchair Access
,East Butler Primary School,,"7 Amersham Crescent, BUTLER WA 6036",-31.64460000,115.71171000,WA,Wheelchair Access
,Merriwa Primary School,,"67 Baltimore Parade, MERRIWA WA 6030",-31.66817000,115.71336000,WA,Wheelchair Access
,Northshore Christian Grammar School,,"50 Scotthorn Drive, ALKIMOS WA 6038",-31.60063000,115.69344100,WA,Wheelchair Access
,RAAFA Estate - Merriwa,,"19 Hughie Edwards Drive, MERRIWA WA 6030",-31.65797100,115.70775600,WA,Wheelchair Access
,Two Rocks Primary School,,"51 Resolute Drive, TWO ROCKS WA 6037",-31.48878900,115.59182000,WA,Wheelchair Access
,Yanchep Beach Primary School,,"100 Lindsay Beach Boulevard, YANCHEP WA 6035",-31.544071,115.631774,WA,Wheelchair Access
,Yanchep Secondary College,,"21 Ravensbourne Street, YANCHEP WA 6035",-31.55252300,115.64342900,WA,Wheelchair Access
,Bannister Creek Primary School,,"20 Purley Crescent, LYNWOOD WA 6147",-32.03903000,115.92848000,WA,Wheelchair Access
,Beckenham Community Church,,"2 Saturn Street, BECKENHAM WA 6107",-32.02597600,115.96231900,WA,Wheelchair Access
,Brookman Primary School,,"34 Brookman Avenue, LANGFORD WA 6147",-32.03749000,115.93884000,WA,Wheelchair Access
,Fountain College,,"12 Karri Way, FERNDALE WA 6148",-32.03632000,115.92035000,WA,Wheelchair Access
,Gibbs Street Primary School,,"79-93 Gibbs Street, EAST CANNINGTON WA 6107",-32.00825000,115.95317000,WA,Wheelchair Access
,Lynwood Christian Church,,"32 Latham Road, FERNDALE WA 6148",-32.02899200,115.93011100,WA,Wheelchair Access
,Parkwood Primary School,,"9 Zelkova Road, PARKWOOD WA 6147",-32.04267000,115.91409000,WA,Wheelchair Access
,Sevenoaks Senior College,,"275 Sevenoaks Street, CANNINGTON WA 6107",-32.01194500,115.94241400,WA,Wheelchair Access
,St Norbert College,,"135 Treasure Road, QUEENS PARK WA 6107",-32.00472600,115.93881200,WA,Wheelchair Access
,Carine Senior High School,,"51 Everingham Street, CARINE WA 6020",-31.85266000,115.77662000,WA,Wheelchair Access
,Davallia Primary School,,"6 Juniper Way, DUNCRAIG WA 6023",-31.84117000,115.78725000,WA,
,Duncraig Primary School,,"21 Roche Road, DUNCRAIG WA 6023",-31.83227000,115.77091000,WA,Wheelchair Access
,Glengarry Primary School,,"25 Doveridge Drive, DUNCRAIG WA 6023",-31.82705700,115.78262400,WA,Wheelchair Access
,Karrinyup Primary School,,"15 Hampton Street, KARRINYUP WA 6018",-31.87046000,115.77588000,WA,Wheelchair Access
,Marmion Primary School,,"7 Cliverton Court, MARMION WA 6020",-31.84405000,115.75865000,WA,Wheelchair Access
,North Beach Community Centre,,"20 Castle Street, NORTH BEACH WA 6020",-31.85598200,115.75481000,WA,Wheelchair Access
,North Beach Primary School,,"75 North Beach Road, NORTH BEACH WA 6020",-31.86028000,115.76108000,WA,Wheelchair Access
,Poynter Primary School,,"39 Poynter Drive, DUNCRAIG WA 6023",-31.84205000,115.77537000,WA,Wheelchair Access
,Sacred Heart College,,"15 Hocking Parade, SORRENTO WA 6020",-31.82664000,115.74766000,WA,Wheelchair Access
,Sorrento Primary School,,"14 Elfreda Avenue, SORRENTO WA 6020",-31.83104000,115.76071000,WA,
,Bakers Hill Primary School,,"33 St George Street, BAKERS HILL WA 6562",-31.74772500,116.46233600,WA,Wheelchair Access
,Bencubbin Community Resource Centre,,"283 Monger Street, BENCUBBIN WA 6477",-30.80948900,117.85924400,WA,Wheelchair Access
,Beverley Community Resource Centre,,"141 Vincent Street, BEVERLEY WA 6304",-32.11000000,116.92472200,WA,Wheelchair Access
,Boddington Shire Chambers,,"39 Bannister Road, BODDINGTON WA 6390",-32.80125800,116.46701700,WA,Wheelchair Access
,Brookton District High School,,"20 Tiller Street, BROOKTON WA 6306",-32.37238000,117.00921000,WA,Wheelchair Access
,Bruce Rock Emergency Centre,,"Lot 290 Dunstal Street, BRUCE ROCK WA 6418",-31.87412500,118.14855500,WA,Wheelchair Access
,Corrigin Senior Citizens Centre,,"8 Lynch Street, CORRIGIN WA 6375",-32.33191100,117.87598400,WA,Wheelchair Access
,Cuballing Agricultural Hall,,"189 Campbell Street, CUBALLING WA 6311",-32.81908000,117.17769000,WA,
,Cunderdin District High School,,"Cubbine Street, CUNDERDIN WA 6407",-31.65534000,117.24454000,WA,
,Greenhills Hall,,"Greenhills Road, GREENHILLS WA 6302",-31.92070000,116.96393900,WA,Wheelchair Access
,Hyden Community Resource Centre,,"40 Naughton Street, HYDEN WA 6359",-32.44857400,118.86052900,WA,Wheelchair Access
,Kellerberrin Memorial Hall,,"Massingham Street, KELLERBERRIN WA 6410",-31.63363000,117.72171000,WA,Wheelchair Access
,Kondinin Primary School,,"75 Graham Street, KONDININ WA 6367",-32.49388000,118.26443000,WA,Wheelchair Access
,Koorda Emergency Centre,,"21 Ninghan Road, KOORDA WA 6475",-30.82600000,117.48444000,WA,Wheelchair Access
,Kulin Resource Centre,,"38 Johnston Street, KULIN WA 6365",-32.67131000,118.15454000,WA,Wheelchair Access
,Merredin Community Resource Centre,,"110 Barrack Street, MERREDIN WA 6415",-31.48197000,118.28083400,WA,Wheelchair Access
,Mukinbudin Shire Chambers,,"15 Maddock Street, MUKINBUDIN WA 6479",-30.91595000,118.20748000,WA,Wheelchair Access
,Narembeen District High School,,"7 Ada Street, NAREMBEEN WA 6369",-32.06311000,118.39134000,WA,Wheelchair Access
,Northam Primary School,,"14 Duke Street, NORTHAM WA 6401",-31.65140000,116.67616000,WA,Wheelchair Access
,Northam Town Hall,,"Corner Wellington & Gordon Streets, NORTHAM WA 6401",-31.656332,116.671239,WA,
,Pingelly Recreation and Cultural Centre,,"Somerset Street, PINGELLY WA 6308",-32.52997800,117.09063500,WA,Wheelchair Access
,Popanyinning Agricultural Hall,,"Great Southern Highway, POPANYINNING WA 6309",-32.65884000,117.12328000,WA,Wheelchair Access
,Quairading Town Hall,,"2 Jennaberring Road, QUAIRADING WA 6383",-32.00728000,117.39896000,WA,Wheelchair Access
,Southern Cross Community Centre,,"25-27 Antares Street, SOUTHERN CROSS WA 6426",-31.23124300,119.32816900,WA,Wheelchair Access
,Tammin Lesser Hall,,"1 Donnan Street, TAMMIN WA 6409",-31.64144200,117.48406200,WA,Wheelchair Access
,Trayning (Don Mason) Community Centre,,"Lot 8 Railway Street, TRAYNING WA 6488",-31.11448700,117.79234700,WA,Wheelchair Access
,Wandering Primary School,,"2 Watts Street, WANDERING WA 6308",-32.67728700,116.67286800,WA,Wheelchair Access
,Westonia Shire Office,,"41 Wolfram Street, WESTONIA WA 6423",-31.30224000,118.69695000,WA,Wheelchair Access
,Wickepin Community Centre,,"49 Campbell Street, WICKEPIN WA 6370",-32.785312,117.500942,WA,Wheelchair Access
,Wundowie Community Hall,,"Banksia Avenue, WUNDOWIE WA 6560",-31.75946400,116.38413500,WA,Wheelchair Access
,Wyalkatchem Community Resource Centre,,"Lot 5700 Railway Terrace, WYALKATCHEM WA 6485",-31.17983000,117.37947000,WA,Wheelchair Access
,York District High School,,"2 Trews Road, YORK WA 6302",-31.89306500,116.75992500,WA,Wheelchair Access
,Churchlands Primary School,,"Cromarty Road, FLOREAT WA 6014",-31.92682000,115.79479100,WA,
,Churchlands Senior High School,,"20 Lucca Street, CHURCHLANDS WA 6018",-31.91729000,115.78999000,WA,
,Doubleview Primary School,,"273 Flamborough Street, DOUBLEVIEW WA 6018",-31.89749400,115.77727600,WA,
,Floreat Park Primary School,,"38 Chandler Avenue West, FLOREAT WA 6014",-31.93674000,115.79141000,WA,
,Floreat Primary - Early Education Centre,,"Birkdale Street, FLOREAT WA 6014",-31.93907100,115.80156700,WA,
,Kapinara Primary School,,"2 Catesby Street, CITY BEACH WA 6015",-31.92549000,115.76243000,WA,
,Lake Monger Primary School,,"Dodd Street, WEMBLEY WA 6014",-31.92438000,115.82164000,WA,
,Wembley Downs Primary School,,"39 Bournemouth Crescent, WEMBLEY DOWNS WA 6019",-31.91095000,115.77102000,WA,
,Wembley Primary School,,"41 Grantham Street, WEMBLEY WA 6014",-31.93462000,115.80972000,WA,
