di_name,pplace,disabled_code,AccessDetails,suburb,Address,FormatAddress,SortId,Longitude,Latitude
Frome,Owen,A,,OWEN,Owen Primary School,"23 Second St, OWEN",,138.54305,-34.271665
Frome,Point Pass,A,,POINT PASS,Point Pass District Hall,"15 Main St, POINT PASS",,139.05111,-34.075486
Frome,Riverton,A,via Paul St,RIVERTON,Riverton Primary School,"21 Swinden St, RIVERTON",,138.745,-34.1573
Frome,Robertstown,A,,ROBERTSTOWN,Robertstown Peace Hall,"32 Commercial St, ROBERTSTOWN",,139.083,-33.9897
Frome,Roseworthy,A,,ROSEWORTHY,Roseworthy Soldiers Memorial Hall,"10 Elizabeth St, ROSEWORTHY",,138.748619,-34.533327
Frome,Saddleworth,A,,SADDLEWORTH,Saddleworth Primary School,"7 Saddle Rd, SADDLEWORTH",,138.784,-34.0816
Frome,Spalding,A,,SPALDING,Spalding District Hall,"11 Main St, SPALDING",,138.608035,-33.498017
Frome,Tarlee,A,,TARLEE,Tarlee Primary School,"38-42 Craig St, TARLEE",,138.772417,-34.269968
Frome,Terowie,A,,TEROWIE,Terowie Institute,"Main St, TEROWIE",,138.919796,-33.149395
Frome,Two Wells,A,,TWO WELLS,Two Wells Primary School,"17 Gawler Rd, TWO WELLS",,138.516792,-34.592104
Frome,Wasleys,A,,WASLEYS,Wasleys Community Hall ,"43 -45 Annie Tce, WASLEYS",,138.683664,-34.470435
Frome,Watervale,A,via Commercial Rd,WATERVALE,Watervale Primary School,"27 Main North Rd, WATERVALE",,138.645,-33.9605
Gibson,Brighton,F,,BRIGHTON,Brighton Primary School,"1 Highet Ave, BRIGHTON",,138.523195,-35.016048
Gibson,Glenelg South,A,,GLENELG SOUTH,St Martin's Anglican Church,"45 Hastings St, GLENELG SOUTH",,138.517,-34.9896
Gibson,Marion,F,,MARION,Marion Primary School,"2-22 Malcolm Ave, MARION",,138.556,-35.0042
Gibson,Marion South,A,,MARION,Marion Uniting Church,"9-11 Township Rd, MARION",,138.555484,-35.010999
Gibson,North Brighton,A,,NORTH BRIGHTON,Paringa Park Primary School,"21 Bowker St, NORTH BRIGHTON",,138.525681,-35.002579
Gibson,North Brighton West,A,,NORTH BRIGHTON,Brighton Secondary School,"305 Brighton Rd, NORTH BRIGHTON",,138.520593,-35.004206
Gibson,Oaklands Park,A,,OAKLANDS PARK,St Elizabeth Of Hungary Anglican Church,"12 Dwyer Rd, OAKLANDS PARK",,138.542209,-35.010678
Gibson,Seacombe Heights,A,via Gate 1,SEACOMBE HEIGHTS,Seaview High School,"78-124 Seacombe Rd, SEACOMBE HEIGHTS",,138.545894,-35.02983
Gibson,Somerton Park,A,Masonic Village Hall,SOMERTON PARK,Somerton Park Seniors Living Community,"91 Diagonal Rd, SOMERTON PARK",,138.527,-34.994
Gibson,South Brighton,N,,SOUTH BRIGHTON,Lou Kesting Community Hall,"Dover Square Brdwy, SOUTH BRIGHTON",,138.5281,-35.025396
Gibson,Sturt,F,,STURT,Marion Council Chambers,"245 Sturt Rd, STURT",,138.55153,-35.018045
Gibson,Warradale,A,Cnr Oaklands & Diagonal Rds,WARRADALE,Corner Uniting Church,"93 Oaklands Rd, WARRADALE",,138.5314332,-34.99693765
Giles,Andamooka,A,,ANDAMOOKA,Andamooka Community Hall,"Lot 281 School Rd, ANDAMOOKA",,137.16725,-30.448802
Giles,Coober Pedy,A,,COOBER PEDY,TAFE SA (Coober Pedy),"Hutchison St, COOBER PEDY",,134.754,-29.0117
Giles,Hawker,A,,HAWKER,Hawker Institute,"58 Elder Tce, HAWKER",,138.422064,-31.888243
Giles,Iron Knob,A,,IRON KNOB,Iron Knob Rural Transaction Centre,"Lot 783 Dickenson St, IRON KNOB",,137.15,-32.7318
Giles,Port Augusta West,A,via Chinnery St,PORT AUGUSTA WEST,Flinders View Primary School,"27-43 McSporran Cres, PORT AUGUSTA WEST",,137.753977,-32.472415
Giles,Quorn,A,,QUORN,Quorn Town Hall,"20 Railway Tce, QUORN",,138.041685,-32.345553
Giles,Roxby Downs,A,,ROXBY DOWNS,Roxby Downs Christian Community Church,"Tutop, ROXBY DOWNS",,136.895941,-30.563909
Giles,Whyalla Central East,A,,WHYALLA,Whyalla Town Primary School,"3-9 Walls St, WHYALLA",,137.585,-33.0361
Giles,Whyalla Central West,A,,WHYALLA,Memorial Oval Primary School,"60 Bradford St, WHYALLA",,137.568,-33.034
