has_bbq,lon,division,extra_info,polling_place_name,address,state,booth_info,premises,opening_hours,polling_place_type,lat,has_nothing,has_caek,has_run_out,has_other,source,stall_name,stall_description,stall_website,first_report,latest_report,ess_stall_id,ess_stall_url
TRUE,152.981143,MAIWAR,Assisted Wheelchair Access,Taringa,"Baptist Church, 36 Morrow Street, TARINGA",QLD,,"Baptist Church, 36 Morrow Street, TARINGA",,Church,-27.492762,FALSE,FALSE,FALSE,"{""has_vego"":false}",User submitted,Taringa Baptist Sausage Sizzle and Food stall,Sausage sizzle and food stall,,2017-11-24 11:53:58.064142+00,2017-11-24 11:53:58.064142+00,,
TRUE,153.002428,COOPER,Full Wheelchair Access,Enoggera Terrace,"Boys' Brigade Hall, 80 Enoggera Terrace, RED HILL",QLD,,"Boys' Brigade Hall, 80 Enoggera Terrace, RED HILL",,,-27.455711,FALSE,FALSE,FALSE,{},,Scout Hall,,,2017-11-24 11:58:24.926374+00,2017-11-24 11:58:24.926374+00,,
FALSE,152.66676,MARYBOROUGH,Full Wheelchair Access,Tinana,"Tinana State School, 239 Gympie Road, TINANA",QLD,,"Tinana State School, 239 Gympie Road, TINANA",,,-25.55722,FALSE,TRUE,FALSE,{},,,,,2017-11-24 22:38:35.848307+00,2017-11-24 22:38:35.848307+00,,
TRUE,152.956457,MOGGILL,Assisted Wheelchair Access,Chapel Hill South,"Uniting Church Worship Centre, Cnr Moggill & Chapel Hill Roads, CHAPEL HILL",QLD,,"Uniting Church Worship Centre, Cnr Moggill & Chapel Hill Roads, CHAPEL HILL",,Church,-27.509219,FALSE,TRUE,FALSE,"{""has_vego"":false,""has_free_text"":""Gluten free baked goods""}",,,,,2017-11-24 11:52:50.69003+00,2017-11-25 02:18:04.48018+00,,
TRUE,152.95871,"ALGESTER, INALA",Assisted Wheelchair Access,Forest Lake,"Forest Lake State School, Kauri Place, FOREST LAKE",QLD,,"Forest Lake State School, Kauri Place, FOREST LAKE",,,-27.612857,FALSE,FALSE,FALSE,{},Twitter,,,,2017-11-24 22:41:25.154291+00,2017-11-24 22:41:25.154291+00,,
TRUE,153.094016,CHATSWORTH,Full Wheelchair Access,Carina Heights,"Salvation Army Hall, Cnr Gallipoli Road & Chataway Streets, CARINA HEIGHTS",QLD,,"Salvation Army Hall, Cnr Gallipoli Road & Chataway Streets, CARINA HEIGHTS",,,-27.510712,FALSE,TRUE,FALSE,{},,Salvation Army,"Sausages, Jams, Crafts and Charity Shop ppen",,2017-11-24 22:41:27.987531+00,2017-11-24 22:41:27.987531+00,,
TRUE,153.039206,"STRETTON, TOOHEY",Full Wheelchair Access,Coopers Plains,"Coopers Plains State School, 61 Orange Grove Road, COOPERS PLAINS",QLD,,"Coopers Plains State School, 61 Orange Grove Road, COOPERS PLAINS",,,-27.567939,FALSE,TRUE,FALSE,{},Twitter,,,,2017-11-24 22:49:51.187815+00,2017-11-24 22:49:51.187815+00,,
TRUE,153.096116,"STRETTON, WATERFORD, WOODRIDGE",Full Wheelchair Access,Kuraby,"Kuraby State School, 1523 Beenleigh Road, KURABY",QLD,,"Kuraby State School, 1523 Beenleigh Road, KURABY",,,-27.607685,FALSE,FALSE,FALSE,{},Twitter,,,,2017-11-24 23:01:50.433173+00,2017-11-24 23:01:50.433173+00,,
TRUE,153.063023,BULIMBA,Assisted Wheelchair Access,Norman Park School,"Norman Park State School, 53 Hipwood Street, NORMAN PARK",QLD,,"Norman Park State School, 53 Hipwood Street, NORMAN PARK",,,-27.474257,FALSE,FALSE,FALSE,{},"Twitter, Facebook",,,,2017-11-24 22:39:55.478514+00,2017-11-24 23:08:30.894425+00,,
FALSE,152.371348,LOCKYER,,Thornton,"Thornton State School, 4 Thornton School Road, THORNTON",QLD,,"Thornton State School, 4 Thornton School Road, THORNTON",,,-27.797983,FALSE,FALSE,FALSE,{},,,,,2017-11-24 23:07:57.293638+00,2017-11-24 23:09:22.857218+00,,
TRUE,153.015281,"STAFFORD, CLAYFIELD",,Wilston,"Wilston State School, 11 Primrose Street, THE GRANGE",QLD,,"Wilston State School, 11 Primrose Street, THE GRANGE",,,-27.428084,FALSE,TRUE,FALSE,{},,St Albans Anglican Church and Mens Shed,"Cakes, baked goods, woodwork and craft sold to raise funds for Triple B Clinic, Red Shield Appeal and Mens Shed",http://www.stalbanswilston.org.au/,2017-11-24 22:41:36.265395+00,2017-11-24 23:35:12.77712+00,,
TRUE,153.05843,"GREENSLOPES, MILLER",Assisted Wheelchair Access,Marshall Road,"Marshall Road State School, Kurts Street, HOLLAND PARK WEST",QLD,,"Marshall Road State School, Kurts Street, HOLLAND PARK WEST",,,-27.525788,FALSE,TRUE,FALSE,{},,,,,2017-11-24 22:41:08.474909+00,2017-11-24 23:48:16.222749+00,,
TRUE,152.945275,"KURWONGBAH, MORAYFIELD",Full Wheelchair Access,Narangba Valley,"Narangba Sporting Complex, Harris Avenue, NARANGBA",QLD,,"Narangba Sporting Complex, Harris Avenue, NARANGBA",,,-27.171613,FALSE,FALSE,FALSE,{},,Narangba United Football Club,Fundraiser for NUFC ,,2017-11-24 22:28:50.857169+00,2017-11-24 23:57:06.562871+00,,
TRUE,153.039526,all,,East Brisbane All-Districts,"East Brisbane State School Hall, Wellington Road, EAST BRISBANE",QLD,,"East Brisbane State School Hall, Wellington Road, EAST BRISBANE",,Public School,-27.486615,FALSE,TRUE,FALSE,"{""has_vego"":true}",User submitted,State School,sausage sizzle,,2017-11-24 11:52:00.12569+00,2017-11-25 01:06:28.681238+00,,
TRUE,152.039303,SOUTHERN DOWNS,Assisted Wheelchair Access,Warwick East,"Warwick East State School, Fitzroy Street, WARWICK",QLD,,"Warwick East State School, Fitzroy Street, WARWICK",,Public School,-28.213982,FALSE,TRUE,FALSE,{},User submitted,Warwick East State School P and C Stall,"Sausage sizzle, hot and cold drinks, craft for sale, raffles",,2017-11-24 11:53:20.887119+00,2017-11-25 01:07:52.035242+00,,
TRUE,153.008112,SOUTH BRISBANE,Assisted Wheelchair Access,West End,"West End State School, 24 Vulture Street, WEST END",QLD,,"West End State School, 24 Vulture Street, WEST END",,,-27.479583,FALSE,FALSE,FALSE,"{""has_bacon_and_eggs"":true,""has_free_text"":""drinks""}",Twitter,West End State School Democracy BBQ,,,2017-11-24 23:11:01.620091+00,2017-11-25 02:58:10.430606+00,,
TRUE,153.032688,TOOHEY,Full Wheelchair Access,Salisbury,"Salisbury State School Hall, Lillian Avenue, SALISBURY",QLD,,"Salisbury State School Hall, Lillian Avenue, SALISBURY",,,-27.55381,FALSE,TRUE,FALSE,{},Twitter,Salisbury State School,,,2017-11-24 22:37:26.240961+00,2017-11-25 01:16:37.196881+00,,
TRUE,153.151627,"CHATSWORTH, LYTTON",Assisted Wheelchair Access,Gumdale,"Gumdale State School, 677 New Cleveland Road (access via Tilley Road), GUMDALE",QLD,,"Gumdale State School, 677 New Cleveland Road (access via Tilley Road), GUMDALE",,,-27.492537,FALSE,TRUE,FALSE,{},Twitter,,,,2017-11-24 22:43:28.449033+00,2017-11-25 02:12:25.835528+00,,
TRUE,153.114027,"CHATSWORTH, MANSFIELD",Full Wheelchair Access,Belmont,"Belmont State School Hall, 1275 Old Cleveland Road, CARINDALE",QLD,,"Belmont State School Hall, 1275 Old Cleveland Road, CARINDALE",,Public School,-27.50297,FALSE,TRUE,FALSE,{},Facebook,,"Sausage in bread, Hamburgers, Lamingtons, Cold Drinks",,2017-11-24 08:33:02.862641+00,2017-11-25 03:41:15.143957+00,,
TRUE,153.059494,"GREENSLOPES, MANSFIELD",Full Wheelchair Access,Seville Road,"Seville Road State School, Cnr Oates Avenue & Roscoe Street, HOLLAND PARK",QLD,,"Seville Road State School, Cnr Oates Avenue & Roscoe Street, HOLLAND PARK",,,-27.515591,FALSE,TRUE,FALSE,{},,Seville Road SS Sausage sizzle & bake stall,"sausages, drink & cakes to support the Seville Rd SS P&C",seviroadss.eq.edu.au,2017-11-24 22:28:29.540879+00,2017-11-25 05:11:05.238275+00,,
TRUE,153.025094,"ASPLEY, SANDGATE",Full Wheelchair Access,Bracken Ridge West,"Norris Road State School Hall, Pritchard Place, BRACKEN RIDGE",QLD,,"Norris Road State School Hall, Pritchard Place, BRACKEN RIDGE",,,-27.317547,FALSE,TRUE,FALSE,"{""has_coffee"":true,""has_bacon_and_eggs"":true}",,,,,2017-11-24 23:14:49.79043+00,2017-11-24 23:14:49.79043+00,,
TRUE,153.078715,"BANCROFT, MURRUMBA, REDCLIFFE",Assisted Wheelchair Access,Kippa-Ring West,"Hercules Road State School, Hercules Road, KIPPA-RING",QLD,,"Hercules Road State School, Hercules Road, KIPPA-RING",,,-27.225136,FALSE,TRUE,FALSE,{},,,,,2017-11-24 23:15:35.536847+00,2017-11-24 23:15:35.536847+00,,
TRUE,153.020391,"BANCROFT, MURRUMBA",Assisted Wheelchair Access,North Lakes,"North Lakes State College - Senior Campus Sports Hall, The Corso, NORTH LAKES",QLD,,"North Lakes State College - Senior Campus Sports Hall, The Corso, NORTH LAKES",,,-27.237173,FALSE,TRUE,FALSE,"{""has_vego"":false}",,,,,2017-11-16 12:12:06.518978+00,2017-11-24 23:16:09.776692+00,,
TRUE,152.951541,COOPER,Assisted Wheelchair Access,Payne Road,"Payne Road State School, 171 Payne Road, THE GAP",QLD,,"Payne Road State School, 171 Payne Road, THE GAP",,,-27.447992,FALSE,TRUE,FALSE,"{""has_vego"":true}",,Payne Road State School ,"Breakfast, sausages, drinks, coffee, cakes, raffle ",,2017-11-24 22:30:42.62146+00,2017-11-24 23:17:46.140117+00,,
TRUE,153.077506,"BULIMBA, CHATSWORTH, GREENSLOPES",Full Wheelchair Access,Camp Hill,"School of Arts Hall, cnr Old Cleveland Rd and Wiles Street, CAMP HILL",QLD,,"School of Arts Hall, cnr Old Cleveland Rd and Wiles Street, CAMP HILL",,,-27.490844,FALSE,TRUE,FALSE,{},,,,,2017-11-24 23:17:56.112774+00,2017-11-24 23:17:56.112774+00,,
