polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Bracknell War Memorial Hall,146.943,,Assisted Disabled,Bracknell War Memorial Hall,,FALSE,Louisa St TAS 7302,,TAS,-41.6512,FALSE,TRUE,,,,,,,,,
Branxholm Community Hall,147.73648,,Standard,Branxholm Community Hall,,FALSE,Stoke St TAS 7261,,TAS,-41.165606,FALSE,FALSE,,,,,,,,,
Brighton Civic Centre,147.24448,,Assisted Disabled,Brighton Civic Centre,,TRUE,25 Green Point Rd TAS 7030,,TAS,-42.73831,FALSE,FALSE,,,,,,,,,
Montrose Bay Yacht Club,147.266,,Standard,Montrose Bay Yacht Club,,FALSE, Foreshore Rd TAS 7010,,TAS,-42.8199,FALSE,FALSE,,,,,,,,,
Buckland Memorial Hall,147.718,,Assisted Disabled,Buckland Memorial Hall,,FALSE,22 Kent St TAS 7190,,TAS,-42.6072,FALSE,FALSE,,,,,,,,,
Burnie City Council Offices,145.906,,Assisted Disabled,Burnie City Council Offices,,FALSE,80 Wilson St TAS 7320,,TAS,-41.0532,FALSE,FALSE,,,,,,,,,
GA Wood Hall,147.324,,Assisted Disabled,GA Wood Hall,,FALSE,29 Bathurst St TAS 7000,,TAS,-42.8806,TRUE,FALSE,,,,,,,,,
Hillwood Memorial Hall,146.974945,,Assisted Disabled,Hillwood Memorial Hall,,FALSE,280 Jetty Rd TAS 7252,,TAS,-41.236252,FALSE,FALSE,,,,,,,,,
St Peter's Hall,147.3204475,,Standard,St Peter's Hall,,FALSE,cnr Brisbane & Harrington Sts TAS 7000,,TAS,-42.8812157,FALSE,FALSE,,,,,,,,,
City Hall,147.331806,,Assisted Disabled,City Hall,,FALSE,57-63 Macquarie St TAS 7000,,TAS,-42.880739,FALSE,FALSE,,,,,,,,,
Turners Community Centre,146.244,,Assisted Disabled,Turners Community Centre,,FALSE,Henry St TAS 7315,,TAS,-41.1589,FALSE,FALSE,,,,,,,,,
Residential Retirement Village Clubrooms,147.11,,Standard,Residential Retirement Village Clubrooms,,FALSE,12 Casino Rise TAS 7250,,TAS,-41.4782,FALSE,FALSE,,,,,,,,,
Forth Primary School,146.248975,,Assisted Disabled,Forth Primary School,,FALSE,45 Wilmot Road TAS 7310,,TAS,-41.192921,FALSE,FALSE,,,,,,,,,
Frankford Memorial Hall,146.732,,Assisted Disabled,Frankford Memorial Hall,,FALSE,Frankford Rd TAS 7275,,TAS,-41.3165,FALSE,FALSE,,,,,,,,,
St Finn Barr's School,147.132,,Assisted Disabled,St Finn Barr's School,,FALSE,247 Invermay Rd TAS 7248,,TAS,-41.4157,FALSE,FALSE,,,,,,,,,
Invermay Primary School,147.131233,,Assisted Disabled,Invermay Primary School,,FALSE,35-43 Mayne St TAS 7248,,TAS,-41.421676,FALSE,FALSE,,,,,,,,,
Gawler Public Hall,146.16,,Assisted Disabled,Gawler Public Hall,,FALSE,15 Top Gawler Rd TAS 7315,,TAS,-41.1852,FALSE,FALSE,,,,,,,,,
St Patrick's College,147.126,,Assisted Disabled,St Patrick's College,,FALSE,282 Westbury Rd TAS 7250,,TAS,-41.472,FALSE,FALSE,,,,,,,,,
Lawrenny Court,147.3100773,,Assisted Disabled,Lawrenny Court,,FALSE,131 Hill St TAS 7000,,TAS,-42.8778039,FALSE,FALSE,,,,,,,,,
Weymouth Hall,147.154,,Standard,Weymouth Hall,,FALSE,18 Major St TAS 7252,,TAS,-41.0153,FALSE,FALSE,,,,,,,,,
Copping Hall,147.812,,Assisted Disabled,Copping Hall,,FALSE,Marion Bay Rd TAS 7174,,TAS,-42.8194,FALSE,FALSE,,,,,,,,,
Rosebery Neighbourhood Centre,145.54094,,Assisted Disabled,Rosebery Neighbourhood Centre,,FALSE, 8 Agnes St TAS 7470,,TAS,-41.77853,FALSE,FALSE,,,,,,,,,
Goulburn Street Primary School,147.317,,Standard,Goulburn Street Primary School,,FALSE,Forest Rd TAS 7000,,TAS,-42.8878,FALSE,FALSE,,,,,,,,,
Romaine Park Primary School,145.8995841,,Assisted Disabled,Romaine Park Primary School,,FALSE,Cnr Roslyn Avenue and Mount Street TAS 7320,,TAS,-41.0766337,FALSE,FALSE,,,,,,,,,
Ulverstone High School,146.17091,,Assisted Disabled,Ulverstone High School,,FALSE,38 Leven St TAS 7315,,TAS,-41.16201,FALSE,FALSE,,,,,,,,,
East Ulverstone Primary School,146.192,,Assisted Disabled,East Ulverstone Primary School,,FALSE,18 Crawford St TAS 7315,,TAS,-41.1546,FALSE,FALSE,,,,,,,,,
Warrane Primary School,147.3825601,,Assisted Disabled,Warrane Primary School,,FALSE,213 Cambridge Rd TAS 7018,,TAS,-42.8611504,FALSE,FALSE,,,,,,,,,
Rokeby Community Centre,147.432,,Assisted Disabled,Rokeby Community Centre,,FALSE,Hart Pl TAS 7019,,TAS,-42.8959,TRUE,FALSE,,,,,,,,,
Waverley School Primary School,147.19,,Standard,Waverley School Primary School,,FALSE,6 Naroo St TAS 7250,,TAS,-41.4321,FALSE,FALSE,,,,,,,,,
Warrane Mornington Neighbourhood Centre,147.384,,Assisted Disabled,Warrane Mornington Neighbourhood Centre,,FALSE,150A Bligh St TAS 7018,,TAS,-42.8559,FALSE,FALSE,,,,,,,,,
Lansdowne Crescent Primary School,147.309,,Assisted Disabled,Lansdowne Crescent Primary School,,FALSE,Gourlay St TAS 7000,,TAS,-42.8819,FALSE,FALSE,,,,,,,,,
Wesley Vale Primary School,146.457,,Assisted Disabled,Wesley Vale Primary School,,FALSE,West Wind Dr (Wesley Vale Road) TAS 7307,,TAS,-41.1885,FALSE,FALSE,,,,,,,,,
George Town Memorial Hall,146.8238,,Assisted Disabled,George Town Memorial Hall,,FALSE,29-67 Macquarie St TAS 7253,,TAS,-41.1076,FALSE,FALSE,,,,,,,,,
