polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Hilton,115.78238,Fremantle,Entrance off Rennie Cres.,Hilton Primary School,,FALSE,Rennie Cres,,WA,-32.06727,FALSE,FALSE,Assisted,,,,,,,,
Hamilton Hill East,115.789,Fremantle,From Bradbury Rd enter through gate on right hand side of school via carpark.,East Hamilton Hill Primary School,,FALSE,Bradbury Rd,,WA,-32.0768,FALSE,FALSE,Assisted,,,,,,,,
Hamilton Hill North,115.77388,Fremantle,entry from Annie St,Christ The King School,,FALSE,York St,,WA,-32.07207,FALSE,FALSE,Assisted,,,,,,,,
Kardinya West,115.81448,Fremantle,Entrance through carpark off Winterfold Rd.,North Lake Senior Campus,,FALSE,Winterfold Rd,,WA,-32.07432,FALSE,FALSE,None,,,,,,,,
Lakeland,115.84585,Fremantle,Entrance through carpark off South Lake Dr.,Lakeland Senior High School,,FALSE,South Lake Dr,,WA,-32.10788,FALSE,FALSE,Assisted,,,,,,,,
Jandakot,115.84719,Fremantle,Entrance through carpark off Baningan Ave.,Jandakot Primary School,,FALSE,Baningan Ave,,WA,-32.139,FALSE,FALSE,Assisted,,,,,,,,
Kardinya (Fremantle),115.824,Fremantle,Ochiltree Way,Kardinya Primary School,,TRUE,Ochiltree Way,,WA,-32.0618,FALSE,FALSE,None,,,,,,,,
Melville (Fremantle),115.794,Fremantle,Through main front doors from carpark on  Stock Rd,Melville Recreation Centre,,FALSE,cnr Canning Hwy & Stock Rd,,WA,-32.0346,FALSE,FALSE,Assisted,,,,,,,,
North Fremantle,115.7573,Fremantle,via John or Turton St's,North Fremantle Primary School,,TRUE,John St,,WA,-32.03467,FALSE,FALSE,Assisted,,,,,,,,
Kalannie,117.118,Durack,main school entrance. polling undertaken in the library,Kalannie Primary School,,FALSE,Locke St,,WA,-30.3659,FALSE,FALSE,Assisted,,,,,,,,
Jurien Bay,115.04,Durack,,Jurien District High School,,FALSE,Hamersley Street,,WA,-30.3068,FALSE,FALSE,Assisted,,,,,,,,
Karratha,116.8498154,Durack,,Karratha Primary School,,FALSE,Turner Way,,WA,-20.7333568,FALSE,FALSE,Assisted,,,,,,,,
Kalbarri,114.168,Durack,main school entrance,Kalbarri District High School,,FALSE,48 Hackney St,,WA,-27.7074,FALSE,FALSE,Assisted,,,,,,,,
Karratha West,116.817,Durack,enter from Gawthorne Dve. polling under taken in pre-primary room,Millars Well Primary School,,FALSE,Gawthorne Rd,,WA,-20.7427,TRUE,FALSE,Assisted,,,,,,,,
Karratha - Nickol,116.801,Durack,Enter grounds from main parking area to west of school. Disabled entry from service entry off Tambrey Drive.,Tambrey Primary School,,FALSE,Tambrey Dr,,WA,-20.7426,FALSE,FALSE,Assisted,,,,,,,,
Koorda,117.4843442,Durack,main entrance to SES building,Koorda SES,,FALSE,Cnr Smith and  Ninghan St,,WA,-30.8260379,FALSE,FALSE,Assisted,,,,,,,,
Kellerberrin,117.722,Durack,entrance from Massingham St,Kellerberrin Memorial Hall,,FALSE,Massingham St,,WA,-31.6334,FALSE,FALSE,None,,,,,,,,
Leeman,114.9783629,Durack,main school entrance. Polling undertaken in the staff room adjacent to the office,Leeman Primary School,,FALSE,Spencer Street,,WA,-29.948243,FALSE,FALSE,Assisted,,,,,,,,
Kununurra,128.7382982,Durack,main leisure centre entrance.,Kununurra Leisure Centre,,FALSE,Coolibah Dr,,WA,-15.7736244,FALSE,FALSE,Assisted,,,,,,,,
Westfield,116.006,Canning,Entrance through gates to Carpark in Hemmingway Drive (gates opened on polling day).,Westfield Park Primary School,,FALSE,Hemingway Dr,,WA,-32.1103,FALSE,FALSE,Assisted,,,,,,,,
Waroona,115.923,Canning,Entrance through main doors from Millar Street.,Waroona Senior Citizens' Centre,,FALSE,Millar St,,WA,-32.8449,FALSE,FALSE,Assisted,,,,,,,,
Strawberry Fields,115.994,Canning,"Through main gates off Seville Dr, down driveway to carpark. Follow pathway to gym.",Cecil Andrews Senior High School,,FALSE,Seville Dr,,WA,-32.1418,FALSE,FALSE,Assisted,,,,,,,,
Serpentine,115.98,Canning,Entrance through Main Gates on Lefroy Street.,Serpentine Primary School,,FALSE,Lefroy St,,WA,-32.3661,FALSE,FALSE,Assisted,,,,,,,,
