state,lon,division,booth_info,premises,opening_hours,polling_place_type,has_bbq,has_other,source,lat,polling_place_name,has_nothing,has_caek,address,extra_info,has_run_out,stall_name,stall_description,stall_website,first_report,latest_report
QLD,141.72919,Cook,,Aurukun Campus Western Cape College,,Government School,FALSE,,,-13.353817,Aurukun,FALSE,FALSE,"Wuungkam Street, AURUKUN, 4871",,,,,,,
QLD,139.494427,Mount Isa,,Hospital,,Hospital,FALSE,,,-20.73073,Mt Isa Hospital,FALSE,FALSE,"30 Camooweal Street, MOUNT ISA, 4825",,,,,,,
QLD,153.038274,Sandgate,,Uniting Church,,Church,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",http://www.couriermail.com.au/questnews/east/schools-in-a-rush-to-organise-food-stalls-in-time-for-election-day-on-january-31/story-fni9r0lo-1227200790821,-27.316655,Bracken Ridge Central,FALSE,TRUE,"Pellinore Road, BRACKEN RIDGE, 4017",,,,,,,
QLD,145.373903,Cook,,State School,,Government School,FALSE,,,-16.46218,Mossman,FALSE,FALSE,"30 - 34 Front Street, MOSSMAN, 4873",,,,,,,
QLD,151.970627,"Toowoomba North, Toowoomba South",,St Josephs College MacKillop Centre,,Private School,FALSE,,,-27.571801,St Josephs,FALSE,FALSE,"Coronet Street, TOOWOOMBA, 4350",,,,,,,
QLD,148.158517,Gregory,,Denison State School - Pre-School,,Kindergarten,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",Twitter,-23.53597,Emerald South,FALSE,FALSE,"16 Gray Street, EMERALD, 4720",,,,,,,
QLD,149.155625,"Mackay, Mirani",,,,Other,FALSE,,,-21.166355,Nebo Road,FALSE,FALSE,Shop 1317 Nebo RoadWEST MACKAY4740,,,,,,,
QLD,151.890439,Callide,,State School,,Government School,FALSE,,,-25.612245,Coalstoun Lakes,FALSE,FALSE,"3 Main Street, COALSTOUN LAKES, 4621",,,,,,,
QLD,153.003301,Algester,,State School,,Government School,FALSE,,,-27.615758,Pallara,FALSE,FALSE,"282 Ritchie Road, PALLARA, 4110",,,,,,,
QLD,152.850477,Hervey Bay,,State School,,Government School,FALSE,,,-25.298377,Kawungan,FALSE,FALSE,"Grevillea Street, KAWUNGAN, 4655",,,,,,,
QLD,145.42652,"Cook, Cook",,Returning Officer Cook Pre-Poll,,Other,FALSE,,,-16.990916,Mobile Team 4,FALSE,FALSE,"Remote Area Mobile Polling Team, 14 Sutherland Street, Mareeba, 4880",,,,,,,
QLD,150.386701,Mirani,,School of Arts Hall,,Hall,FALSE,,,-23.645045,Mt Morgan,FALSE,FALSE,"Morgan Street, MOUNT MORGAN, 4714",,,,,,,
QLD,142.654129,Gregory,,State School,,Government School,FALSE,,,-25.419604,Windorah,FALSE,FALSE,"8 Victoria Street, WINDORAH, 4481",,,,,,,
QLD,151.937724,Southern Downs,,St Paul's Anglican Hall,,Church,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",@scottemerson,-28.652691,Stanthorpe,FALSE,FALSE,"2 Corundum Street, STANTHORPE, 4380",,,,,,,
QLD,148.581151,Whitsunday,,Court House,,Courthouse,FALSE,,,-20.401327,Proserpine,FALSE,FALSE,"17 Main Street, PROSERPINE, 4800",,,,,,,
QLD,145.320744,Cook,,State School,,Government School,FALSE,,,-16.249795,Daintree,FALSE,FALSE,"Osborne Street, DAINTREE, 4873",,,,,,,
QLD,152.378654,Burnett,,Alloway State School,,Government School,FALSE,,,-24.952075,Elliott,FALSE,FALSE,"4334 Goodwood Road, ALLOWAY, 4670",,,,,,,
QLD,153.131304,Beaudesert,,Middle Park,,Other,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",@sausagesizzles,-27.880527,Tamborine,FALSE,FALSE,"2205 Beenleigh-Beaudesert Road, TAMBORINE, 4270",,,,,,,
QLD,146.799762,Townsville,,Corcoran Park Netball Association,,Other,FALSE,,,-19.286841,Rosslea,FALSE,FALSE,"111 Queens Road, HERMIT PARK, 4812",,,,,,,
QLD,151.979085,Nanango,,Booie Hall,,Hall,FALSE,,,-26.530639,Booie,FALSE,FALSE,"Booie Road, BOOIE, 4610",,,,,,,
QLD,153.058407,Greenslopes,,State School,,Government School,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",@Matt_Layton13,-27.525568,Marshall Road,FALSE,TRUE,"Kurts Street, HOLLAND PARK WEST, 4121",,,,,,,
QLD,152.869332,Bundamba,,State High School,,Government School,FALSE,,,-27.652388,Redbank Plains High,FALSE,FALSE,"Willow Road, REDBANK PLAINS, 4301",,,,,,,
QLD,152.864722,Glass House,,Community Hall,,Hall,FALSE,,,-27.040027,Wamuran,FALSE,FALSE,"D'Aguilar Highway, WAMURAN, 4512",,,,,,,
QLD,146.749905,"Mundingburra, Thuringowa, Townsville",,State School,,Government School,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",@sausagesizzles,-19.293726,Heatley,FALSE,TRUE,"Cnr Mill Drive & Fullham Road, HEATLEY, 4814",,,,,,,
QLD,153.12978,Springwood,,State School,,Government School,FALSE,,,-27.61861,Springwood Central,FALSE,FALSE,"Dennis Road, SPRINGWOOD, 4127",,,,,,,
QLD,145.425721,Cook,,State School,,Government School,FALSE,,,-16.998125,Mareeba,FALSE,FALSE,"Constance Street, MAREEBA, 4880",,,,,,,
QLD,149.217719,Mirani,,St Lukes Anglican Hall,,Church,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",Twitter,-21.421761,Sarina,TRUE,FALSE,"Broad Street, SARINA, 4737",Selling furniture?,,,,,,
QLD,151.270369,Condamine,,State School,,Government School,FALSE,,,-27.195731,Dalby South,FALSE,FALSE,"Cnr Bunya & Hogan Streets, DALBY, 4405",,,,,,,
QLD,151.298136,Callide,,CWA Hall,,Hall,FALSE,,,-25.590627,Mundubbera,FALSE,FALSE,"79 Lyons Street, MUNDUBBERA, 4626",,,,,,,
QLD,153.009814,Mount Coot-tha,,State School,,Government School,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",@JonathanLea10,-27.460222,Petrie Terrace,FALSE,FALSE,"40 Moreton Street, PADDINGTON, 4064",,,,,,,
QLD,149.974923,Callide,,Kianga Memorial Hall,,Hall,FALSE,,,-24.572358,Moura,FALSE,FALSE,"McArthur Street, MOURA, 4718",,,,,,,
QLD,153.036138,Beaudesert,,Emmaus College,,Private School,FALSE,,,-27.833589,Jimboomba Central,FALSE,FALSE,"48 East Street, JIMBOOMBA, 4280",,,,,,,
QLD,146.782204,Townsville,,Marian School,,Private School,FALSE,,,-19.276912,Currajong North,FALSE,FALSE,"Cnr Hugh & Corcoran Streets, CURRAJONG, 4812",,,,,,,
QLD,153.077526,"Bulimba, Chatsworth, Greenslopes",,School of Arts Hall,,Hall,FALSE,,,-27.49295,Camp Hill,FALSE,FALSE,"cnr Old Cleveland Rd and Wiles Street, CAMP HILL, 4152",,,,,,,
QLD,152.700952,Maryborough,,Guides Hall,,Hall,FALSE,,,-25.52863,North Street,FALSE,FALSE,"73 North Street, NEWTOWN, 4650",,,,,,,
QLD,141.744722,Cook,,State School Library,,Government School,FALSE,,,-15.471667,Kowanyama,FALSE,FALSE,"Kowanyama Street, KOWANYAMA, 4892",,,,,,,
QLD,152.844785,Hervey Bay,,Baycrest RSL Care,,Other,FALSE,,,-25.307306,Baycrest,FALSE,FALSE,"99 Doolong Road, Kawungan, 4655",,,,,,,
QLD,153.106499,Woodridge,,Woodridge North State School,,Government School,FALSE,,,-27.6264,Woodridge North,FALSE,FALSE,"Arthur Street, WOODRIDGE, 4114",,,,,,,
