polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Randwick North (Kingsford Smith),151.247,Kingsford Smith,assisted wheelchair access,Randwick Literary Institute,7 Sep 2013 8:00-18:00,FALSE,60 Clovelly Rd RANDWICK NSW 2031,,NSW,-33.9057,FALSE,FALSE,,,,,,,,,
Peters Corner,151.2396486,Kingsford Smith,assisted wheelchair access,Randwick Presbyterian Church,7 Sep 2013 8:00-18:00,FALSE,cnr Alison Rd & Cook St   RANDWICK NSW 2031,,NSW,-33.9126406,FALSE,FALSE,,,,,,,,,
Randwick (Kingsford Smith),151.243,Kingsford Smith,assisted wheelchair access,Randwick Public School,7 Sep 2013 8:00-18:00,TRUE,Cowper St   RANDWICK NSW 2031,Booth Reviews,NSW,-33.91,FALSE,TRUE,,,,,,,,,
Randwick East,151.243,Kingsford Smith,no wheelchair access,Randwick Town Hall,7 Sep 2013 8:00-18:00,FALSE,cnr Avoca & Frances Sts RANDWICK NSW 2031,,NSW,-33.9115,FALSE,FALSE,,,,,,,,,
Cannington,115.943,Swan,full wheelchair access,Sevenoaks Senior College,7 Sep 2013 8:00-18:00,FALSE,Sevenoaks St   CANNINGTON WA 6107,,WA,-32.0134,FALSE,FALSE,,,,,,,,,
Ebor,152.3497061,New England,assisted wheelchair access,Ebor Public School,7 Sep 2013 8:00-18:00,FALSE,52 Ebor St EBOR NSW 2453,,NSW,-30.4028528,FALSE,FALSE,,,,,,,,,
Duri,150.8169057,New England,assisted wheelchair access,Duri Public Hall,7 Sep 2013 8:00-18:00,FALSE,12 Bielfields Rd DURI NSW 2344,,NSW,-31.2183536,FALSE,FALSE,,,,,,,,,
Emmaville,151.6011641,New England,assisted wheelchair access,Emmaville Central School,7 Sep 2013 8:00-18:00,FALSE,20-28 Park Rd   EMMAVILLE NSW 2371,,NSW,-29.4471382,FALSE,FALSE,,,,,,,,,
Reekara,143.916,Braddon,no wheelchair access,Reekara Community Complex,7 Sep 2013 8:00-18:00,FALSE,2249 North Rd   REEKARA TAS 7256,,TAS,-39.7532,FALSE,FALSE,,,,,,,,,
Natone,145.922,Braddon,assisted wheelchair access,Natone Primary School,7 Sep 2013 8:00-18:00,FALSE,100 Upper Natone Rd   NATONE TAS 7321,,TAS,-41.1701,FALSE,FALSE,,,,,,,,,
