polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,first_report,latest_report,stall_name,stall_description,stall_website
Seymour College,145.14112,Euroa District,,Seymour East,,FALSE, Loco Street Seymour 642 D8,,VIC,-37.02984,FALSE,FALSE,,,,,,,,,
Keysborough College (ACACIA Campus),145.18223,Keysborough District,,Noble Park South,,FALSE, 28 Isaac Road Keysborough 89 G7,,VIC,-37.98465,FALSE,FALSE,,,,,,,,,
Bundalong Hall,146.172595,Ovens Valley District,,Bundalong,,FALSE, Pyke Street Bundalong 34 D2,,VIC,-36.037594,FALSE,FALSE,,,,,,,,,
Wyuna Public Hall,145.06094,Murray Plains District,,Wyuna,,FALSE, Alfred Road Wyuna 32 C5,,VIC,-36.197544,FALSE,FALSE,,,,,,,,,
Yinnar RSL Hall,146.330212,Morwell District,,Yinnar,,FALSE, 20 Main Street Yinnar 701 S3,,VIC,-38.320316,FALSE,FALSE,,,,,,,,,
Kilsyth Primary School,145.31494,Croydon District,,Kilsyth,,FALSE, Durham Road Kilsyth 51 F5,,VIC,-37.80211,FALSE,FALSE,,,,,,,,,
Monmia Primary School,144.792546,St Albans District,,Monmia,,FALSE, Copernicus Way Keilor Downs 13 J6,,VIC,-37.717746,FALSE,FALSE,,,,,,,,,
Badger Creek Primary School,145.532613,Eildon District,,Badger Creek,,FALSE, Badger Creek Road Badger Creek 721 R11,,VIC,-37.680588,FALSE,FALSE,,,,,,,,,
Marlo Primary School,148.53504,Gippsland East District,,Marlo,,FALSE, Jorgenson Street Marlo 684 B4,,VIC,-37.79627,FALSE,FALSE,,,,,,,,,
Katunga Primary School,145.45561,Shepparton District,,Katunga,,FALSE, Carter Street Katunga 32 J2,,VIC,-35.99856,FALSE,FALSE,,,,,,,,,
Bundoora Secondary College,145.061509,Bundoora District,,Bundoora,,FALSE, 53 Balmoral Avenue Bundoora 19 K3,,VIC,-37.707613,FALSE,FALSE,,,,,,,,,
Dorset Primary School,145.285591,Croydon District,,Dorset,,FALSE, Rescorla Avenue Croydon 51 A7,,VIC,-37.809991,FALSE,FALSE,,,,,,,,,
Mt Eliza North Primary School,145.10054,Mornington District,,Mt Eliza North,,TRUE, Moseley Drive Mount Eliza 105 J2,,VIC,-38.1884,FALSE,FALSE,,,,,,,,,
Netherby Hall,141.651568,Lowan District,,Netherby,,FALSE, 5 William Street Netherby 25 C3,,VIC,-36.108722,FALSE,FALSE,,,,,,,,,
Lindenow Pre-School,147.456315,Gippsland East District,,Lindenow,,FALSE, 152 Main Road Lindenow 83 J6,,VIC,-37.799832,FALSE,FALSE,,,,,,,,,
Fawkner Primary School,144.97389,Broadmeadows District,,Fawkner,,FALSE, 40 Lorne Street Fawkner 17 K5,,VIC,-37.715398,FALSE,FALSE,,,,,,,,,
Apsley Hall,141.082257,Lowan District,,Apsley,,FALSE, 62 Wallace Street Apsley 38 C9,,VIC,-36.967983,FALSE,FALSE,,,,,,,,,
Romsey Primary School,144.74538,Macedon District,,Romsey,,FALSE, Station Street Romsey 637 R4,,VIC,-37.35418,FALSE,FALSE,,,,,,,,,
Yanakie Public Hall,146.205204,Gippsland South District,,Yanakie,,FALSE, Meeniyan-Promontory Road Yanakie 103 D7,,VIC,-38.811449,FALSE,FALSE,,,,,,,,,
Buckley Park College,144.897222,Niddrie District,,Buckley Park,,TRUE, Cooper Street Essendon 28 C2,,VIC,-37.747457,FALSE,FALSE,,,,,,,,,
Fregon Hall,145.123717,Clarinda District,,Clayton,,FALSE, 40393 Fregon Road Clayton 79D1,,VIC,-37.918205,FALSE,FALSE,,,,,,,,,
Washington Drive Pre-School,145.082012,Clarinda District,,Heatherton North,,FALSE, 3 Washington Drive Oakleigh South 78 D5,,VIC,-37.935629,FALSE,FALSE,,,,,,,,,
Cheltenham Secondary College,145.06859,Clarinda District,,Cheltenham North,,FALSE, 73 Bernard Street Cheltenham 78 A10,,VIC,-37.95334,FALSE,FALSE,Enviro Team + some Yr 9 CONNECT students: Sustainability Stall ,,,,,,,,
Cranbourne Park Primary School,145.27748,Cranbourne District,,Cranbourne Park,,FALSE, 1 Tucker Street Cranbourne 133 H3,,VIC,-38.10393,FALSE,FALSE,,,,,,,,,
St. Josephs Catholic Primary School,145.150492,Clarinda District,,Springvale Central,,FALSE, corner Buckingham and St James Avenue Springvale 79 K10,,VIC,-37.953404,TRUE,FALSE,,,,,,,,,
Clayton South Primary School,145.11622,Clarinda District,,Clayton South,,TRUE, 539 Clayton Road Clayton South 79 B7,,VIC,-37.94054,FALSE,TRUE,,,,,,,,,
Bruce Park Hall,145.139076,Frankston District,,Bruce Park,,FALSE, Margate Avenue Frankston 102 G7,,VIC,-38.160987,FALSE,FALSE,,,,,,,,,
Ruffy Public Hall,145.500229,Euroa District,,Ruffy,,FALSE, Nolans Road Ruffy 47 A9,,VIC,-36.975545,FALSE,FALSE,,,,,,,,,
Rupanyup Senior Citizens Hall,142.629308,Lowan District,,Rupanyup,,FALSE, 21 Dyer Street Rupanyup 41 B4,,VIC,-36.631915,FALSE,FALSE,,,,,,,,,
Lexton Community Centre,143.514324,Ripon District,,Lexton,,FALSE, 1 Goldsmith Street Lexton 557 N3,,VIC,-37.274977,FALSE,FALSE,,,,,,,,,
Cheltenham East Primary School,145.06835,Clarinda District,,Cheltenham East,,TRUE, Silver Street Cheltenham 87 A1,,VIC,-37.96526,FALSE,TRUE,,,,,,,,,
Spring Parks Primary School - Valley Campus,145.13908,Clarinda District,,Spring Valley,,FALSE, 27-39 Clarke Road Springvale South 88 G1,,VIC,-37.96378,FALSE,FALSE,,,,,,,,,
Alkira Secondary College,145.309659,Cranbourne District,,Casey Central,,FALSE, 15 Nurture Avenue Cranbourne North 130 F7,,VIC,-38.073425,FALSE,FALSE,,,,,,,,,
Glenhuntly Primary School,145.046969,Oakleigh District,,Glenhuntly East,,TRUE, Grange Road Glen Huntly 68 F6,,VIC,-37.893842,FALSE,TRUE,,,,,,,,,
Morwell Senior Citizens Centre,146.390043,Morwell District,,Morwell,,FALSE, Maryvale Crescent Morwell 698 K7,,VIC,-38.237292,FALSE,FALSE,,,,,,,,,
Lurg Public Hall,146.126311,Euroa District,,Lurg,,FALSE, Winton-Lurg Road Lurg 48 D3,,VIC,-36.581702,FALSE,FALSE,,,,,,,,,
Skye Primary School,145.20124,Carrum District,,Skye,,FALSE, 395 Ballarto Road Skye 132 A7,,VIC,-38.11771,FALSE,FALSE,,,,,,,,,
Marnoo Primary School,142.87035,Ripon District,,Marnoo,,FALSE, 80 Newall Street Marnoo 41 F4,,VIC,-36.67685,FALSE,FALSE,,,,,,,,,
Belmore School,145.08118,Kew District,,Balwyn West,,TRUE, 49 Stroud Street Balwyn 46 D5,,VIC,-37.804166,FALSE,TRUE,,,,,,,,,
Lynbrook Primary School,145.248439,Cranbourne District,,Lynbrook,,FALSE, corner Paterson Drive and Ronans Retreat Lynbrook 96 B12,,VIC,-38.052417,FALSE,FALSE,,,,,,,,,
St Mary Magdalen's School,145.101198,Burwood District,,Jordanville South,,TRUE, 20 Bolwarra Street Chadstone 69 J2,,VIC,-37.879776,FALSE,TRUE,St. Mary Magdelan's Primary School Fete,,,,,,,,
Hartwell Primary School,145.083929,Burwood District,,Hartwell,,FALSE, Milverton Street Camberwell 60 E5,,VIC,-37.84758,FALSE,FALSE,,,,,,,,,
Alfred Road Kindergarten,145.088825,Burwood District,,Burwood,,TRUE, 48a Alfred Road Glen Iris 60 F7,,VIC,-37.854357,FALSE,TRUE,,,,,,,,,
St Benedict's Primary School Hall,145.097301,Burwood District,,Burwood Central,,TRUE, 40423 Central Avenue Burwood 60 H5,,VIC,-37.849422,FALSE,TRUE,,,,,,,,,
Solway Primary School,145.07333,Burwood District,,Glen Iris South,,TRUE, Winton Road Ashburton 60 B12,,VIC,-37.872499,FALSE,TRUE,,,,,,,,,
Craig Family Centre,145.084077,Burwood District,,Alamein,,FALSE, 7 Samarinda Avenue Ashburton 60 E10,,VIC,-37.866675,FALSE,FALSE,,,,,,,,,
Ashwood Secondary College,145.105268,Burwood District,,Ashwood,,TRUE, Vannam Drive Ashwood 60 J10,,VIC,-37.865089,FALSE,FALSE,,,,,,,,,
Ashburton Primary School,145.08381,Burwood District,,Ashburton,,TRUE, Fakenham Road Ashburton 60 E9,,VIC,-37.86221,FALSE,TRUE,,,,,,,,,
Youth With A Mission,145.090117,Burwood District,,Chatham South,,FALSE, 1 Kent Road Surrey Hills 46 F12,,VIC,-37.827591,FALSE,FALSE,,,,,,,,,
St Scholastica's Community Centre,145.125772,Burwood District,,Starling,,TRUE, 40393 Starling Street Burwood 61 D6,,VIC,-37.852079,FALSE,FALSE,Scones!,,,,,,,,
Napoleons Primary School,143.82646,Buninyong District,,Napoleons,,FALSE, 4721 Colac-Ballarat Road Napoleons 76 F4,,VIC,-37.67863,FALSE,FALSE,,,,,,,,,
Canadian Lead Primary School,143.87591,Buninyong District,,Canadian,,FALSE, 301 Otway Street South Canadian 566 G10,,VIC,-37.57297,FALSE,FALSE,,,,,,,,,
Eltham Woods Pre-School,145.167305,Eltham District,,Eltham Woods,,FALSE, 50A Frank Street Eltham 22 D3,,VIC,-37.707901,FALSE,FALSE,,,,,,,,,
Lilydale Baptist Chuch,145.362449,Evelyn District,,Lilydale Lake,,TRUE, 305 Swansea Road Lilydale 38 C10,,VIC,-37.776369,FALSE,FALSE,,,,,,,,,
Noojee Community Hall,145.997958,Narracan District,,Noojee,,FALSE, Henty Street Noojee 80 H8,,VIC,-37.892616,FALSE,FALSE,,,,,,,,,
Clunes Primary School,143.79211,Ripon District,,Clunes,,FALSE, 1 Canterbury Road Clunes 584 D4,,VIC,-37.29075,FALSE,FALSE,,,,,,,,,
Myrniong Primary School,144.34632,Buninyong District,,Myrniong,,FALSE, Blow Street Myrniong 77 G3,,VIC,-37.61972,FALSE,FALSE,,,,,,,,,
Ross Creek Hall,143.757377,Buninyong District,,Ross Creek,,FALSE, 655 Sebastopol-Smythesdale Road Ross Creek 76 E4,,VIC,-37.633285,FALSE,FALSE,,,,,,,,,
Mount Pleasant Primary School,143.85815,Buninyong District,,Mount Pleasant,,FALSE, 401 Cobden Street (access via Trethowan Street) Mount Pleasant 566 D12,,VIC,-37.57794,FALSE,FALSE,,,,,,,,,
Buninyong Primary School,143.88577,Buninyong District,,Buninyong,,FALSE, 202 Simpson Street Buninyong 578 J5,,VIC,-37.6541,FALSE,FALSE,,,,,,,,,
Dereel Soldiers' Memorial Community Centre,143.752631,Buninyong District,,Dereel,,FALSE, Swamp Road Dereel 92 G8,,VIC,-37.819718,FALSE,FALSE,,,,,,,,,
Damascus College,143.869287,Buninyong District,,Mount Clear,,FALSE, 1412 Geelong Road Mount Clear 572 F6,,VIC,-37.610622,FALSE,FALSE,,,,,,,,,
Sebastopol RSL,143.839933,Buninyong District,,Sebastopol,,FALSE, 10 Birdwood Avenue Sebastopol 571 U4,,VIC,-37.597443,FALSE,FALSE,,,,,,,,,
Mount Wallace Hall,144.218611,Buninyong District,,Mount Wallace,,FALSE, Mount Wallace Hall Lane Mount Wallace 77 E5,,VIC,-37.738233,FALSE,FALSE,,,,,,,,,
Albert Street Primary School,146.26435,Narracan District,,Moe,,FALSE, 40 Albert Street (access via Anzac Street) Moe 700 F4,,VIC,-38.17471,FALSE,FALSE,,,,,,,,,
John Paul College,145.138845,Frankston District,,John Paul College,,FALSE, McMahons Road Frankston 99 G12,,VIC,-38.135559,TRUE,FALSE,,,,,,,,,
St. David's Parkdale Uniting Church,145.078824,Mordialloc District,,Parkdale,,TRUE, corner Parkers Road and Blanche Avenue Parkdale 87 D9,,VIC,-37.992495,FALSE,FALSE,,,,,,,,,
Sandy Creek Memorial Hall,147.112062,Benambra District,,Sandy Creek,,FALSE, Lockhart's Gap Road Sandy Creek 36 C6,,VIC,-36.275905,FALSE,FALSE,,,,,,,,,
Victory Lutheran Primary School,146.846635,Benambra District,,Victory,,TRUE, 28 Drage Road Wodonga 654 E4,,VIC,-36.116969,FALSE,FALSE,,,,,,,,,
Wooragee Centenary Hall,146.730855,Benambra District,,Wooragee,,FALSE, 1011 Beechworth-Wodonga Road Wooragee 659 O2,,VIC,-36.290509,FALSE,FALSE,,,,,,,,,
Chiltern Senior Citizens Hall,146.611575,Benambra District,,Chiltern,,FALSE, 84 Conness Street Chiltern 658 D3,,VIC,-36.151234,FALSE,FALSE,,,,,,,,,
Bonegilla Hall,147.005839,Benambra District,,Bonegilla,,FALSE, Murray Valley Highway Bonegilla 36 B4,,VIC,-36.140956,FALSE,FALSE,,,,,,,,,
St. Augustine's Catholic Primary School,146.89013,Benambra District,,Wodonga,,FALSE, Osburn Street Wodonga 653 N5,,VIC,-36.117016,FALSE,FALSE,,,,,,,,,
Tallangatta Valley Public Hall,147.391171,Benambra District,,Tallangatta Valley,,FALSE, Polmear Street Tallangatta Valley 36 H6,,VIC,-36.287427,FALSE,FALSE,,,,,,,,,
St Albans Parish Hall,147.050812,Benambra District,,Running Creek,,FALSE, 5253 Kiewa Valley Highway Running Creek 50 B2,,VIC,-36.533246,FALSE,FALSE,,,,,,,,,
Mt Beauty Community Centre,147.170763,Benambra District,,Mt Beauty,,FALSE, Kiewa Crescent Mt Beauty 660 H10,,VIC,-36.742977,FALSE,FALSE,,,,,,,,,
Stanley Safer Place,146.754617,Benambra District,,Stanley,,FALSE, Pioneer Road Stanley 35 D8,,VIC,-36.403197,FALSE,FALSE,,,,,,,,,
St Augustine's Primary School,144.819875,Niddrie District,,Calder Rise,,FALSE, Augustines Way Keilor 14 E4,,VIC,-37.710928,FALSE,FALSE,,,,,,,,,
Thornbury Primary School,144.99675,Northcote District,,Thornbury,,TRUE, 16-22 Hutton Street Thornbury 30 E4,,VIC,-37.75543,FALSE,TRUE,,,,,,,,,
Flinders Civic Hall,145.015893,Nepean District,,Flinders,,FALSE, Cook Street Flinders 261 K8,,VIC,-38.473345,FALSE,FALSE,,,,,,,,,
St Christopher's Catholic Primary School,144.880219,Niddrie District,,Airport West,,FALSE, 34 Roberts Road Airport West 15 J8,,VIC,-37.725385,FALSE,FALSE,,,,,,,,,
Barnawartha Soldiers Memorial Hall,146.673874,Benambra District,,Barnawartha,,FALSE, 38 High Street Barnawartha 658 J9,,VIC,-36.105522,FALSE,FALSE,,,,,,,,,
Rutherglen Primary School,146.46061,Benambra District,,Rutherglen,,FALSE, 44-46 Murray Street Rutherglen 657 M9,,VIC,-36.05621,FALSE,FALSE,,,,,,,,,
Dederang Multi-Purpose Building,147.021447,Benambra District,,Dederang,,FALSE, Kiewa Valley Highway Dederang 36 B9,,VIC,-36.475328,FALSE,FALSE,,,,,,,,,
Wahgunyah School of Arts Hall,146.393528,Benambra District,,Wahgunyah,,FALSE, 33-35 Foord Street Wahgunyah 656 F6,,VIC,-36.0109,FALSE,FALSE,,,,,,,,,
Beechworth Primary School,146.69357,Benambra District,,Beechworth,,FALSE, 17 Junction Road Beechworth 659 P3,,VIC,-36.35543,FALSE,FALSE,,,,,,,,,
Walwa Servicemen's Memorial Hall,147.737238,Benambra District,,Walwa,,FALSE, Main Street Walwa 37 D1,,VIC,-35.963982,FALSE,FALSE,,,,,,,,,
Kergunyah Memorial Hall,147.028289,Benambra District,,Kergunyah,,FALSE, Kergunyah Road Kergunyah 36 B7,,VIC,-36.327829,FALSE,FALSE,,,,,,,,,
Cudgewa Mechanics Institute,147.778683,Benambra District,,Cudgewa,,FALSE, 195 Main Street Cudgewa 37 E4,,VIC,-36.18466,FALSE,FALSE,,,,,,,,,
Tawonga Primary School,147.14325,Benambra District,,Tawonga,,TRUE, 91 Kiewa Valley Highway Tawonga 662 H3,,VIC,-36.6914,FALSE,FALSE,,,,,,,,,
Mitta Mitta Mechanics Institute,147.376406,Benambra District,,Mitta Mitta,,FALSE, 5543 Omeo Highway Mitta Mitta 50 G2,,VIC,-36.537287,FALSE,FALSE,,,,,,,,,
Caledonian Primary School,143.89424,Wendouree District,,Caledonian,,TRUE, Thompson Street Brown Hill 567 L7,,VIC,-37.55542,FALSE,FALSE,,,,,,,,,
Beverley Hills Primary School,145.159576,Warrandyte District,,Beverley Hills,,FALSE, Cassowary Street Doncaster East 48 B3,,VIC,-37.796811,FALSE,FALSE,,,,,,,,,
Ss Peter & Paul Catholic Parish,145.152478,Warrandyte District,,Doncaster Heights,,TRUE, 23 Leeds Street Doncaster East 47 K2,,VIC,-37.790732,FALSE,TRUE,,,,,,,,,
Whitefriars College,145.198786,Warrandyte District,,Donvale,,FALSE, 156 Park Road Donvale 49 A2,,VIC,-37.791142,FALSE,FALSE,,,,,,,,,
Urquhart Park Primary School,143.83122,Wendouree District,,Ballarat South West,,FALSE, 49 Inkerman Street Newington 565 T9,,VIC,-37.56602,FALSE,FALSE,,,,,,,,,
McCallum Community Centre,143.813113,Wendouree District,,Alfredton,,FALSE, 29 Learmonth Street Alfredton 565 Q7,,VIC,-37.557891,FALSE,FALSE,,,,,,,,,
Skipton Street Uniting Church,143.845213,Wendouree District,,Skipton Street,,FALSE, corner Skipton and Darling Streets Redan 566 B11,,VIC,-37.575499,FALSE,FALSE,,,,,,,,,
Ballarat and Queens Grammar,143.830922,Wendouree District,,Wendouree,,FALSE, 201 Forest Street Wendouree 565 T3,,VIC,-37.538006,FALSE,FALSE,,,,,,,,,
Delacombe Primary School,143.81856,Wendouree District,,Delacombe,,FALSE, 110-120 Greenhalghs Road Delacombe 571 Q1,,VIC,-37.58491,FALSE,FALSE,,,,,,,,,
Black Hill Primary School,143.86978,Wendouree District,,Black Hill,,TRUE, 601 Chisholm Street Black Hill 566 F6,,VIC,-37.54984,FALSE,FALSE,,,,,,,,,
Aldercourt Primary School,145.16162,Frankston District,,Aldercourt,,FALSE, Silver Avenue (access via Wallowa Avenue) Frankston North 100 B7,,VIC,-38.11662,TRUE,FALSE,,,,,,,,,
McClelland College,145.158374,Frankston District,,Ballam Park,,TRUE, 31 Belar Avenue (Access via Alexander Cres) Frankston 103 A3,,VIC,-38.146691,FALSE,FALSE,,,,,,,,,
Frankston East Primary School,145.145905,Frankston District,,Frankston East,,FALSE, Ashleigh Avenue Frankston 102 H3,,VIC,-38.146351,TRUE,FALSE,,,,,,,,,
Frankston Heights Primary School,145.14671,Frankston District,,Frankston Heights,,TRUE, 10 Kalmia Street Frankston 102 J7,,VIC,-38.16228,FALSE,TRUE,,,,,,,,,
St Pauls Anglican Church Hall,145.118187,Frankston District,,Frankston Beach,,FALSE, corner Bay and High Streets Frankston 102 C3,,VIC,-38.147518,FALSE,FALSE,,,,,,,,,
Mount Erin College,145.146724,Frankston District,,Mt Erin,,TRUE, Robinsons Road Frankston South 102 J10,,VIC,-38.173431,FALSE,FALSE,,,,,,,,,
Mahogany Rise Primary School,145.1574,Frankston District,,Frankston Forest,,TRUE, Forster Avenue Frankston North 100 A9,,VIC,-38.12562,FALSE,TRUE,,,,,,,,,
Karingal Heights Primary School,145.16636,Frankston District,,Karingal Heights,,FALSE, Havana Crescent Frankston 103 C1,,VIC,-38.14102,FALSE,FALSE,,,,,,,,,
St Peters School,144.85932,Niddrie District,,Keilor East,,TRUE, 2A Parkside Avenue Keilor East 27 D1,,VIC,-37.74453,FALSE,FALSE,,,,,,,,,
Point Nepean National Park Information Centre,144.702912,Nepean District,,Portsea,,FALSE, Point Nepean Road Portsea 156 C2,,VIC,-38.319026,FALSE,FALSE,,,,,,,,,
Shoreham Hall,145.04538,Nepean District,,Shoreham,,FALSE, 67 Byrnes Road Shoreham 256 F8,,VIC,-38.427605,FALSE,FALSE,,,,,,,,,
St Andrews Recreation Hall,144.838801,Nepean District,,St Andrews Beach,,FALSE, 99 Bass Meadows Boulevard St Andrews Beach 251 K6,,VIC,-38.42205,FALSE,FALSE,,,,,,,,,
Tootgarook Primary School,144.857482,Nepean District,,Tootgarook,,FALSE, Carmichael Street (access via Wilkinson Street) Tootgarook 169 D4,,VIC,-38.369646,FALSE,FALSE,,,,,,,,,
Rosebud Memorial Hall,144.90016,Nepean District,,Rosebud,,FALSE, 994 Point Nepean Road Rosebud 158 D12,,VIC,-38.356339,FALSE,FALSE,,,,,,,,,
Dromana Primary School,144.95965,Nepean District,,Dromana,,FALSE, McCulloch Street Dromana 159 G8,,VIC,-38.33964,FALSE,FALSE,,,,,,,,,
Dromana Senior Citizens Club,144.966904,Nepean District,,Dromana Beach,,FALSE, 43 Pier Street Dromana 159 J6,,VIC,-38.334207,FALSE,FALSE,,,,,,,,,
Rye Civic Hall,144.821498,Nepean District,,Rye,,FALSE, 12 Napier Street Rye 168 F4,,VIC,-38.371891,FALSE,FALSE,,,,,,,,,
Hillsmeade Primary School,145.30748,Narre Warren South District,,Hillsmeade,,FALSE, 82 The Promenade Narre Warren South 130 E5,,VIC,-38.06499,FALSE,FALSE,,,,,,,,,
Oakgrove Community Centre,145.297612,Narre Warren South District,,Oakgrove,,FALSE, 89-101 Oakgrove Drive Narre Warren South 130 C2,,VIC,-38.057309,FALSE,FALSE,,,,,,,,,
Hampton Park Primary School,145.25294,Narre Warren South District,,Hampton Park,,TRUE, Regans Road Hampton Park 96 C7,,VIC,-38.03046,FALSE,TRUE,,,,,,,,,
Berwick Fields Primary School,145.33365,Narre Warren South District,,Centre Road,,TRUE, 35 Gwendoline Drive Berwick 111 A12,,VIC,-38.04955,FALSE,FALSE,Sausages have sold out! Stall gone!,,,,,,,,
Berwick Chase Primary School,145.34696,Narre Warren South District,,Berwick Chase,,FALSE, 72 Viewgrand Drive Berwick 131 D5,,VIC,-38.06743,FALSE,FALSE,,,,,,,,,
Hampton Park Secondary College,145.25915,Narre Warren South District,,Hampton Park East,,FALSE, 58-96 Fordholm Road (access via Campbell Drive) Hampton Park 96 D9,,VIC,-38.03492,FALSE,FALSE,,,,,,,,,
Kilberry Valley Primary School,145.27926,Narre Warren South District,,Kilberry Valley,,FALSE, Kilberry Boulevard Hampton Park 96 J8,,VIC,-38.0336,FALSE,FALSE,,,,,,,,,
Brentwood Park Primary School,145.346428,Narre Warren South District,,Berwick South,,TRUE, Bemersyde Drive Berwick 131 D1,,VIC,-38.052434,FALSE,FALSE,,,,,,,,,
Karingal Community Living - Konnections,144.913133,Nepean District,,Rosebud South,,FALSE, 25 Leon Avenue Rosebud 170 F2,,VIC,-38.361638,FALSE,FALSE,,,,,,,,,
Narre Warren South P-12 College,145.286818,Narre Warren South District,,Narre Warren South,,FALSE, 79-125 Amberly Park Drive (access via Ormond Road) Narre Warren South 3805 129 K1,,VIC,-38.049559,FALSE,FALSE,,,,,,,,,
Mentone Park Primary School,145.0828,Mordialloc District,,Mentone Park,,FALSE, 40359 Broome Avenue Mentone 87 E5,,VIC,-37.98001,FALSE,FALSE,,,,,,,,,
Chelsea Heights Primary School,145.138767,Mordialloc District,,Chelsea Heights,,TRUE, 194 Thames Promenade Chelsea Heights 93 G11,,VIC,-38.045161,FALSE,FALSE,,,,,,,,,
Chelsea Town Hall,145.116178,Mordialloc District,,Chelsea,,FALSE, 316 Station Street Chelsea 97 B1,,VIC,-38.050771,FALSE,FALSE,,,,,,,,,
Carinya Society.,144.95436,Pascoe Vale District,,Coburg South,,FALSE, 6 Bellevue Street Coburg 29 F1,,VIC,-37.743101,FALSE,FALSE,,,,,,,,,
Coburg Primary School - Junior Campus,144.967607,Pascoe Vale District,,Coburg,,TRUE, Bell Street Coburg 17 J12,,VIC,-37.741619,FALSE,TRUE,,,,,,,,,
Pascoe Vale North Primary School,144.948203,Pascoe Vale District,,Pascoe Vale North,,FALSE, Kent Rd (access via Derby Street) Pascoe Vale 17 D7,,VIC,-37.721559,FALSE,FALSE,,,,,,,,,
Antonine College - St Joseph's Campus,144.943069,Pascoe Vale District,,Pascoe Vale Central,,FALSE, 71 Grandview Avenue (access via Waverley Parade) Pascoe Vale South 17 C12,,VIC,-37.740917,FALSE,FALSE,,,,,,,,,
Glenroy Specialist School,144.92053,Pascoe Vale District,,Glenroy North,,FALSE, 208 Hilton Street Glenroy 16 H1,,VIC,-37.69936,FALSE,FALSE,,,,,,,,,
Glenroy College,144.926856,Pascoe Vale District,,Glenroy,,FALSE, 120 Glenroy Road (access via Cardinal Road) Glenroy 16 K2,,VIC,-37.705546,FALSE,FALSE,,,,,,,,,
Westbreen Primary School,144.93622,Pascoe Vale District,,Hadfield,,FALSE, 40452 Pascoe Street Pascoe Vale 17 A5,,VIC,-37.71606,FALSE,FALSE,,,,,,,,,
Glenroy West Primary School,144.908699,Pascoe Vale District,,Glenroy West,,FALSE, York Street Glenroy 16 E2,,VIC,-37.705729,FALSE,FALSE,,,,,,,,,
Mentone Scout Hall,145.075953,Mordialloc District,,Mentone North,,FALSE, 38 Levanto Street Mentone 87 C5,,VIC,-37.979051,FALSE,FALSE,,,,,,,,,
Gisborne Primary School,144.58844,Macedon District,,Gisborne,,FALSE, 35 Fisher Street Gisborne 636 C8,,VIC,-37.49086,FALSE,FALSE,,,,,,,,,
St Linus Church Hall,144.958984,Pascoe Vale District,,Merlynston,,FALSE, Glyndon Avenue Coburg North 17 G7,,VIC,-37.721808,FALSE,FALSE,,,,,,,,,
Coburg North Primary School,144.951874,Pascoe Vale District,,Coburg North,,TRUE, 180 O'Hea Street Coburg 17 E11,,VIC,-37.735685,FALSE,TRUE,,,,,,,,,
Parkdale Secondary College,145.0941,Mordialloc District,,Parkdale East,,FALSE, Warren Road Mordialloc East 87 G8,,VIC,-37.98964,FALSE,FALSE,,,,,,,,,
Taylors Hill Primary School,144.759823,Sydenham District,,Taylors Hill,,FALSE, corner Loddon Drive and Watervale Boulevard Taylors Hill 13 A5,,VIC,-37.716619,FALSE,FALSE,,,,,,,,,
Taylors Lakes Secondary College,144.792733,Sydenham District,,Taylors Lakes Central,,FALSE, 12784 Parmelia Drive Taylors Lakes 13 J3,,VIC,-37.707103,FALSE,FALSE,,,,,,,,,
Loch Public Hall,145.707341,Gippsland South District,,Loch,,FALSE, Smith Street Loch 96 D7,,VIC,-38.369791,FALSE,FALSE,,,,,,,,,
Allan McLean Hall,145.086458,Mordialloc District,,Mordialloc East,,FALSE, 37 Albert Street Mordialloc 87 E12,,VIC,-38.004085,FALSE,FALSE,,,,,,,,,
Sydenham Hillside Primary School - Sydenham Campus,144.7621,Sydenham District,,Sydenham,,FALSE, Community Hub Sydenham 13 B1,,VIC,-37.70218,FALSE,FALSE,,,,,,,,,
MacKellar Primary School,144.777331,Sydenham District,,Delahey,,FALSE, 29-35 Goldsmith Avenue Delahey 13 F6,,VIC,-37.718169,FALSE,FALSE,,,,,,,,,
Gladstone Park Secondary College,144.89082,Sunbury District,,Gladstone Park,,FALSE, Taylor Drive Gladstone Park 6 A10,,VIC,-37.68921,FALSE,FALSE,,,,,,,,,
Kongwak Primary School,145.71286,Gippsland South District,,Kongwak,,FALSE, 1445 Wonthaggi-Korumburra Road Kongwak 102 E2,,VIC,-38.51511,FALSE,FALSE,,,,,,,,,
Overnewton Anglican Community,144.774786,Sydenham District,,Taylors Lakes North,,FALSE, 39-57 Robertsons Road Taylors Lakes 3 E10,,VIC,-37.68901,FALSE,FALSE,,,,,,,,,
Catholic Regional College Sydenham,144.771428,Sydenham District,,Sydenham East,,FALSE, 380 Sydenham Road (access via Pecks Road) Sydenham 13 D1,,VIC,-37.699071,FALSE,FALSE,,,,,,,,,
Caroline Springs College - Springside Campus,144.73867,Sydenham District,,Springside,,FALSE, Becca Way Caroline Springs 356 G4,,VIC,-37.71118,FALSE,FALSE,,,,,,,,,
Taylors Lakes Primary School,144.793223,Sydenham District,,Taylors Lakes,,FALSE, Chichester Drive Taylors Lakes 13 J3,,VIC,-37.709293,FALSE,FALSE,,,,,,,,,
