polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,first_report,latest_report,stall_name,stall_description,stall_website
Ferntree Gully Senior Citizens Hall,145.295834,Ferntree Gully District,,Ferntree Gully,,FALSE, 160 Underwood Road Ferntree Gully 74 C2,,VIC,-37.881474,FALSE,FALSE,,,,,,,,,
Wantirna Primary School,145.216509,Ferntree Gully District,,Wantirna,,FALSE, 120 Mountain Highway Wantirna 63 E8,,VIC,-37.856413,FALSE,FALSE,,,,,,,,,
Rolling Hills Primary School,145.327906,Evelyn District,,Rolling Hills,,TRUE, 52 Landscape Drive Mooroolbark 37 K7,,VIC,-37.766469,FALSE,TRUE,,,,,,,,,
Wattleview Primary School,145.277764,Ferntree Gully District,,Ferntree Gully West,,TRUE, Wattletree Road Ferntree Gully 73 J1,,VIC,-37.876052,FALSE,FALSE,,,,,,,,,
Mount Evelyn Primary School,145.389069,Evelyn District,,Mt Evelyn South,,FALSE, 33 Monbulk Road Mount Evelyn 120 D2,,VIC,-37.790832,FALSE,FALSE,,,,,,,,,
Bimbadeen Heights Primary School,145.32114,Evelyn District,,Bimbadeen,,TRUE, Hayrick Lane Mooroolbark 37 J9,,VIC,-37.77376,FALSE,FALSE,,,,,,,,,
Manchester Primary School,145.309388,Evelyn District,,Manchester,,TRUE, Monomeith Street Mooroolbark 37 E9,,VIC,-37.772014,FALSE,TRUE,,,,,,,,,
Lowanna College - Newborough Campus,146.28598,Morwell District,,Newborough East,,FALSE, 72-96 Newark Avenue Newborough 700 J4,,VIC,-38.17668,FALSE,FALSE,,,,,,,,,
Tinamba CFA Complex,146.891884,Gippsland East District,,Tinamba,,FALSE, 17-19 Traralgon-Maffra Road Tinamba 82 G 9,,VIC,-37.963457,FALSE,FALSE,,,,,,,,,
Newmerella Primary School,148.434,Gippsland East District,,Newmerella,,FALSE, McLaughlins Road Newmerella 85 H5,,VIC,-37.73547,FALSE,FALSE,,,,,,,,,
Toorloo Arm Primary School,148.05097,Gippsland East District,,Toorloo Arm,,FALSE, 315 Lake Tyers Beach Road Lake Tyers 85 B7,,VIC,-37.85254,FALSE,FALSE,,,,,,,,,
Bairnsdale Early Learning Centre,147.654821,Gippsland East District,,Bairnsdale East,,FALSE, 70-78 Lucknow Street East Bairnsdale 689 N7,,VIC,-37.826968,FALSE,FALSE,,,,,,,,,
Swifts Creek Hall,147.721811,Gippsland East District,,Swifts Creek,,FALSE, 6869 Great Alpine Road Swifts Creek 66 D6,,VIC,-37.264206,FALSE,FALSE,,,,,,,,,
Alphington Primary School,145.031979,Northcote District,,Alphington,,FALSE, Yarralea Street Alphington 31 C12,,VIC,-37.783931,FALSE,FALSE,,,,,,,,,
Wales Street Primary School,145.008742,Northcote District,,Thornbury South,,TRUE, corner Wales and Speight Streets Thornbury 30 H6,,VIC,-37.761899,FALSE,TRUE,,,,,,,,,
Bell Primary School,144.990678,Northcote District,,Bell,,TRUE, 78A Oakover Road Preston 30 D2,,VIC,-37.747452,FALSE,TRUE,,,,,,,,,
Bruthen Mechanics Hall,147.832069,Gippsland East District,,Bruthen,,FALSE, Main Street Bruthen 686 F10,,VIC,-37.707435,FALSE,FALSE,,,,,,,,,
Cobains Primary School,147.13228,Gippsland East District,,Cobains,,FALSE, 3 Crofts Road Cobains 99 D3,,VIC,-38.07479,FALSE,FALSE,,,,,,,,,
Westgarth Primary School,145.006518,Northcote District,,Northcote South,,TRUE, 313 Clarke Street Northcote 30 G10,,VIC,-37.77702,FALSE,TRUE,,,,,,,,,
Penders Grove Primary School,145.01427,Northcote District,,Thornbury East,,TRUE, 370 Victoria Road Thornbury 30 J4,,VIC,-37.75452,FALSE,TRUE,,,,,,,,,
Black Rock Uniting Church Hall,145.022027,Sandringham District,,Black Rock South,,FALSE, corner Balcombe Road and Central Avenue Black Rock 86 A4,,VIC,-37.976551,FALSE,FALSE,,,,,,,,,
Sandringham Secondary College - Highett Campus,145.021743,Sandringham District,,Highett,,FALSE, 356 Bluff Road Highett 77 A10,,VIC,-37.951155,FALSE,FALSE,,,,,,,,,
Cheltenham Primary School,145.05463,Sandringham District,,Cheltenham,,TRUE, 231 Charman Road Cheltenham 86 H2,,VIC,-37.96861,FALSE,FALSE,,,,,,,,,
Highett Senior Citizens Centre,145.038047,Sandringham District,,Highett South,,FALSE, 2 Livingston Street Highett 77 E8,,VIC,-37.947523,FALSE,FALSE,,,,,,,,,
Black Rock Primary School,145.02164,Sandringham District,,Black Rock,,FALSE, 70 Arkaringa Crescent Black Rock 86 A2,,VIC,-37.969883,FALSE,FALSE,,,,,,,,,
Sandringham Secondary College Beaumaris Campus,145.032825,Sandringham District,,Beaumaris Central,,FALSE, corner Balcombe and Reserve Roads Beaumaris 86 C5,,VIC,-37.979405,FALSE,FALSE,,,,,,,,,
Sandringham Primary School,145.008906,Sandringham District,,Sandringham North,,TRUE, 31 Bamfield Street Sandringham 76 H8,,VIC,-37.947448,FALSE,FALSE,,,,,,,,,
Mentone Girls Secondary College,145.053973,Sandringham District,,Mentone West,,FALSE, corner Balcombe and Charman Roads Mentone 86 H5,,VIC,-37.981063,FALSE,FALSE,,,,,,,,,
St Augustine's Church Hall,145.067616,Sandringham District,,Mentone,,TRUE, 88 Como Parade West Mentone 87 A7,,VIC,-37.986059,FALSE,TRUE,,,,,,,,,
Hampton Uniting Church Hall,145.004622,Sandringham District,,Hampton Central,,FALSE, corner Service and Deakin Streets Hampton 76 G6,,VIC,-37.939519,FALSE,FALSE,,,,,,,,,
Heathcote RSL Hall,144.709211,Euroa District,,Heathcote,,FALSE, 127 High Street Heathcote 276 D6,,VIC,-36.923144,FALSE,FALSE,,,,,,,,,
Tennyson Recreation Centre,144.431314,Murray Plains District,,Tennyson,,FALSE, Prairie Road (access via Tennyson Road) Tennyson 30 H6,,VIC,-36.298553,FALSE,FALSE,,,,,,,,,
Wesley Hall Euroa,145.572737,Euroa District,,Euroa,,FALSE, Bury Street Euroa 306 D10,,VIC,-36.752536,FALSE,FALSE,,,,,,,,,
Hume Central Secondary College - Blair Campus,144.928741,Broadmeadows District,,Broadmeadows North,,FALSE, Blair Street Broadmeadows 6 K7,,VIC,-37.679481,FALSE,FALSE,,,,,,,,,
Bethal Primary School,144.91816,Broadmeadows District,,Bethal,,FALSE, Eldorado Crescent (access via Rockbank court) Meadow Heights 6 G2,,VIC,-37.6597,FALSE,FALSE,,,,,,,,,
Roxburgh Homestead Primary School,144.916368,Broadmeadows District,,Roxburgh Homestead,,FALSE, McPherson Boulevard Roxburgh Park 179 G6,,VIC,-37.632184,FALSE,FALSE,,,,,,,,,
Campbellfield Heights Primary School,144.965584,Broadmeadows District,,Campbellfield,,FALSE, Laurel Crescent Campbellfield 7 H6,,VIC,-37.674947,FALSE,FALSE,,,,,,,,,
Belle Vue Park Primary School,144.943482,Broadmeadows District,,Gowrie Park,,FALSE, Morell Street Glenroy 17 C1,,VIC,-37.701378,FALSE,FALSE,,,,,,,,,
Coolaroo South Primary School,144.930491,Broadmeadows District,,Coolaroo,,FALSE, Bushfield Crescent Coolaroo 6 K2,,VIC,-37.661631,FALSE,FALSE,,,,,,,,,
Dallas Brooks Community Primary School,144.942125,Broadmeadows District,,Upfield,,FALSE, 26-36 King Street Dallas 7 C4,,VIC,-37.670491,FALSE,FALSE,,,,,,,,,
Meadows Primary School,144.92892,Broadmeadows District,,Broadmeadows,,FALSE, 41 Gerbert Street Broadmeadows 6 K9,,VIC,-37.68756,FALSE,FALSE,,,,,,,,,
Moomba Park Primary School,144.966574,Broadmeadows District,,Moomba Park,,FALSE, 111 Anderson Road Fawkner 7 H12,,VIC,-37.695928,FALSE,FALSE,,,,,,,,,
Roxburgh Park Primary School,144.930834,Broadmeadows District,,Roxburgh Park,,TRUE, Almands Avenue (access via Sommeville drive) Roxburgh Park 179 K7,,VIC,-37.634316,FALSE,FALSE,,,,,,,,,
Port Phillip Specialist School,144.941572,Albert Park District,,Port Melbourne West,,TRUE, 127 Nott Street (access via Farrell Street) Port Melbourne 2J E4,,VIC,-37.83664,FALSE,FALSE,,,,,,,,,
Melton West Primary School,144.56749,Melton District,,Melton West,,FALSE, 4 Westmelton Drive Melton West 336 H7,,VIC,-37.67748,FALSE,FALSE,,,,,,,,,
Melton Christian College,144.560365,Melton District,,Brookfield,,FALSE, 152-156 Brooklyn Road Brookfield 342 G1,,VIC,-37.701012,FALSE,FALSE,,,,,,,,,
Bacchus Marsh Leisure Centre,144.432003,Melton District,,Bacchus Marsh,,FALSE, 40663 Labilliere Street Bacchus Marsh 333 G9,,VIC,-37.68392,FALSE,FALSE,,,,,,,,,
