polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Belair,138.625428,Davenport, ;  Full Wheelchair Access,Belair School,,TRUE,45-83 Main Rd BELAIR SA,,SA,-35.00373,FALSE,FALSE,,,,,,,,,
Mundulla,140.6929197,MacKillop, ;  Assisted Wheelchair Access,Mundulla Primary School,,FALSE,Cnr Hinge & Kennedy Sts MUNDULLA SA,,SA,-36.3584166,FALSE,FALSE,,,,,,,,,
Munno Para,138.6850781,Napier,via Douglas Drive;  Full Wheelchair Access,Mark Oliphant College,,FALSE,99 Douglas Dr MUNNO PARA SA,,SA,-34.6738411,FALSE,FALSE,,,,,,,,,
Mount Pleasant,139.038239,Schubert, ;  Assisted Wheelchair Access,Mount Pleasant Soldiers Memorial Hall,,FALSE,10 Melrose Street MOUNT PLEASANT SA,,SA,-34.780295,FALSE,FALSE,,,,,,,,,
Mount Torrens,138.9589961,Kavel, ;  Assisted Wheelchair Access,Mount Torrens Soldiers Memorial Hall,,FALSE,Main Road MOUNT TORRENS SA,,SA,-34.8758247,FALSE,FALSE,,,,,,,,,
Mount Gambier Park,140.794188,Mount Gambier, ;  Assisted Wheelchair Access,McDonald Park Primary School,,FALSE,57 North Tce MOUNT GAMBIER SA,,SA,-37.824117,FALSE,FALSE,,,,,,,,,
Furner,140.338341,MacKillop, ;  Assisted Wheelchair Access,Furner Community Hall,,FALSE,North Tce FURNER SA,,SA,-37.406291,FALSE,FALSE,,,,,,,,,
Keyneton,139.133766,Schubert,via Moculta Road;  No Wheelchair Access,Keyneton Primary School,,FALSE,Moculta Road KEYNETON SA,,SA,-34.554023,FALSE,FALSE,,,,,,,,,
Mount Gambier West,140.7639375,Mount Gambier, ;  Full Wheelchair Access,Mount Gambier High School,,FALSE,Brownes Rd MOUNT GAMBIER SA,,SA,-37.824545,FALSE,FALSE,,,,,,,,,
Mount Gambier East,140.7905126,Mount Gambier, ;  Assisted Wheelchair Access,Melaleuca Park Primary School,,FALSE,Boandik Tce MOUNT GAMBIER SA,,SA,-37.8382561,FALSE,FALSE,,,,,,,,,
Mount Gambier North,140.7725293,Mount Gambier, ;  Assisted Wheelchair Access,Mount Gambier North Primary School,,FALSE,Heath Street MOUNT GAMBIER SA,,SA,-37.8149058,FALSE,FALSE,,,,,,,,,
Mount Compass,138.6214325,Finniss, ;  Full Wheelchair Access,Mount Compass Area School Trade Training Centre,,FALSE,Cnr School Road & Arthur Road MOUNT COMPASS SA,,SA,-35.3510388,FALSE,FALSE,,,,,,,,,
Mount Gambier,140.7589296,Mount Gambier, ;  Full Wheelchair Access,Mount Gambier Christ Church Hall,,FALSE,Bay Road MOUNT GAMBIER SA,,SA,-37.8585661,FALSE,FALSE,,,,,,,,,
Rostrevor South,138.6763533,Morialta,enter via Moules Road;  Full Wheelchair Access,Norwood Morialta Middle School,,FALSE,Morialta Rd West ROSTREVOR SA,,SA,-34.900672,FALSE,FALSE,,,,,,,,,
Rosewater,138.521702,Cheltenham, ;  Assisted Wheelchair Access,Mount Carmel College,,FALSE,33 Newcastle St ROSEWATER SA,,SA,-34.856144,FALSE,FALSE,,,,,,,,,
Royal Park South,138.5114624,Cheltenham, ;  Assisted Wheelchair Access,Hendon Primary School,,FALSE,Cedar Ave ROYAL PARK SA,,SA,-34.8729983,FALSE,FALSE,,,,,,,,,
Royal Park,138.511895,Cheltenham, ;  Assisted Wheelchair Access,United Church Royal Park,,FALSE,50 Tapleys Hill Rd ROYAL PARK SA,,SA,-34.870653,FALSE,FALSE,,,,,,,,,
Jamestown,138.6017993,Stuart, ;  Assisted Wheelchair Access,Jamestown Memorial Hall,,FALSE,Ayr St JAMESTOWN SA,,SA,-33.2052414,FALSE,FALSE,,,,,,,,,
Iron Knob,137.1481361,Giles, ;  Assisted Wheelchair Access,Iron Knob Rural Transaction Centre,,FALSE,Dickinson St IRON KNOB SA,,SA,-32.7255611,FALSE,FALSE,,,,,,,,,
Seaton,138.508657,Lee, ;  Full Wheelchair Access,Seaton High School,,FALSE,Glenburnie St SEATON SA,,SA,-34.8848485,FALSE,FALSE,,,,,,,,,
Sandy Creek,138.8276692,Schubert, ;  Full Wheelchair Access,Sandy Creek Primary School,,FALSE,Davies Rd SANDY CREEK SA,,SA,-34.611704,FALSE,FALSE,,,,,,,,,
Hynam,140.8620684,MacKillop, ;  Assisted Wheelchair Access,Naracoorte Polocrosse Clubroom,,FALSE,Peake Street HYNAM SA,,SA,-36.9363689,FALSE,FALSE,,,,,,,,,
Huntfield Heights,138.516945,Mawson,Melsetter Road;  Full Wheelchair Access,Huntfield Heights Primary School,,FALSE,78 Melsetter Rd HUNTFIELD HEIGHTS SA,,SA,-35.153249,FALSE,FALSE,,,,,,,,,
Ingle Farm North,138.6474316,Playford, ;  Assisted Wheelchair Access,North Ingle Primary School,,FALSE,7 Rothwell Ave INGLE FARM SA,,SA,-34.8203943,FALSE,FALSE,,,,,,,,,
Ingle Farm,138.641024,Playford, ;  Assisted Wheelchair Access,Ingle Farm Primary School,,FALSE,Belalie Rd INGLE FARM SA,,SA,-34.8276363,FALSE,FALSE,,,,,,,,,
Hope Valley,138.7055732,Newland, ;  Full Wheelchair Access,Highbury Primary School,,FALSE,Honeysuckle Dr HOPE VALLEY SA,,SA,-34.8479094,FALSE,FALSE,,,,,,,,,
Holden Hill,138.671214,Torrens, ;  Full Wheelchair Access,Kildare College,,FALSE,96 Valiant Rd HOLDEN HILL SA,,SA,-34.856509,FALSE,FALSE,,,,,,,,,
Houghton,138.7631714,Newland, ;  Full Wheelchair Access,Houghton CWA Room,,FALSE,Cnr Horn & Black Hill Rds HOUGHTON SA,,SA,-34.8285716,FALSE,FALSE,,,,,,,,,
Hope Valley North,138.687805,Florey, ;  Assisted Wheelchair Access,John XXIII Catholic Community Centre,,FALSE,50 Reservoir Rd HOPE VALLEY SA,,SA,-34.839576,FALSE,FALSE,,,,,,,,,
Mitcham,138.619897,Waite,Carpark entry off Smith-Dorien St;  Assisted Wheelchair Access,Mitcham Village Uniting Church Hall,,TRUE,103 Princes Road MITCHAM SA,,SA,-34.976512,FALSE,TRUE,,,,,,,,,
Mitchell Park,138.5574781,Elder,access only via Gate 3 - Marion Road;  Full Wheelchair Access,Hamilton Secondary College,,FALSE,Gate 3/815 Marion Rd MITCHELL PARK SA,,SA,-34.9974885,FALSE,FALSE,,,,,,,,,
Mitchell Park South,138.5612118,Elder, ;  Full Wheelchair Access,Suneden Special School,,FALSE,21 McInerney Ave MITCHELL PARK SA,,SA,-35.0149165,FALSE,FALSE,,,,,,,,,
Moculta,139.1178822,Schubert, ;  Assisted Wheelchair Access,Moculta Soldiers Memorial Hall,,FALSE,Cnr Truro & Angaston Rds MOCULTA SA,,SA,-34.4711386,FALSE,FALSE,,,,,,,,,
Modbury,138.6935754,Florey,enter from Iliad Grove;  Assisted Wheelchair Access,Modbury Primary School,,FALSE,2 Golden Grove Rd MODBURY NORTH SA,,SA,-34.8260257,FALSE,FALSE,,,,,,,,,
Modbury Heights,138.6823646,Florey, ;  Assisted Wheelchair Access,The Heights School,,FALSE,Brunel Dr MODBURY HEIGHTS SA,,SA,-34.8103189,FALSE,FALSE,,,,,,,,,
Modbury North,138.673163,Florey, ;  No Wheelchair Access,Modbury North Kindergarten,,FALSE,12 Burragah Ct MODBURY NORTH SA,,SA,-34.824708,FALSE,FALSE,,,,,,,,,
Modbury South,138.6966108,Florey,car parking via Aroona Avenue;  Assisted Wheelchair Access,Modbury South Primary School,,FALSE,Dampier Ave HOPE VALLEY SA,,SA,-34.8400048,FALSE,FALSE,,,,,,,,,
Modbury West,138.6758384,Florey, ;  Assisted Wheelchair Access,Modbury West Primary School,,FALSE,Wright Rd MODBURY SA,,SA,-34.8341412,FALSE,FALSE,,,,,,,,,
Monash,140.5569993,Chaffey, ;  Assisted Wheelchair Access,Monash Memorial Hall,,FALSE,Randall Tce MONASH SA,,SA,-34.2377818,FALSE,FALSE,,,,,,,,,
Wolseley,140.90626,MacKillop, ;  Assisted Wheelchair Access,Wolseley Community Club,,FALSE,Railway Tce N WOLSELEY SA,,SA,-36.367832,FALSE,FALSE,,,,,,,,,
Woodchester,138.965152,Heysen, ;  Full Wheelchair Access,Richardson Hall,,FALSE,Callington Rd WOODCHESTER SA,,SA,-35.208944,FALSE,FALSE,,,,,,,,,
Woods Point,139.3805639,Hammond, ;  No Wheelchair Access,Woods Point Community Hall,,FALSE,Baily St WOODS POINT SA,,SA,-35.2193919,FALSE,FALSE,,,,,,,,,
Woodside,138.878883,Kavel,enter via William Street;  Full Wheelchair Access,Woodside Primary School,,FALSE,23 Moffett St WOODSIDE SA,,SA,-34.9530021,FALSE,FALSE,,,,,,,,,
Windsor Gardens West,138.6426954,Torrens, ;  Full Wheelchair Access,St Pius X School,,FALSE,8 Windsor Gr WINDSOR GARDENS SA,,SA,-34.8690596,FALSE,FALSE,,,,,,,,,
