stall_description,lon,has_run_out,has_nothing,has_caek,has_bbq,ess_stall_url,ess_stall_id,latest_report,first_report,stall_website,lat,stall_name,extra_info,source,has_other,polling_place_type,booth_info,opening_hours,address,premises,polling_place_name,division,state
,117.522286,FALSE,FALSE,FALSE,FALSE,,,,,,-35.012413,,,,,Community Hall,,,"Youngs Siding Hall, Station Street, YOUNGS SIDING WA 6330",Albany,Youngs Siding Hall,Albany,WA
,115.99975,FALSE,FALSE,FALSE,FALSE,,,,,,-32.13903,,,,,Public School,,,"40 Braemore Street, ARMADALE WA 6112",Armadale,Challis Primary School,Armadale,WA
,116.013592,FALSE,FALSE,FALSE,FALSE,,,,,,-32.158423,,,,,Community Hall,,,"12 Coombe Avenue, ARMADALE WA 6112",Armadale,Greendale Centre,Armadale,WA
,117.93083,FALSE,FALSE,TRUE,TRUE,,,2017-03-11 07:34:12.78693+00,2017-03-11 07:34:12.78693+00,,-34.97843,,,Facebook,"{""has_bacon_and_eggs"":true}",Public School,,,"Yatana Road, BAYONET HEAD WA 6330",Albany,Flinders Park Primary School,Albany,WA
"Bacon & egg rolls $5 (limited quantity), sausage sizzle $2.50, drinks $2",116.00533,FALSE,FALSE,FALSE,TRUE,,,2017-03-07 09:28:13.214361+00,2017-03-07 09:28:13.214361+00,,-32.11032,Westfield Park Primary School P&C,,,"{""has_bacon_and_eggs"":true}",Public School,,,"Hemingway Drive, WESTFIELD WA 6111",Armadale,Westfield Park Primary School,Armadale,WA
"Sausages and baked goods, rasing funds for East Hamersley P&C",115.817917,FALSE,FALSE,TRUE,TRUE,,,2017-03-06 13:36:11.712691+00,2017-03-06 13:36:11.712691+00,,-31.847777,East Hamersley PS Sausage Sizzle and Bake Sale,,User-submitted,{},Public School,,,"20 Doon Way, HAMERSLEY WA 6022",Balcatta,East Hamersley Primary School,Balcatta,WA
,115.807644,FALSE,FALSE,TRUE,TRUE,,,2017-03-07 12:53:41.415236+00,2017-03-07 12:53:41.415236+00,,-31.848513,,,Twitter,{},Public School,,,"21 Glendale Avenue, HAMERSLEY WA 6022",Balcatta,Glendale Primary School,Balcatta,WA
,115.845946,FALSE,FALSE,TRUE,TRUE,,,2017-03-10 23:44:32.660349+00,2017-03-10 23:44:32.660349+00,,-32.029842,,,Twitter,{},Public School,,,"29 Queens Road, MOUNT PLEASANT WA 6153",Bateman,Mt Pleasant Primary School,Bateman,WA
,115.81767,FALSE,FALSE,TRUE,TRUE,,,2017-03-08 06:48:27.901642+00,2017-03-08 06:48:27.901642+00,,-32.307676,,,Facebook,{},Public School,,,"214 Fifty Road, BALDIVIS WA 6171",Baldivis,Baldivis Primary School,Baldivis,WA
"Cake Stall, Sausage Sizzle, Bacon & Egg Rolls",115.8441,FALSE,FALSE,TRUE,TRUE,,,2017-03-08 12:23:42.593861+00,2017-03-08 12:23:42.593861+00,,-31.90999,St Denis School,,User-submitted,"{""has_vego"":true,""has_bacon_and_eggs"":true}",Private School,,,"2 Orchid Street, JOONDANNA WA 6060",Balcatta,St Denis School,Balcatta,WA
Eden Hill Primary School P&C Sausage Sizzle & Cake Stall,115.94596,FALSE,FALSE,TRUE,TRUE,,,2017-03-08 13:15:35.1064+00,2017-03-08 13:15:35.1064+00,,-31.893004,Eden Hill Primary School,,User-submitted,{},Public School,,,"83 Ivanhoe Street, EDEN HILL WA 6054",Bassendean,Eden Hill Primary School,Bassendean,WA
,115.82153,FALSE,FALSE,FALSE,TRUE,,,2017-03-08 13:40:40.905697+00,2017-03-08 13:40:40.905697+00,,-31.86981,,,Twitter,{},Public School,,,"5 Rickman Street, BALCATTA WA 6021",Balcatta,Takari Primary School,Balcatta,WA
"Sausage Sizzle, Cake Stall, Soft Drinks and Coffee",115.82626,FALSE,FALSE,TRUE,TRUE,,,2017-03-08 23:42:48.318149+00,2017-03-08 23:42:48.318149+00,,-32.03481,Booragoon Primary P&C,,,"{""has_coffee"":true,""has_vego"":true}",Public School,,,"10 Clements Road, BOORAGOON WA 6154",Bateman,Booragoon Primary School,Bateman,WA
sausage sizzle,115.93609,FALSE,FALSE,FALSE,TRUE,,,2017-03-09 10:17:46.016865+00,2017-03-04 12:30:37.084252+00,,-31.86847,Beechboro Primary School,,User-submitted,{},Public School,,,"20 King Road, BEECHBORO WA 6063",Bassendean,Beechboro Primary School,Bassendean,WA
,115.83894,FALSE,FALSE,TRUE,TRUE,,,2017-03-09 00:47:40.500528+00,2017-03-09 00:47:40.500528+00,http://www.stbenedicts.wa.edu.au/,-32.01863,,,http://www.stbenedicts.wa.edu.au/,{},Community Hall,,,"Alness Street, ARDROSS WA 6153",Bateman,St Benedict's Hall,Bateman,WA
,115.814146,FALSE,FALSE,FALSE,TRUE,,,2017-03-09 01:45:50.916792+00,2017-03-09 01:45:50.916792+00,,-32.354044,,,Twitter,{},Public School,,,"31 Kempeana Way, BALDIVIS WA 6171",Baldivis,Tuart Rise Primary School,Baldivis,WA
Sausage sizzle and drinks,115.8432,FALSE,FALSE,FALSE,TRUE,,,2017-03-10 01:20:39.667049+00,2017-03-10 01:20:39.667049+00,,-32.24695,Bertram Sausage Sizzle,,User-Submitted,{},Public School,,,"Champion Drive, BERTRAM WA 6167",Baldivis,Bertram Primary School,Baldivis,WA
Brekky burgers and Sausage sizzle ,115.93692,FALSE,FALSE,FALSE,TRUE,,,2017-03-10 06:32:38.278872+00,2017-03-08 12:59:28.990213+00,,-31.89768,Anzac Tce Primary School ,,User-submitted,"{""has_bacon_and_eggs"":true}",Public School,,,"176 Anzac Terrace, BASSENDEAN WA 6054",Bassendean,Anzac Terrace Primary School,Bassendean,WA
,115.82533,FALSE,FALSE,TRUE,TRUE,,,2017-03-11 05:05:38.273957+00,2017-03-11 05:05:38.273957+00,,-31.89978,,,,{},Public School,,,"155 Albert Street, OSBORNE PARK WA 6017",Balcatta,Osborne Primary School,Balcatta,WA
,115.8132,FALSE,FALSE,FALSE,TRUE,,,2017-03-11 07:01:25.249717+00,2017-03-11 07:01:25.249717+00,,-31.87603,,,Special agent,{},Public School,,,"31 Poincaire Street, BALCATTA WA 6021",Balcatta,Balcatta Senior High School,Balcatta,WA
,115.82953,FALSE,TRUE,FALSE,FALSE,,,2017-03-11 07:16:23.32106+00,2017-03-11 07:16:23.32106+00,,-31.89629,,,Special agent,{},Community Hall,,,"11 Royal Street, TUART HILL WA 6060",Balcatta,Osborne Park Community Centre,Balcatta,WA
,115.829509,FALSE,FALSE,FALSE,TRUE,,,2017-03-11 08:52:28.255747+00,2017-03-11 08:52:28.255747+00,,-32.04049,,,Instagram,{},Community Hall,,,"37 Marcus Avenue, BOORAGOON WA 6154",Bateman,Len Shearer Pavilion,Bateman,WA
,115.804105,FALSE,FALSE,FALSE,FALSE,,,,,,-31.886713,,,,,Other,,,"Osborne Place, STIRLING WA 6021",Balcatta,Osborne Park Hospital,Balcatta,WA
,115.82991,FALSE,FALSE,FALSE,FALSE,,,,,,-32.336,,,,,Public School,,,"1 Avoca Chase, BALDIVIS WA 6171",Baldivis,Rivergums Primary School,Baldivis,WA
,115.75694,FALSE,FALSE,FALSE,FALSE,,,,,,-32.31479,,,,,Private School,,,"30 Gnangara Drive, WAIKIKI WA 6169",Baldivis,South Coast Baptist College,Baldivis,WA
,115.84137,FALSE,FALSE,FALSE,FALSE,,,,,,-32.25312,,,,,Private School,,,"170 Bertram Road, WELLARD WA 6170",Baldivis,The Kings College,Baldivis,WA
,115.80156,FALSE,FALSE,FALSE,FALSE,,,,,,-32.34053,,,,,Private School,,,"17 Tranby Drive, BALDIVIS WA 6171",Baldivis,Tranby College,Baldivis,WA
,115.762333,FALSE,FALSE,FALSE,FALSE,,,,,,-32.319586,,,,,Public School,,,"Arnside Bend, WAIKIKI WA 6169",Baldivis,Waikiki Primary School,Baldivis,WA
,115.92315,FALSE,FALSE,FALSE,FALSE,,,,,,-31.87121,,,,,Private School,,,"463 Beechboro Road, BEECHBORO WA 6063",Bassendean,John Septimus Roe Anglican Community School,Bassendean,WA
,115.935,FALSE,FALSE,FALSE,FALSE,,,,,,-31.87597,,,,,Public School,,,"368 Benara Road, KIARA WA 6054",Bassendean,Kiara College,Bassendean,WA
,115.95118,FALSE,FALSE,FALSE,FALSE,,,,,,-31.88315,,,,,Public School,,,"48 Rosher Road, LOCKRIDGE WA 6054",Bassendean,Lockridge Primary School,Bassendean,WA
,115.83382,FALSE,FALSE,FALSE,FALSE,,,,,,-32.0274,,,,,Public School,,,"46 Links Road, ARDROSS WA 6153",Bateman,Ardross Primary School,Bateman,WA
,115.8419,FALSE,FALSE,FALSE,FALSE,,,,,,-32.05664,,,,,Private School,,,"Murdoch Drive, BATEMAN WA 6150",Bateman,Corpus Christi College,Bateman,WA
"sausages, drinks and lollies",115.83353,FALSE,FALSE,FALSE,TRUE,,,2017-03-10 23:33:44.033626+00,2017-03-10 23:33:44.033626+00,,-32.05488,sausage sizzle,,User-Submitted,"{""has_bacon_and_eggs"":false,""has_free_text"":""Lollies""}",Public School,,,"70-80 Jackson Avenue, WINTHROP WA 6150",Bateman,Winthrop Primary School,Bateman,WA
