stall_description,lon,has_run_out,has_nothing,has_caek,has_bbq,ess_stall_url,ess_stall_id,latest_report,first_report,stall_website,lat,stall_name,extra_info,source,has_other,polling_place_type,booth_info,opening_hours,address,premises,polling_place_name,division,state
,149.049885,FALSE,FALSE,TRUE,TRUE,,,2016-10-14 22:32:56.546214+00,2016-10-14 22:32:56.546214+00,,-35.334173,,,Twitter,"{""has_coffee"":true,""has_bacon_and_eggs"":true}",,,,"Mulley St, Holder",St Judes Primary School,Holder,N/A,ACT
,149.142752,FALSE,FALSE,FALSE,TRUE,,,2016-10-14 23:05:12.722388+00,2016-10-14 23:05:12.722388+00,,-35.1708096,,,Twitter,{},,,,"Cnr Francis Forde Blvd & Hurrell St, Forde",Burgman Anglican School - Forde,Forde,N/A,ACT
,149.042729,FALSE,FALSE,TRUE,TRUE,,,2016-10-14 23:10:45.793747+00,2016-10-14 23:10:45.793747+00,,-35.356532,,,Twitter,{},,,,"Perry Dr, Chapman",Chapman Primary School,Chapman,N/A,ACT
,149.0409069,FALSE,TRUE,FALSE,FALSE,,,2016-10-14 23:18:32.790098+00,2016-10-14 23:18:32.790098+00,,-35.2250965,,,Twitter,{},,,,"Barnard Crct, Florey",St Francis Xavier College,Florey,N/A,ACT
,149.121816,FALSE,FALSE,TRUE,TRUE,,,2016-10-14 23:59:00.834937+00,2016-10-14 16:17:00.51667+00,,-35.417888,,,Twitter,"{""has_bacon_and_eggs"":true}",,,,"Hambidge Cres, Chisholm",Chisholm Primary School,Chisholm,N/A,ACT
,149.145727,FALSE,FALSE,FALSE,TRUE,,,2016-10-15 00:19:26.391273+00,2016-10-15 00:19:26.391273+00,,-35.323276,,,Twitter,{},,,,"Canberra Ave, Griffith",St Edmund's College,Griffith,N/A,ACT
,149.1312003,FALSE,TRUE,FALSE,FALSE,,,2016-10-15 05:22:02.058156+00,2016-10-15 05:22:02.058156+00,,-35.1850942,,,Twitter,{},,,,"Access via Hibberson St, Gungahlin",Gungahlin Library Conference Room 1,Gungahlin,N/A,ACT
,149.0933424,FALSE,FALSE,FALSE,FALSE,,,,,,-35.3315977,,,,,,,,"Kent St, Hughes",Hughes Primary School,Hughes,N/A,ACT
,149.113218,FALSE,FALSE,FALSE,FALSE,,,,,,-35.224646,,,,,,,,"Ashburton St, Kaleen",Kaleen Primary School,Kaleen,N/A,ACT
,149.102771,FALSE,FALSE,FALSE,FALSE,,,,,,-35.235031,,,,,,,,"Alberga St, Kaleen",Maribyrnong Primary School,Kaleen,N/A,ACT
,149.067344,FALSE,FALSE,FALSE,FALSE,,,,,,-35.392457,,,,,,,,"O'Halloran Crct, Kambah",Namadgi School,Kambah,N/A,ACT
,149.034656,FALSE,FALSE,FALSE,FALSE,,,,,,-35.219835,,,,,,,,"O'Loghlen St, Latham",Latham Primary School,Latham,N/A,ACT
,149.0765361,FALSE,FALSE,FALSE,FALSE,,,,,,-35.3415836,,,,,,,,"38 Tarraleah Cres, Lyons ACT 2606",Lyons Early Childhood School,Lyons,N/A,ACT
,149.097685,FALSE,FALSE,FALSE,FALSE,,,,,,-35.358524,,,,,,,,"Ainsworth St, Mawson",Mawson Primary School,Mawson,N/A,ACT
,149.230436,FALSE,FALSE,FALSE,FALSE,,,,,,-35.342225,,,,,,,,"2 William St, Oaks Estate",Oaks Estate Community Hall,Oaks Estate,N/A,ACT
,149.042515,FALSE,FALSE,FALSE,FALSE,,,,,,-35.240289,,,,,,,,"Stutchbury St, Page",St Matthew's School,Page,N/A,ACT
,149.088131,FALSE,FALSE,FALSE,FALSE,,,,,,-35.36298,,,,,,,,"Marr St, Pearce",Melrose High School,Pearce,N/A,ACT
,149.0384031,FALSE,FALSE,FALSE,FALSE,,,,,,-35.2325569,,,,,,,,"Wirraway Cres, Scullin ACT 2614",Southern Cross Early Childhood School,Scullin,N/A,ACT
,149.06732,FALSE,FALSE,FALSE,FALSE,,,,,,-35.508835,,,,,,,,"North St, Tharwa",Tharwa Public Hall,Tharwa,N/A,ACT
,149.06868,FALSE,FALSE,FALSE,FALSE,,,,,,-35.416759,,,,,,,,"Cnr Anketell St & Reed St North, Tuggeranong",Salvation Army Hall,Tuggeranong,N/A,ACT
,149.059169,FALSE,FALSE,FALSE,FALSE,,,,,,-35.35493,,,,,,,,"Nemarang Cres, Waramanga",Arawang Primary School,Waramanga,N/A,ACT
,149.154942,FALSE,FALSE,FALSE,FALSE,,,,,,-35.238592,,,,,,,,"Knox St, Watson",Majura Primary School,Watson,N/A,ACT
,149.055229,FALSE,FALSE,FALSE,FALSE,,,,,,-35.342564,,,,,,,,"Parkinson St, Weston",Weston Creek Community Centre,Weston,N/A,ACT
"Egg and Bacon Rolls, Sausage Sizzle with Onion, Vegetarian Burgers, Lucky Dip for the Kids and Cakes Cakes Cakes!!!",149.059625,FALSE,FALSE,TRUE,TRUE,,,2016-10-14 12:17:09.590135+00,2016-10-14 12:17:09.590135+00,www.macquarieps.act.edu.au,-35.251214,Macquarie Primary School,,User-submitted,"{""has_vego"":true,""has_halal"":true,""has_bacon_and_eggs"":true}",Public School,,,"Bennelong Cres, Macquarie",Macquarie Primary School,Macquarie,N/A,ACT
"Sausages, kranskys, delicious cakes and homemade treats - all proceeds to Ainslie School P&C to contibute to outdoor grounds improvmernt and  90th birthday celebrations in 2017",149.1391633,FALSE,FALSE,TRUE,TRUE,,,2016-10-14 12:17:44.208812+00,2016-10-14 12:17:44.208812+00,,-35.2731763,Ainslie School sausage sizzle and cake stall,,User-submitted,"{""has_vego"":true,""has_halal"":true}",Public School,,,"Elder St, Braddon",Ainslie Primary School,Braddon,N/A,ACT
,149.125368,FALSE,FALSE,TRUE,TRUE,,,2016-10-14 16:09:30.467276+00,2016-10-14 16:09:30.467276+00,,-35.25197,,,,{},,,,"Hall St, Lyneham",Lyneham Primary School,Lyneham,N/A,ACT
,149.082525,FALSE,FALSE,TRUE,TRUE,,,2016-10-14 16:16:05.691504+00,2016-10-14 16:14:37.934717+00,,-35.430942,,,Pre-collated list kindly posted on Twitter,{},,,,"Hurtle Ave, Bonython",Bonython Primary School,Bonython,N/A,ACT
,149.089255,FALSE,FALSE,TRUE,TRUE,,,2016-10-14 16:18:38.344749+00,2016-10-14 16:18:38.344749+00,,-35.414526,,,Pre-collated list kindly posted on Twitter,{},,,,"Corlette Cres, Monash",Monash Primary School,Monash,N/A,ACT
,149.114261,FALSE,FALSE,TRUE,TRUE,,,2016-10-14 16:18:50.194389+00,2016-10-14 16:18:50.194389+00,,-35.428739,,,Pre-collated list kindly posted on Twitter,{},,,,"May Gibbs Cl, Richardson",Richardson Primary School,Richardson,N/A,ACT
,149.085344,FALSE,FALSE,TRUE,TRUE,,,2016-10-14 16:19:46.11897+00,2016-10-14 16:19:46.11897+00,,-35.394672,,,Pre-collated list kindly posted on Twitter,{},,,,"Wheeler Cres, Wanniassa",Wanniassa High School,Wanniassa,N/A,ACT
,149.1024973,FALSE,FALSE,TRUE,TRUE,,,2016-10-15 00:13:36.918007+00,2016-10-14 23:10:16.972523+00,,-35.3071927,,,Twitter,"{""has_coffee"":true}",,,,"6 Denman St, Yarralumla",Yarralumla Uniting Church,Yarralumla,N/A,ACT
