Polling Location Name,Venue Name,Type,Electorate 1,Electorate 2,Property Name,Flat Number,Street Number,Street Name,Street Type,Locality,Postcode,Melway/Vicroads Ref,Longitude,Latitude
Lara,Lara Community Centre,Voting Centre,Lara District,,,,9-11,Waverley,Road,Lara,3212,423 C5,144.409796494274,-38.021981597793
Lara Central,Lara Hall,Voting Centre,Lara District,,,,1b,Flinders,Avenue,Lara,3212,422 K5,144.397517158461,-38.0220374332138
Lethbridge,Lethbridge Public Hall,Voting Centre,Buninyong District,,,,,25 Russell,Street,Lethbridge,3322,443 A6,144.134053,-37.966004
Alfredton,McCallum Community Centre,Voting Centre,Wendouree District,,,,29,Learmonth Street (access via Leopold,Street),Alfredton,3350,565 Q7,143.813113000116,-37.5578909998712
Brookfield,Melton Christian College,Voting Centre,Melton District,,,,152-156,Brooklyn,Road,Brookfield,3338,342 G1,144.559787439548,-37.7004685194117
Meredith,Meredith Memorial Hall,Voting Centre,Buninyong District,,,,61,Staughton,Street,Meredith,3333,77C7,144.071246,-37.845291
Moriac,Moriac Community Centre,Voting Centre,South Barwon District,,,,830,Hendy Main,Road,Moriac,3240,453 D10,144.17300634179,-38.2451179748849
Mount Egerton,Mount Egerton Mechanics Institute,Voting Centre,Buninyong District,,,,69,Main,Road,Mount Egerton,3352,77 C4,144.105171000122,-37.6280039998726
Ross Creek,Ross Creek Hall,Voting Centre,Buninyong District,,,,655,Sebastopol-Smythesdale,Road,Ross Creek,3351,76 E4,143.757377,-37.633285
Scarsdale,Scarsdale Town Hall,Voting Centre,Buninyong District,,,,23,Pitfield,Road,Scarsdale,3351,76 C4,143.654809108446,-37.6708955582068
Sebastopol,Sebastopol RSL,Voting Centre,Buninyong District,,,,10,Birdwood,Avenue,Sebastopol,3356,76 F3,143.839933266783,-37.5974426832053
Skipton Street,Skipton Street Uniting Church,Voting Centre,Wendouree District,,,,,corner Skipton and Darling,Streets,Redan,3350,566 B11,143.845213,-37.575499
Smythesdale,Smythesdale Recreation Facility,Voting Centre,Buninyong District,,,,55,Heales,Street,Smythesdale,3351,575 M2,143.683206925079,-37.6427098716703
Barwon,South Geelong Primary School,Voting Centre,Geelong District,,,,200,Yarra,Street,Geelong,3220,401 G9,144.358570000127,-38.1569399998831
The Stockade,St Alipius Primary School,Voting Centre,Buninyong District,Wendouree District,,,106-108,Victoria,Street,Ballarat East,3352,566 G8,143.874422000117,-37.5615737332046
Ballarat South,St Aloysius Primary School,Voting Centre,Wendouree District,,,,800,Ripon,Street South,Redan,3350,565 U12,143.837816,-37.578269
Bacchus Marsh Central,St Bernard's Catholic Primary School,Voting Centre,Melton District,,,,19a,Gisborne,Road,Bacchus Marsh,3340,333 H6,144.435258775129,-37.6724053165401
Fyans Park,St Joseph's College,Voting Centre,Geelong District,,,,,Queens,Road,Newtown,3220,451 F4,144.33118498346,-38.1504868332163
Torquay North,St Therese Primary School,Voting Centre,South Barwon District,,,,50,Grossmans,Road,Torquay,3228,505 J3,144.312770000126,-38.3213929998864
Torquay,Surfcoast Sports and Recreation Centre,Voting Centre,South Barwon District,,,,77,Beach,Road,Torquay,3228,505 K4,144.315790100126,-38.3263567498865
Manifold Heights West,Western Heights Uniting Church,Voting Centre,Geelong District,,,,27-31,Douglass,Street,Herne Hill,3218,441 E11,144.326784000127,-38.1322369998826
Portarlington,Portarlington Parks Hall,Voting Centre,Bellarine District,,,,,Newcombe,Street,Portarlington,3223,444 H6,144.6551368418,-38.1149042082156
Belmont North,Belmont Primary School,Voting Centre,Geelong District,,,,51,Mount Pleasant,Road,Belmont,3216,451 H10,144.342101116793,-38.1708634998834
Bealiba,Bealiba Primary School,Voting Centre,Ripon District,,,,9,Grant,Street,Bealiba,3475,557 S3,143.551900000111,-36.7899399998558
Beeac,Beeac Primary School,Voting Centre,Polwarth District,,,,35,Lang,Street,Beeac,3251,521 T8,143.64427951678,-38.1939697832172
