ec_id,Premise Name,Polling Place Name,Address,City,State,Postcode,Location Within Premise,Disabled Access,Premise Latitude,Premise Longitude,Division,Dual polling place,Vision impaired voting service
,Lindisfarne Primary School,Lindisfarne Primary School,"17 Loatta Rd,",LINDISFARNE,TAS,7015,general purpose room,With Assistance,-42.85178,147.36341,Franklin,,
,St Aidans Church Hall,St Aidans Church Hall,"54 Lincoln St,",LINDISFARNE,TAS,7015,,With Assistance,-42.846653,147.355727,Franklin,,
,Margate Hall,Margate Hall,"1744 Channel Hwy,",MARGATE,TAS,7054,,With Assistance,-43.02898,147.2628,Franklin,,
,South Channel Community Centre,South Channel Community Centre,"McDowall St,",MIDDLETON,TAS,7163,,With Assistance,-43.2313,147.25573,Franklin,,
,Montagu Bay Primary School,Montagu Bay Primary School,"10 Conara Rd,",MONTAGU BAY,TAS,7018,hall,Full,-42.86439,147.35336,Franklin,,
,Citywide Baptist Church,Citywide Baptist Church,"400 Cambridge Rd,",MORNINGTON,TAS,7018,Rosny Room,With Assistance,-42.85588,147.40216,Franklin,,
,Mountain River Memorial Hall,Mountain River Memorial Hall,"263 Mountain River Rd,",MOUNTAIN RIVER,TAS,7109,,With Assistance,-42.96129,147.10932,Franklin,,
,Ranelagh Soldiers Memorial Hall,Ranelagh Soldiers Memorial Hall,"40 Marguerite St,",RANELAGH,TAS,7109,,With Assistance,-43.00901,147.03856,Franklin,,
,Risdon Vale Primary School,Risdon Vale Primary School,"2 Heather Rd,",RISDON VALE,TAS,7016,,None,-42.81283,147.35367,Franklin,,
,Emmanuel Christian School,Emmanuel Christian School,"1 Chipmans Rd,",ROKEBY,TAS,7019,Foyer,Full,-42.900608,147.439002,Franklin,,
,Sandfly Hall,Sandfly Hall,"811 Sandfly Rd,",SANDFLY,TAS,7150,,With Assistance,-42.98497,147.19567,Franklin,,
,Sandford Hall,Sandford Hall,"949 South Arm Rd,",SANDFORD,TAS,7020,,None,-42.94002,147.49566,Franklin,,
,Ramada Resort,Ramada Resort,"78 Surf Rd,",SEVEN MILE BEACH,TAS,7170,,With Assistance,-42.85432,147.5113,Franklin,,
,Snug Primary School,Snug Primary School,"2208 Channel Hwy,",SNUG,TAS,7054,hall,With Assistance,-43.06542,147.25411,Franklin,,
,South Arm Primary School,South Arm Primary School,"32 Harmony Lane,",SOUTH ARM,TAS,7022,gymnasium,With Assistance,-43.02613,147.42013,Franklin,,
,Southport Community Centre,Southport Community Centre,"8606 Huon Hwy,",SOUTHPORT,TAS,7109,,With Assistance,-43.415763,146.961547,Franklin,,
,Warrane Primary School,Warrane Primary School,"213 Cambridge Rd,",WARRANE,TAS,7018,hall,With Assistance,-42.86044,147.38279,Franklin,,
,Woodbridge Hall,Woodbridge Hall,"3445 Channel Hwy,",WOODBRIDGE,TAS,7162,,With Assistance,-43.15999,147.23914,Franklin,,
,Avoca War Memorial Hall,Avoca War Memorial Hall,"3 Falmouth St,",AVOCA,TAS,7213,,None,-41.78247345,147.7192787,Lyons,,
,Bagdad Primary School,Bagdad Primary School,"46-48 School Rd,",BAGDAD,TAS,7030,hall,None,-42.62434,147.22359,Lyons,,
,Bicheno Beachfront,Bicheno Beachfront,"Sinclair St,",BICHENO,TAS,7215,conference room,With Assistance,-41.8744,148.29926,Lyons,,
,Bothwell Council Chambers,Bothwell Council Chambers,"Alexander St,",BOTHWELL,TAS,7030,,With Assistance,-42.38173,147.00667,Lyons,Yes,
,Bracknell Boys & Girls Club Building,Bracknell Boys & Girls Club Building,"Louisa St,",BRACKNELL,TAS,7302,adjacent to Town Hall,None,-41.65105939,146.9431686,Lyons,,
,Brighton Civic Centre,Brighton Civic Centre,"25 Green Point Rd,",BRIDGEWATER,TAS,7030,,With Assistance,-42.73918,147.24375,Lyons,Yes,
,Brighton Primary School,Brighton Primary School,"27 Downie St,",BRIGHTON,TAS,7030,"hall, off admin area",With Assistance,-42.69909,147.25845,Lyons,,
,Broadmarsh Hall,Broadmarsh Hall,"1218 Elderslie Rd,",BROADMARSH,TAS,7030,,With Assistance,-42.65628,147.12662,Lyons,,
,Campania Hall,Campania Hall,"45 Reeve St,",CAMPANIA,TAS,7026,,With Assistance,-42.66717,147.42106,Lyons,,
,Campbell Town Town Hall,Campbell Town Town Hall,"75 High St,",CAMPBELL TOWN,TAS,7210,,With Assistance,-41.927,147.49458,Lyons,,
,South East Tasmania Salvos,South East Tasmania Salvos,"225/227 Carlton River Rd,",CARLTON,TAS,7173,,None,-42.86385982,147.6391372,Lyons,,
,Carrick Public Hall,Carrick Public Hall,"29 Meander Valley Rd,",CARRICK,TAS,7291,,With Assistance,-41.53099,147.01128,Lyons,,
,Chudleigh Memorial Hall,Chudleigh Memorial Hall,"54 Sorell St,",CHUDLEIGH,TAS,7304,,With Assistance,-41.55698,146.48139,Lyons,,
,Claude Road Memorial Hall,Claude Road Memorial Hall,"787 Claude Rd,",CLAUDE ROAD,TAS,7306,,None,-41.43442,146.27413,Lyons,,
,Colebrook Memorial Hall,Colebrook Memorial Hall,"45 Richmond Street,",COLEBROOK,TAS,7027,,None,-42.53307943,147.3626647,Lyons,,
,Coles Bay Community Hall,Coles Bay Community Hall,"Harold St,",COLES BAY,TAS,7215,,None,-42.12505,148.28572,Lyons,,
,Copping Hall,Copping Hall,"69 Allanby St,",COPPING,TAS,7174,,With Assistance,-42.82049,147.80428,Lyons,,
,Cressy Community Hall,Cressy Community Hall,"Main St,",CRESSY,TAS,7302,,With Assistance,-41.68551,147.08074,Lyons,,
,Deloraine High School Hall,Deloraine High School Hall,"24 Lansdowne Pl,",DELORAINE,TAS,7304,,With Assistance,-41.52934,146.65926,Lyons,,
,Dodges Ferry Community Recreation Centre,Dodges Ferry Community Recreation Centre,"532 Old Forcett Rd,",DODGES FERRY,TAS,7173,within Dodges Ferry Primary School,With Assistance,-42.84863,147.62373,Lyons,,
,Dromedary (Millvale) Community Hall,Dromedary (Millvale) Community Hall,"14 Millvale Rd,",DROMEDARY,TAS,7030,,None,-42.72826,147.1787,Lyons,Yes,
,Dunalley Primary School,Dunalley Primary School,"20-32 Bay St,",DUNALLEY,TAS,7177,library,With Assistance,-42.88612,147.8124,Lyons,,
,Elizabeth Town Fire Station,Elizabeth Town Fire Station,"5816 Bass Hwy,",ELIZABETH TOWN,TAS,7304,,With Assistance,-41.46167,146.56389,Lyons,,
,Epping Forest Public Hall,Epping Forest Public Hall,"13515 Midland Hwy,",EPPING FOREST,TAS,7211,,With Assistance,-41.75814,147.34904,Lyons,,
,Evandale Primary School,Evandale Primary School,"5-11 Barclay St,",EVANDALE,TAS,7212,general purpose room,With Assistance,-41.56717,147.24676,Lyons,,
,Fingal Neighbourhood House,Fingal Neighbourhood House,"20 Talbot Street,",FINGAL,TAS,7214,,None,-41.63843418,147.9709241,Lyons,,
,Forcett Public Hall,Forcett Public Hall,"699 Arthur Hwy,",FORCETT,TAS,7173,,With Assistance,-42.80609,147.63178,Lyons,,
,Gagebrook Primary School,Gagebrook Primary School,"4 Tottenham Rd,",GAGEBROOK,TAS,7030,access from Ashburton St,With Assistance,-42.74903,147.27517,Lyons,Yes,
,Glenora District High School,Glenora District High School,"620 Gordon River Rd,",GLENORA,TAS,7140,"Year 7 classroom, Admin Block",None,-42.69655,146.88985,Lyons,Yes,
,Granton Memorial Hall,Granton Memorial Hall,"Lyell Hwy,",GRANTON,TAS,7030,,With Assistance,-42.74976,147.22395,Lyons,Yes,
,Hadspen Uniting Church Centre,Hadspen Uniting Church Centre,"47 Main St,",HADSPEN,TAS,7290,,With Assistance,-41.50623,147.06347,Lyons,,
,Hagley Farm Primary School,Hagley Farm Primary School,"2508 Meander Valley Rd,",HAGLEY,TAS,7292,School Hall at front of school,With Assistance,-41.5247212,146.9019556,Lyons,,
,Kempton Council Chambers,Kempton Council Chambers,"Main St,",KEMPTON,TAS,7030,,With Assistance,-42.53226,147.20088,Lyons,,
,Lachlan Community Hall,Lachlan Community Hall,"511 Lachlan Rd,",LACHLAN,TAS,7140,,With Assistance,-42.83039,147.0426,Lyons,Yes,
,Longford War Memorial Hall,Longford War Memorial Hall,"Wellington St,",LONGFORD,TAS,7301,,With Assistance,-41.5934059,147.1220878,Lyons,,
,Lower Barrington Public Hall,Lower Barrington Public Hall,"1027 Sheffield Rd,",LOWER BARRINGTON,TAS,7306,,None,-41.29085,146.29118,Lyons,,
,Magra CWA Building,Magra CWA Building,"Back River Rd,",MAGRA,TAS,7140,cnr of Back River and Saddle Rds,With Assistance,-42.73504,147.07053,Lyons,Yes,
,Meander Memorial Hall,Meander Memorial Hall,"124 Main Rd,",MEANDER,TAS,7304,,Full,-41.652762,146.609387,Lyons,,
,Midway Point Community Hall,Midway Point Community Hall,"Raynors Rd,",MIDWAY POINT,TAS,7171,,With Assistance,-42.79979,147.53265,Lyons,,
,Miena Community Centre,Miena Community Centre,"55-57 Cider Gum Rd,",MIENA,TAS,7030,,With Assistance,-41.9937,146.70828,Lyons,Yes,
,Mole Creek Primary School,Mole Creek Primary School,"4 Caveside Rd,",MOLE CREEK,TAS,7304,,With Assistance,-41.5572934,146.4077532,Lyons,,
,Molesworth Community Hall,Molesworth Community Hall,"560 Molesworth Rd,",MOLESWORTH,TAS,7140,,With Assistance,-42.8043361,147.1602846,Lyons,Yes,
,Fairview Primary School,Fairview Primary School,"211 Back River Rd,",NEW NORFOLK,TAS,7140,,Full,-42.774295,147.050038,Lyons,Yes,
,New Norfolk Primary School,New Norfolk Primary School,"8 Pioneer Ave,",NEW NORFOLK,TAS,7140,also via Church St,With Assistance,-42.779,147.06366,Lyons,Yes,
,Tasman Civic Centre,Tasman Civic Centre,"21 Clarke St,",NUBEENA,TAS,7184,,With Assistance,-43.09998,147.74416,Lyons,,
,Oatlands Council Chambers,Oatlands Council Chambers,"71 High St,",OATLANDS,TAS,7120,Court Room,With Assistance,-42.3,147.37201,Lyons,,
,Old Beach Community Centre,Old Beach Community Centre,"Jetty Rd,",OLD BEACH,TAS,7017,,With Assistance,-42.7743122,147.2661143,Lyons,,
,Orford Primary School,Orford Primary School,"35 Charles St,",ORFORD,TAS,7190,,Full,-42.563525,147.873845,Lyons,,
,Ouse Online Access Centre,Ouse Online Access Centre,"6947 Lyell Hwy,",OUSE,TAS,7140,,With Assistance,-42.48523,146.71076,Lyons,Yes,
,Perth Community Centre,Perth Community Centre,"173 Fairtlough St,",PERTH,TAS,7300,hall and function room,With Assistance,-41.57255,147.17365,Lyons,,
,Pontville Old Council Chambers,Pontville Old Council Chambers,"262 Brighton Rd,",PONTVILLE,TAS,7030,,With Assistance,-42.6838,147.2655,Lyons,,
,Primrose Sands Community Hall,Primrose Sands Community Hall,"570 Primrose Sands Rd,",PRIMROSE SANDS,TAS,7173,,With Assistance,-42.89213,147.67292,Lyons,,
,Residential Retirement Village Clubrooms,Residential Retirement Village Clubrooms,"12 Casino Rise,",PROSPECT VALE,TAS,7250,,With Assistance,-41.47909,147.10972,Lyons,,
,Sheffield School (Railton Campus),Sheffield School (Railton Campus),"94 Foster St,",RAILTON,TAS,7305,general purpose hall,With Assistance,-41.3529486,146.4145571,Lyons,,
,Richmond Primary School,Richmond Primary School,"Commercial Rd,",RICHMOND,TAS,7025,School Hall,With Assistance,-42.73937,147.43748,Lyons,,
,Ross Town Hall,Ross Town Hall,"12 Bridge St,",ROSS,TAS,7209,,None,-42.03136,147.49244,Lyons,,
,Scamander Sports Complex,Scamander Sports Complex,"Coach Rd,",SCAMANDER,TAS,7215,dining room,None,-41.45419039,148.2592652,Lyons,,
,Sheffield School,Sheffield School,"12 Henry St,",SHEFFIELD,TAS,7306,music room - related arts building,With Assistance,-41.38166,146.3289,Lyons,,
,Sorell Memorial Hall,Sorell Memorial Hall,"49 Cole St,",SORELL,TAS,7172,,With Assistance,-42.7809503,147.5606303,Lyons,,
,St Helens Memorial Hall,St Helens Memorial Hall,"Cecilia St,",ST HELENS,TAS,7216,,With Assistance,-41.32219509,148.2494296,Lyons,,
,St Marys Community Hall,St Marys Community Hall,"23 Main St,",ST MARYS,TAS,7215,supper room,With Assistance,-41.57939,148.18508,Lyons,,
,Swansea Town Hall,Swansea Town Hall,"12 Franklin St,",SWANSEA,TAS,7190,,With Assistance,-42.124593,148.0770145,Lyons,,
,Tasman Community Centre,Tasman Community Centre,"33 Amy St,",TARANNA,TAS,7180,via Gourlay Rd,With Assistance,-43.03802462,147.866748,Lyons,,
,Tea Tree Community Hall,Tea Tree Community Hall,"Briar Banks Rd,",TEA TREE,TAS,7017,,With Assistance,-42.69026,147.31894,Lyons,,
,Triabunna Hall,Triabunna Hall,"3 Vicary St,",TRIABUNNA,TAS,7190,,With Assistance,-42.508166,147.909631,Lyons,,
,Tunnack Public Hall,Tunnack Public Hall,"Tunnack Rd,",TUNNACK,TAS,7120,,With Assistance,-42.45592,147.46179,Lyons,,
,Westbury Town Hall,Westbury Town Hall,"26 Lyall St,",WESTBURY,TAS,7303,supper room,With Assistance,-41.528113,146.831023,Lyons,,
,Westerway Primary School,Westerway Primary School,"1619 Gordon River Rd,",WESTERWAY,TAS,7140,,With Assistance,-42.67788,146.78779,Lyons,Yes,
,Wilmot Primary School,Wilmot Primary School,"61 Main Rd,",WILMOT,TAS,7310,music room,With Assistance,-41.387,146.17606,Lyons,,
