ec_id,Premise Name,Polling Place Name,Address,City,State,Postcode,Location Within Premise,Disabled Access,Premise Latitude,Premise Longitude,Division,Dual polling place,Vision impaired voting service
,St Leonards Primary School,St Leonards Primary School,"330-342 St Leonards Rd,",ST LEONARDS,TAS,7250,"Roberts Room, car park access via Station Rd",With Assistance,-41.4597,147.20031,Bass,Yes,
,Summerdale Community Centre,Summerdale Community Centre,"82-84 Stanley St,",SUMMERHILL,TAS,7250,,With Assistance,-41.46768,147.13,Bass,,
,Trevallyn Life Church,Trevallyn Life Church,"34 Pitt Ave,",TREVALLYN,TAS,7250,auditorium,With Assistance,-41.43059,147.10612,Bass,,
,Trevallyn Primary School,Trevallyn Primary School,"55 Gorge Rd,",TREVALLYN,TAS,7250,multipurpose room,Full,-41.43784,147.11397,Bass,,
,Waverley Primary School,Waverley Primary School,"6 Naroo St,",WAVERLEY,TAS,7250,,With Assistance,-41.43332,147.19002,Bass,Yes,
,West Launceston Primary School,West Launceston Primary School,"24-38 Basin Rd,",WEST LAUNCESTON,TAS,7250,,With Assistance,-41.44964,147.1285,Bass,,
,Weymouth Hall,Weymouth Hall,"18 Major St,",WEYMOUTH,TAS,7252,,With Assistance,-41.01518,147.15443,Bass,Yes,
,Whitemark Lions Club,Whitemark Lions Club,"James St,",WHITEMARK,TAS,7255,,With Assistance,-40.1217,148.01827,Bass,,
,Winnaleah Memorial Hall,Winnaleah Memorial Hall,"20 Main St,",WINNALEAH,TAS,7263,,None,-41.09807,147.82404,Bass,,
,Youngtown Primary School,Youngtown Primary School,"Cnr Victoria & Napier St,",YOUNGTOWN,TAS,7249,general purpose hall,With Assistance,-41.48235,147.16386,Bass,,
,Burnie Child and Family Centre,Burnie Child and Family Centre,"36 Thorne St,",ACTON,TAS,7320,hall,With Assistance,-41.07219,145.89258,Braddon,,
,Boat Harbour Primary School,Boat Harbour Primary School,"17386 Bass Hwy,",BOAT HARBOUR,TAS,7321,hall,With Assistance,-40.94507,145.63715,Braddon,,
,Burnie City Council Offices,Burnie City Council Offices,"80 Wilson St,",BURNIE,TAS,7320,atrium on ground floor,With Assistance,-41.05317,145.90595,Braddon,,
,Calder Hall,Calder Hall,"1320 Calder Rd,",CALDER,TAS,7325,main area,None,-41.06851,145.63121,Braddon,,
,Cooee Primary School,Cooee Primary School,"Bass Hwy,",COOEE,TAS,7320,multipurpose room,With Assistance,-41.040894,145.868525,Braddon,,
