ec_id,Division,Polling_Place_Name,Premise_Name,Premise_Address_Line_1,Premise_Address_Line_2,Premise_Locality,Premise_State,Premise_Postcode,Location_Within_Premise,Access_To_Location,Disabled_Access,VI_Vote_service,Premise_Latitude,Premise_Longitude
,Lyons,Bracknell,Bracknell War Memorial Hall,Cnr Louisa and Amelia St,,Bracknell,TAS,7302,,,Assistance,,-41.65121,146.94335
,Lyons,Bridgewater,Brighton Civic Centre,25 Green Point Rd,,Bridgewater,TAS,7030,Main hall & kitchen,,Assistance,,-42.73918,147.24375
,Lyons,Brighton,Brighton Primary School,27 Downie St,,Brighton,TAS,7030,Hall,Off admin area,Assistance,,-42.69909,147.25845
,Lyons,Broadmarsh,Broadmarsh Hall,1218 Elderslie Rd,,Broadmarsh,TAS,7030,,,Assistance,,-42.65628,147.12662
,Lyons,Campania,Campania Hall,45 Reeve St,,Campania,TAS,7026,,,Assistance,,-42.66717,147.42106
,Lyons,Campbell Town,Campbell Town Town Hall,75 High St,,Campbell Town,TAS,7210,,,Assistance,,-41.927,147.49458
,Lyons,Carrick,Carrick Public Hall,29 Meander Valley Rd,,Carrick,TAS,7291,,,Assistance,,-41.53099,147.01128
,Lyons,Chudleigh,Chudleigh Memorial Hall,54 Sorell St,,Chudleigh,TAS,7304,,,Assistance,,-41.55698,146.48139
,Lyons,Claude Road,Claude Road Memorial Hall,787 Claude Rd,,Claude Road,TAS,7306,,,Assistance,,-41.43442,146.27413
,Lyons,Colebrook,Colebrook Memorial Hall,45 Richmond St,,Colebrook,TAS,7027,,,Assistance,,-42.53304333,147.3627427
,Lyons,Coles Bay,Coles Bay Community Hall,Harold St,,Coles Bay,TAS,7215,,,Assistance,,-42.12505,148.28572
,Lyons,Copping,Copping Hall,69 Allanby St,,Copping,TAS,7174,,,Assistance,,-42.82049,147.80428
,Lyons,Cressy,Cressy Community Hall,67 Main St,,Cressy,TAS,7302,,,Assistance,,-41.68551,147.08074
,Lyons,Deloraine,Deloraine High School Hall,24 Lansdowne Pl,,Deloraine,TAS,7304,,Access via East Barrack St,Assistance,,-41.52934,146.65926
,Lyons,Dodges Ferry,Dodges Ferry Community Recreation Centre,532 Old Forcett Rd,,Dodges Ferry,TAS,7173,Within Dodges Ferry Primary School,,Assistance,,-42.84863,147.62373
,Lyons,Dromedary,Dromedary (Millvale) Community Hall,14 Millvale Rd,,Dromedary,TAS,7030,,,Assistance,,-42.72826,147.1787
,Lyons,Dunalley,Dunalley Community Hall,5 Franklin St,,Dunalley,TAS,7177,,,Assistance,,-42.88716415,147.812685
,Lyons,Elizabeth Town,Elizabeth Town Fire Station,5816 Bass Hwy,,Elizabeth Town,TAS,7304,,,Assistance,,-41.46167,146.56389
,Lyons,Epping,Epping Forest Public Hall,13515 Midland Hwy,,Epping Forest,TAS,7211,,,Assistance,,-41.75814,147.34904
,Lyons,Evandale,Evandale Primary School,5/8 Barclay St,,Evandale,TAS,7212,General purpose hall,,Assistance,,-41.56717,147.24676
,Lyons,Fingal,Fingal Neighbourhood House,20 Talbot St,,Fingal,TAS,7214,,,Assistance,,-41.63843418,147.9709241
,Lyons,Gagebrook,Gagebrook Primary School,4 Tottenham Rd,,Gagebrook,TAS,7030,Gym,Access via Ashburton Rd,Assistance,,-42.74903,147.27517
,Lyons,Glenora,Glenora District High School,620 Gordon River Rd,,Glenora,TAS,7140,Year 7 classroom,Admin Block,Assistance,,-42.69655,146.88985
,Lyons,Granton,Granton Memorial Hall,Lyell Hwy,,Granton,TAS,7030,,,Assistance,,-42.74976,147.22395
,Lyons,Hadspen,Hadspen Uniting Church Centre,47 Main St,,Hadspen,TAS,7290,,,Assistance,,-41.50623,147.06347
,Lyons,Hagley,Hagley Farm Primary School,2508 Meander Valley Rd,,Hagley,TAS,7292,Hall at front of school,,Assistance,,-41.5247212,146.9019556
,Lyons,Kempton,Kempton Council Chambers,85 Main St,,Kempton,TAS,7030,,,Assistance,,-42.53226,147.20088
,Lyons,Lachlan,Lachlan Community Hall,511 Lachlan Rd,,Lachlan,TAS,7140,,,Assistance,,-42.83039,147.0426
,Lyons,Longford,Longford Primary School,Catherine St & William St,,Longford,TAS,7301,GP hall,,Assistance,,-41.59592537,147.1168638
,Lyons,Lower Barrington,Lower Barrington Hall,1027 Sheffield Rd,,Lower Barrington,TAS,7306,,,Assistance,,-41.29085,146.29118
,Lyons,Magra,Magra CWA Building,Back River Rd,,Magra,TAS,7140,,Cnr of Back River and Saddle Rd,Assistance,,-42.755695,147.054078
,Lyons,Meander,Meander Memorial Hall,124 Main Rd,,Meander,TAS,7304,,,Assistance,,-41.652762,146.609387
,Lyons,Midway Point,Midway Point Community Hall,Raynors Rd,,Midway Point,TAS,7171,,,Assistance,,-42.79979,147.53265
,Lyons,Miena,Great Lake Community Centre,55-57 Cider Gum Rd,,Miena,TAS,7030,,,Assistance,,-41.9937,146.70828
,Lyons,Mole Creek,Mole Creek Primary School,4 Caveside Rd,,Mole Creek,TAS,7304,Open area,,Assistance,,-41.55767653,146.4066991
,Lyons,Molesworth,Molesworth Primary School,540 Molesworth Rd,,Molesworth,TAS,7140,Hall,,Assistance,,-42.8035064,147.156375
,Lyons,New Norfolk North,Fairview Primary School,211 Back River Rd,,New Norfolk,TAS,7140,General hall,,Assistance,,-42.774295,147.050038
,Lyons,New Norfolk,New Norfolk Primary School,8 Pioneer Ave,,New Norfolk,TAS,7140,,Also via Hillside Cr,Assistance,,-42.779,147.06366
,Lyons,Nubeena,Tasman Civic Centre,21 Clarke St,,Nubeena,TAS,7184,,,Assistance,,-43.09998,147.74416
,Lyons,Oatlands,Oatlands District High School,27 Church St,,Oatlands,TAS,7120,Multipurpose room,Access via Wellington St,Assistance,,-42.30141666,147.3703108
,Lyons,Old Beach,Old Beach Community Centre,Jetty Rd,,Old Beach,TAS,7017,,,Assistance,,-42.77671914,147.2692982
,Lyons,Orford,Orford Primary School,35 Charles St,,Orford,TAS,7190,Performing arts centre,,Assistance,,-42.563525,147.873845
,Lyons,Ouse,Ouse Online Access Centre,6947 Lyell Hwy,,Ouse,TAS,7140,,,Assistance,,-42.48533294,146.7111299
,Lyons,Perth,Perth Community Centre,173 Fairtlough St,,Perth,TAS,7300,Hall and function room,,Assistance,,-41.57255,147.17365
,Lyons,Pontville,Pontville Memorial Hall,244 Brighton Rd,,Pontville,TAS,7030,,,Assistance,,-42.68722595,147.2634687
,Lyons,Primrose Sands,Primrose Sands Community Hall,570 Primrose Sands Rd,,Primrose Sands,TAS,7173,,,Assistance,,-42.89213,147.67292
,Lyons,Prospect Vale,Launceston Residential Village,12 Casino Rise,,Prospect Vale,TAS,7250,,,Assistance,,-41.47909,147.10972
,Lyons,Railton,Sheffield School (Railton Campus),94 Foster St,,Railton,TAS,7305,Hall,,Assistance,,-41.3529486,146.4145571
,Lyons,Richmond,Richmond Primary School,Commercial Rd,,Richmond,TAS,7025,Hall,,Assistance,,-42.73937,147.43748
,Lyons,Ross,Ross Town Hall,12 Bridge St,,Ross,TAS,7209,,Access via Church St,Assistance,,-42.03136,147.49244
,Lyons,Scamander,Scamander Sports Complex,Coach Rd,,Scamander,TAS,7215,Dining room,,Assistance,,-41.45419039,148.2592652
,Lyons,Sheffield,Sheffield School,12 Henry St,,Sheffield,TAS,7306,Music room,,Assistance,,-41.38166,146.3289
,Lyons,Sorell,Sorell Memorial Hall,49 Cole St,,Sorell,TAS,7172,,,Assistance,,-42.7809503,147.5606303
,Lyons,St Helens,Portland Memorial Hall,39 Cecilia St,,St Helens,TAS,7216,,,Assistance,,-41.32219509,148.2494296
,Lyons,St Marys,St Marys Community Hall,23 Main St,,St Marys,TAS,7215,Supper room,,Assistance,,-41.57939,148.18508
,Lyons,Swansea,Swansea Town Hall,12 Franklin St,,Swansea,TAS,7190,,,Assistance,,-42.12448289,148.0768285
,Lyons,Taranna,Tasman Community Centre,33 Amy St,,Taranna,TAS,7180,Hall,Access via Gourlay Rd,Assistance,,-43.03802462,147.866748
,Lyons,Tea Tree,Tea Tree Community Hall,596 Tea Tree Rd,,Tea Tree,TAS,7017,,Access via Briar Banks Rd,Assistance,,-42.69026,147.31894
,Lyons,Triabunna,Triabunna Hall,3 Vicary St,,Triabunna,TAS,7190,,,Assistance,,-42.508166,147.909631
,Lyons,Tunnack,Tunnack Public Hall,Tunnack Rd,,Tunnack,TAS,7120,,,Assistance,,-42.45592,147.46179
,Lyons,Westbury,Westbury Town Hall,26 Lyall St,,Westbury,TAS,7303,Supper room,,None,,-41.528113,146.831023
,Lyons,Westerway,Westerway Primary School,1619 Gordon River Rd,,Westerway,TAS,7140,GP room,,Assistance,,-42.67788,146.78779
,Lyons,Wilmot,Wilmot Memorial Hall,53 Main St,,Wilmot,TAS,7310,,,Assistance,,-41.38628593,146.1746664
