ec_id,Division,Polling_Place_Name,Premise_Name,Premise_Address_Line_1,Premise_Address_Line_2,Premise_Locality,Premise_State,Premise_Postcode,Location_Within_Premise,Access_To_Location,Disabled_Access,VI_Vote_service,Premise_Latitude,Premise_Longitude
,Bass,Whitemark,Flinders Arts & Entertainment Centre,9 Patrick St,,Whitemark,TAS,7255,,,Assistance,,-40.1220889,148.0169627
,Bass,Winnaleah,Winnaleah Memorial Hall,20 Main St,,Winnaleah,TAS,7263,,,Assistance,,-41.09807,147.82404
,Bass,Youngtown,Youngtown Primary School,Cnr Victoria & Napier St,,Youngtown,TAS,7249,General purpose hall,,Assistance,,-41.48235,147.16386
,Braddon,Acton,Burnie Child and Family Centre,36 Thorne St,,Acton,TAS,7320,Hall,,Assistance,,-41.07219,145.89258
,Braddon,Boat Harbour,Boat Harbour Primary School,17386 Bass Hwy,,Boat Harbour,TAS,7321,Hall,,Assistance,,-40.94507,145.63715
,Braddon,Burnie,Burnie City Council Offices,80 Wilson St,,Burnie,TAS,7320,Ground floor,,Assistance,1,-41.05317,145.90595
,Braddon,Calder,Calder Hall,1320 Calder Rd,,Calder,TAS,7325,Main area,,Assistance,,-41.06851,145.63121
,Braddon,Cooee,Cooee Primary School,Bass Hwy,,Cooee,TAS,7320,Multipurpose room,,Assistance,,-41.040894,145.868525
,Braddon,Currie,Currie Town Hall,Cnr Meech and George St,,Currie,TAS,7256,,,Assistance,,-39.92984,143.85416
,Braddon,Devonport Central,Devonport Primary School,57A Stewart St,,Devonport,TAS,7310,Gym,,Assistance,,-41.17993727,146.3577969
,Braddon,Devonport North West,Nixon Street Primary School,60 Nixon St,,Devonport,TAS,7310,Gym,,Assistance,,-41.1727705,146.3374857
,Braddon,Devonport South,Reece High School,41-43 Middle Rd,,Devonport,TAS,7310,Staff room,,Assistance,,-41.18904,146.35208
,Braddon,Devonport West,TasTafe,20-36 Valley Rd,,Devonport,TAS,7310,Canteen,,Assistance,,-41.18583,146.34549
,Braddon,Don,Don Memorial Hall,17 Forth Rd,,Don,TAS,7310,,,Assistance,,-41.18256,146.31804
,Braddon,East Devonport,East Devonport Primary School,19-31 Thomas St,,East Devonport,TAS,7310,Multipurpose room,,Assistance,,-41.17836,146.37111
,Braddon,Edith Creek,Edith Creek Primary School,1282 Trowutta Rd,,Edith Creek,TAS,7330,Hall,,Assistance,,-40.96994,145.09329
,Braddon,Elliott,Elliott Community Centre,829 Murchison Hwy,,Elliott,TAS,7325,Main hall,,Assistance,,-41.09211,145.78229
,Braddon,Forest,Forest Primary School,422 Mengha Rd,,Forest,TAS,7330,Multipurpose room,,Assistance,,-40.84865,145.24893
,Braddon,Forth,Forth Community Hall,680 Forth Rd,,Forth,TAS,7315,,,Assistance,,-41.18918,146.24862
,Braddon,Gawler,Gawler Hall,15 Top Gawler Rd,,Gawler,TAS,7315,,,Assistance,,-41.18548,146.16007
,Braddon,Grassy,Grassy Fire Station,6 Fern Tree Dr,,Grassy,TAS,7256,,,Assistance,,-40.04806384,144.0508167
,Braddon,Havenview,Havenview Primary School,15 Marriott St,,Havenview,TAS,7320,Hall,,Assistance,,-41.08346,145.91081
,Braddon,Heybridge,Blythe Heads Hall,1 Sice Ave,,Heybridge,TAS,7316,,,Assistance,,-41.07515,145.98616
,Braddon,Highclere,Highclere Function Centre,1558 Ridgley Hwy,,Highclere,TAS,7321,Front of hall,,Assistance,,-41.19046,145.8061
,Braddon,Irishtown,Irishtown Community Centre,602 Irishtown Rd,,Irishtown,TAS,7330,,,Assistance,,-40.91220617,145.1442312
,Braddon,Latrobe,Latrobe Primary School,23 Lewis St,,Latrobe,TAS,7307,Enrichment Centre,Access via Bradshaw St,Assistance,,-41.23912,146.41612
,Braddon,Marrawah,Marrawah Memorial Hall,844 Comeback Rd,,Marrawah,TAS,7330,,,Assistance,,-40.92299,144.69693
,Braddon,Melrose,Melrose Memorial Hall,673 Melrose Rd,,Melrose,TAS,7310,,,Assistance,,-41.24115487,146.2884587
,Braddon,Montello,Montello Primary School,83 Bird St,,Montello,TAS,7320,Hall,,Assistance,,-41.05996,145.89764
,Braddon,Moorleah,Moorleah Community Centre,720 Preolenna Rd,,Moorleah,TAS,7321,Main hall,,Assistance,,-40.98099,145.61629
,Braddon,Natone,Natone Primary School,100 Upper Natone Rd,,Natone,TAS,7321,Entrance foyer,,Assistance,,-41.17022,145.92209
,Braddon,North Motton,North Motton Hall,578 Preston Rd,,North Motton,TAS,7315,,,Assistance,,-41.20705,146.10952
,Braddon,Penguin,Penguin District School,105 Ironcliffe Rd,,Penguin,TAS,7316,Community Learning Centre,,Assistance,,-41.125897,146.068702
,Braddon,Port Sorell,Port Sorell Memorial Hall,Cnr Darling and Meredith St,,Port Sorell,TAS,7307,,,Assistance,,-41.16525,146.5558
,Braddon,Preston,Preston Community Centre,1833 Preston Rd,,Preston,TAS,7315,Office,,Assistance,,-41.29604,146.06239
,Braddon,Queenstown,Queenstown Memorial Hall,53 Orr St,,Queenstown,TAS,7467,,,Assistance,,-42.080415,145.557426
,Braddon,Riana,Riana Community Centre,1201 Pine Rd,,Riana,TAS,7316,,,Assistance,,-41.2015,145.99908
,Braddon,Ridgley,Ridgley Primary School,904 Ridgley Hwy,,Ridgley,TAS,7321,Multipurpose room,,Assistance,,-41.13937,145.83787
,Braddon,Rocky Cape,Rocky Cape Public Hall,19074 Bass Hwy,,Rocky Cape,TAS,7321,Supper room,,Assistance,,-40.90489,145.48664
,Braddon,Romaine,Romaine Park Primary School,Cnr Roslyn Ave and Mount St,,Romaine,TAS,7320,Multipurpose room,,Assistance,,-41.07761,145.90144
,Braddon,Rosebery,Rosebery Neighbourhood Centre,8 Agnes St,,Rosebery,TAS,7470,Back room,Entrance via car park,Assistance,,-41.78006,145.53919
,Braddon,Sassafras,Sassafras Primary School,50 School Rd,,Sassafras,TAS,7307,Hall,,Assistance,,-41.28689,146.50295
,Braddon,Shorewell Park,Hellyer College,41-43 Mooreville Rd,,Shorewell Park,TAS,7320,Cafeteria K Block,,Assistance,,-41.06122,145.88163
,Braddon,Sisters Beach,Sisters Beach Fire Station,Honeysuckle Ave,,Sisters Beach,TAS,7325,,,None,,-40.91818,145.56498
,Braddon,Sisters Creek,Myalla Community Centre,29 Myalla Rd,,Sisters Creek,TAS,7325,,,Assistance,,-40.964713,145.573222
,Braddon,Smithton,Smithton Primary School,27-43 Grant St,,Smithton,TAS,7330,Assembly hall,,Assistance,,-40.84838841,145.1161808
,Braddon,Somerset,Somerset Primary School,30A Beaufort St,,Somerset,TAS,7322,Multipurpose room,,Assistance,,-41.03815,145.82063
,Braddon,South Riana,South Riana Hall,776 South Riana Rd,,South Riana,TAS,7316,,,Assistance,,-41.23446,145.97709
,Braddon,Sprent,Sprent Primary School,1245 Castra Rd,,Sprent,TAS,7315,Main hall,,None,,-41.26221,146.15948
,Braddon,Spreyton,Spreyton Primary School,1 Mersey Main Rd,,Spreyton,TAS,7310,Multipurpose room,,Assistance,,-41.21202,146.34454
,Braddon,Stanley,Stanley Primary School,Wilson St,,Stanley,TAS,7330,Multipurpose room,Access via Pearse St,Assistance,,-40.7595,145.29099
,Braddon,Stowport,Stowport Public Hall,580 Stowport Rd,,Stowport,TAS,7321,Main area,,Assistance,,-41.11224,145.92863
,Braddon,Strahan,Strahan Primary School,2 Bay St,,Strahan,TAS,7468,Hall,,Assistance,,-42.153392,145.320432
,Braddon,Sulphur Creek,Sulphur Creek Memorial Hall,310 Preservation Dr,,Sulphur Creek,TAS,7316,,,Assistance,,-41.09328,146.02373
,Braddon,Tullah,Tullah Town Hall,24 Farrell St,,Tullah,TAS,7321,,,Assistance,,-41.737851,145.616967
,Braddon,Turners Beach,Turners Beach Community Centre,Henry St,,Turners Beach,TAS,7315,Main hall,,Assistance,,-41.15871,146.2447
,Braddon,Ulverstone East,East Ulverstone Primary School,18 Crawford St,,Ulverstone,TAS,7315,Multipurpose room,,Assistance,,-41.15494,146.19089
,Braddon,Ulverstone South,Ulverstone Secondary College,38 Leven St,,Ulverstone,TAS,7315,Multipurpose hall,,Assistance,,-41.16199,146.17143
,Braddon,Ulverstone Central,Ulverstone Senior Citizens Club,16 King Edward St,,Ulverstone,TAS,7315,Main area,,Assistance,,-41.155037,146.171973
,Braddon,Waratah,Waratah Municipal Chambers,12-14 Smith St,,Waratah,TAS,7321,Council Chambers,,Assistance,,-41.44462,145.53128
,Braddon,Wesley Vale,Andrews Creek Primary School,20 Westwind Dr,,Wesley Vale,TAS,7307,Hall,,Assistance,,-41.1887792,146.4562247
,Braddon,West Ulverstone,West Ulverstone Primary School,34 Maud St,,West Ulverstone,TAS,7315,Hall,Josephine St entrance,Assistance,,-41.14851,146.15899
,Braddon,Wivenhoe,Leighland Christian School Burnie Campus,Hull St,,Wivenhoe,TAS,7320,Multipurpose hall,Car park via Hull St,Assistance,,-41.0695,145.93556
,Braddon,Wynyard West,Wynyard High School,30 Church St,,Wynyard,TAS,7325,Student centre,,Assistance,,-40.98684,145.71684
,Braddon,Wynyard Central,Wynyard Senior Citizens Clubrooms,28 Jackson St,,Wynyard,TAS,7325,Entrance foyer,,Assistance,,-40.99088,145.72865
,Braddon,Yolla,Yolla District High School,School Lane,,Yolla,TAS,7325,Classroom D1,,Assistance,,-41.12363,145.71977
,Braddon,Zeehan,Zeehan Primary School,7 Belstead St,,Zeehan,TAS,7469,Stadium,,Assistance,,-41.88794,145.33998
,Clark,Austins Ferry,St Virgil's College,195 Main Rd,,Austins Ferry,TAS,7011,Edmund Rice Hall,,Assistance,,-42.77386,147.25087
,Clark,Battery Point West,Albuera Street Primary School,Albuera St,,Battery Point,TAS,7004,Multipurpose room,,Assistance,,-42.89108,147.32598
