lon,lat,polling_place_name,state,wheelchairaccess,address
145.91081,-41.08346,Havenview Primary School,TAS,With Assistance,"15 Marriott St, BURNIE TAS 7320"
145.98616,-41.07515,Blythe Heads Hall,TAS,With Assistance,"1 Sice Ave, HEYBRIDGE TAS 7316"
145.8061,-41.19046,Highclere Community Centre,TAS,None,"1558 Ridgley Hwy, HIGHCLERE TAS 7321"
145.14526,-40.91318,Irishtown Lodge Arthur Temple,TAS,None,"604 Irishtown Rd, IRISHTOWN TAS 7330"
146.41612,-41.23912,Latrobe Primary School,TAS,With Assistance,"23 Lewis St, LATROBE TAS 7307"
144.69693,-40.92299,Marrawah Memorial Hall,TAS,With Assistance,"844 Comeback Rd, MARRAWAH TAS 7330"
146.28875,-41.24155,Melrose Memorial Hall,TAS,With Assistance,"673 Melrose Rd, MELROSE TAS 7310"
145.89764,-41.05996,Montello Primary School,TAS,With Assistance,"83 Bird St, MONTELLO TAS 7320"
145.61629,-40.98099,Moorleah Community Centre,TAS,With Assistance,"720 Preolenna Rd, MOORLEAH TAS 7321"
145.92209,-41.17022,Natone Primary School,TAS,With Assistance,"100 Upper Natone Rd, NATONE TAS 7321"
146.10952,-41.20705,North Motton Hall,TAS,With Assistance,"578 Preston Rd, NORTH MOTTON TAS 7315"
146.07072,-41.11192,Penguin Uniting Church Hall,TAS,With Assistance,"50 Main Rd, PENGUIN TAS 7316"
146.06239,-41.29604,Preston Community Centre,TAS,With Assistance,"1833 Preston Rd, PRESTON TAS 7315"
145.556024,-42.078921,West Coast Community Services Hub,TAS,None,"Hunter St, QUEENSTOWN TAS 7467"
145.99908,-41.2015,Riana Community Centre,TAS,None,"1221 Pine Rd, RIANA TAS 7316"
145.83787,-41.13937,Ridgley Primary School,TAS,With Assistance,"904 Ridgley Hwy, RIDGLEY TAS 7321"
145.48664,-40.90489,Rocky Cape Public Hall,TAS,With Assistance,"19074 Bass Hwy, ROCKY CAPE TAS 7321"
145.90144,-41.07761,Romaine Park Primary School,TAS,With Assistance,"Cnr Roslyn Ave and Mount St, ROMAINE TAS 7320"
145.53919,-41.78006,Rosebery Neighbourhood Centre,TAS,With Assistance,"8 Agnes St, ROSEBERY TAS 7470"
145.88163,-41.06122,Tasmanian Academy (Hellyer College),TAS,None,"41-43 Mooreville Rd, SHOREWELL PARK TAS 7320"
145.56498,-40.91818,Sisters Beach Fire Station,TAS,None,"Honeysuckle Ave, SISTERS BEACH TAS 7325"
145.573222,-40.964713,Myalla Community Centre,TAS,None,"Myalla Recreation Ground, 29 Myalla Rd, SISTERS CREEK TAS 7321"
145.12672,-40.84289,Smithton Primary School,TAS,Full,"27- 43 Grant St, SMITHTON TAS 7330"
145.82063,-41.03815,Somerset Primary School,TAS,With Assistance,"30A Beaufort St, SOMERSET TAS 7322"
145.97709,-41.23446,South Riana Hall,TAS,With Assistance,"776 South Riana Rd, SOUTH RIANA TAS 7316"
146.15948,-41.26221,Sprent Primary School,TAS,With Assistance,"1245 Castra Rd, SPRENT TAS 7315"
146.34454,-41.21202,Spreyton Primary School,TAS,With Assistance,"1 Mersey Main Rd, SPREYTON TAS 7310"
145.29099,-40.7595,Stanley Primary School,TAS,With Assistance,"Wilson St, STANLEY TAS 7330"
145.92863,-41.11224,Stowport Public Hall,TAS,With Assistance,"580 Stowport Rd, STOWPORT TAS 7321"
145.320432,-42.153392,Strahan Primary School,TAS,With Assistance,"2 Bay St, STRAHAN TAS 7468"
146.02373,-41.09328,Sulphur Creek Hall,TAS,With Assistance,"310 Preservation Dr, SULPHUR CREEK TAS 7316"
145.616967,-41.737851,Tullah Community Hall,TAS,None,"Farrell St, TULLAH TAS 7321"
146.2447,-41.15871,Turners Beach Community Centre,TAS,With Assistance,"Henry St, TURNERS BEACH TAS 7315"
146.19089,-41.15494,East Ulverstone Primary School,TAS,With Assistance,"18 Crawford St, ULVERSTONE TAS 7315"
146.17143,-41.16199,Ulverstone High School,TAS,With Assistance,"38 Leven St, ULVERSTONE TAS 7315"
146.171973,-41.155037,Ulverstone Senior Citizens Club,TAS,With Assistance,"16 King Edward St, ULVERSTONE TAS 7315"
145.53128,-41.44462,Waratah Municipal Chambers,TAS,With Assistance,"12-14 Smith St, WARATAH TAS 7321"
146.15899,-41.14851,West Ulverstone Primary School,TAS,With Assistance,"34 Maud St, ULVERSTONE TAS 7315"
145.93613,-41.06907,Wivenhoe Campus Leighland Christian School,TAS,With Assistance,"Stowport Rd, WIVENHOE TAS 7320"
145.71684,-40.98684,Wynyard High School,TAS,With Assistance,"30 Church St, WYNYARD TAS 7325"
145.72865,-40.99088,Wynyard Senior Citizens Clubrooms,TAS,With Assistance,"28 Jackson St, WYNYARD TAS 7325"
145.71977,-41.12363,Yolla District High School,TAS,With Assistance,"School La, YOLLA TAS 7325"
145.33998,-41.88794,Zeehan Primary School,TAS,With Assistance,"7 Belstead St, ZEEHAN TAS 7469"
147.25087,-42.77386,St Virgil's College,TAS,None,"195 Main Rd, AUSTINS FERRY TAS 7011"
147.32598,-42.89108,Albuera Street Primary School,TAS,None,"Albuera St, BATTERY POINT TAS 7004"
147.24084,-42.81133,Chigwell Barn,TAS,With Assistance,"10 Bucaan St, CHIGWELL TAS 7011"
147.24012,-42.78521,Austins Ferry Primary School,TAS,Full,"13 Brodie St, CLAREMONT TAS 7011"
147.25595,-42.79236,Claremont Girl Guides Hall,TAS,With Assistance,"3 Boxhill Rd, CLAREMONT TAS 7011"
147.25846,-42.79934,Windermere Primary School,TAS,Full,"2 Cadbury Rd, CLAREMONT TAS 7011"
147.19837,-42.83696,Collinsvale Primary School,TAS,With Assistance,"508 Collinsvale Rd, COLLINSVALE TAS 7012"
147.31855,-42.89913,Princes Street Primary School,TAS,With Assistance,"Randall St, SANDY BAY TAS 7005"
147.260428,-42.923168,Fern Tree Fire Station,TAS,None,"7 Summerleas Rd, FERN TREE TAS 7054"
147.267619,-42.830908,Glenorchy Primary School,TAS,With Assistance,"Kensington St, GLENORCHY TAS 7010"
147.2745434,-42.832916,St Matthews Church,TAS,With Assistance,"Cnr Tolosa St and Main Rd, GLENORCHY TAS 7010"
147.26505,-42.84555,Tolosa Hall,TAS,With Assistance,"148 Tolosa St, GLENORCHY TAS 7010"
147.29333,-42.83189,Goodwood Primary School,TAS,Full,"Elmsleigh Rd, MOONAH TAS 7009"
147.327484,-42.885213,Hobart Voting Centre,TAS,With Assistance,"Ground Level, 144 Macquarie St, HOBART TAS 7000"
147.32031,-42.88159,St Peter's Hall,TAS,None,"Cnr BrisbaneHarrington Sts, HOBART TAS 7000"
147.291106,-42.861704,Lenah Valley Primary School,TAS,With Assistance,"11 Creek Rd, LENAH VALLEY TAS 7008"
147.3089939,-42.8434243,Southern ITF Taekwon-Do,TAS,None,"12 Ashbolt Cres, LUTANA TAS 7009"
147.3072554,-42.8472392,Bowen Road Primary School,TAS,With Assistance,"35 Bowen Rd, MOONAH TAS 7009"
147.29633,-42.83843,Moonah Primary School,TAS,With Assistance,"40 Derwent Park Rd, DERWENT PARK TAS 7009"
147.29603,-42.84586,Salvation Army Community Centre,TAS,With Assistance,"73 Hopkins St, MOONAH TAS 7009"
147.32305,-42.91353,Mt Nelson Primary School,TAS,With Assistance,"388 Nelson Rd, MOUNT NELSON TAS 7007"
147.29906,-42.87507,Mt Stuart Primary School,TAS,None,"106 Gillon Cres, MOUNT STUART TAS 7000"
147.313782,-42.865999,Friends Junior School Hall,TAS,With Assistance,"393 Argyle St, NORTH HOBART TAS 7000"
147.30396,-42.86136,Sacred Heart College,TAS,None,"2 Cross St, NEW TOWN TAS 7008"
147.31425,-42.87271,Hobart North Uniting Church,TAS,With Assistance,"Swan St, NORTH HOBART TAS 7000"
147.265325,-42.819487,Montrose Bay High School,TAS,With Assistance,"865 Brooker Ave, ROSETTA TAS 7010"
147.333929,-42.896015,10th Hobart Scout Hall,TAS,With Assistance,"Marieville Esp, SANDY BAY TAS 7005"
147.35476,-42.91389,Harold Gregg Centre,TAS,With Assistance,"1 Southerwood Dr, SANDY BAY TAS 7005"
147.349511,-42.909612,Sandy Bay Infant School,TAS,Full,"568 Sandy Bay Rd, SANDY BAY TAS 7005"
147.33711,-42.90873,Waimea Heights Primary School,TAS,None,"12 Balfour Ct, SANDY BAY TAS 7005"
147.3266,-42.89916,Wellspring Anglican Church Hall,TAS,With Assistance,"43-47 Grosvenor St, SANDY BAY TAS 7005"
147.29921,-42.89504,Badminton Association Centre,TAS,None,"101 Cascade Rd, SOUTH HOBART TAS 7004"
147.31223,-42.89497,St Francis Xavier's Church Hall,TAS,With Assistance,"34 Angelsea St, SOUTH HOBART TAS 7004"
147.35492,-42.94294,Taroona Primary School,TAS,With Assistance,"104 Channel Hwy, TAROONA TAS 7053"
147.31741,-42.88763,Goulburn Street Primary School,TAS,None,"Forest Rd, WEST HOBART TAS 7000"
147.30889,-42.88187,Lansdowne Crescent Primary School,TAS,With Assistance,"15 Gourlay St, WEST HOBART TAS 7000"
147.38962,-42.87885,Clarence High School,TAS,With Assistance,"25 Wentworth St, BELLERIVE TAS 7018"
147.37101,-42.87607,Clarence Police & Community Youth Club Inc,TAS,With Assistance,"10 Scott St, BELLERIVE TAS 7018"
147.321846,-42.996627,Blackmans Bay Primary School,TAS,With Assistance,"177 Roslyn Ave, BLACKMANS BAY TAS 7052"
147.32839,-43.36172,Adventure Bay Hall,TAS,None,"Adventure Bay Rd, ADVENTURE BAY TAS 7150"
147.37342,-43.11257,Barnes Bay CWA Rooms,TAS,With Assistance,"678 Bruny Island Main Rd, NORTH BRUNY TAS 7150"
147.24625,-43.31727,Bruny Island District School,TAS,With Assistance,"15 School Rd, ALONNAH TAS 7150"
147.44195,-42.83624,Cambridge Primary School,TAS,With Assistance,"976 Cambridge Rd, CAMBRIDGE TAS 7170"
147.443036,-42.88748,Clarendon Vale Neighbourhood Centre,TAS,With Assistance,"65 Mockridge Rd, CLARENDON VALE TAS 7019"
147.03397,-43.10599,Cradoc Park,TAS,With Assistance,"8247 Channel Hwy, CRADOC TAS 7109"
147.07653,-43.16239,Carmel Hall,TAS,With Assistance,"25 Mary St, CYGNET TAS 7112"
147.01313,-43.31059,Dover District School,TAS,With Assistance,"6940 Huon Hwy, DOVER TAS 7117"
147.01185,-43.08553,Franklin Primary School,TAS,With Assistance,"10 New Rd, FRANKLIN TAS 7113"
146.922048,-43.162271,Geeveston Primary School,TAS,With Assistance,"63 Arve Rd, GEEVESTON TAS 7116"
147.349976,-42.838335,Lindisfarne North Primary School,TAS,None,"271 East Derwent Hwy, GEILSTON BAY TAS 7015"
146.9624,-43.02819,Glen Huon Primary School,TAS,With Assistance,"801 Glen Huon Rd, GLEN HUON TAS 7109"
147.29143,-43.02331,Howden Fire Station,TAS,With Assistance,"Howden Rd, HOWDEN TAS 7054"
147.40387,-42.88177,Howrah Scout Hall,TAS,With Assistance,"Howrah Primary School, Howrah Rd, HOWRAH TAS 7018"
147.40872,-42.891,Tranmere Hall,TAS,With Assistance,"27 Tranmere Rd, HOWRAH TAS 7018"
147.046989,-43.023734,Huonville Primary School,TAS,Full,"82 Wilmot Rd, HUONVILLE TAS 7109"
146.92811,-42.9981,Judbury Hall,TAS,With Assistance,"1273 Glen Huon Rd, JUDBURY TAS 7109"
147.2467,-43.12566,Kettering Community Centre,TAS,With Assistance,"2963 Channel Hwy, KETTERING TAS 7050"
147.31149,-42.97557,Kingborough Council,TAS,Full,"15 Channel Hwy, KINGSTON TAS 7050"
147.3089,-42.99049,Southern Christian College,TAS,With Assistance,"150 Redwood Rd, KINGSTON TAS 7050"
147.32245,-42.98102,Kingston Beach Community Hall,TAS,With Assistance,"20 Beach Rd, KINGSTON BEACH TAS 7050"
147.48638,-42.91365,Lauderdale Community Hall,TAS,With Assistance,"528a South Arm Rd, LAUDERDALE TAS 7021"
147.36341,-42.85178,Lindisfarne Primary School,TAS,With Assistance,"17 Loatta Rd, LINDISFARNE TAS 7018"
147.355727,-42.846653,St Aidans Church Hall,TAS,With Assistance,"54 Lincoln St, LINDISFARNE TAS 7015"
147.2628,-43.02898,Margate Hall,TAS,With Assistance,"Channel Hwy, MARGATE TAS 7054"
147.25573,-43.2313,South Channel Community Centre,TAS,With Assistance,"McDowall St, MIDDLETON TAS 7163"
147.35336,-42.86439,Montagu Bay Primary School,TAS,Full,"10 Conara Rd, MONTAGU BAY TAS 7018"
147.40216,-42.85588,Citywide Baptist Church,TAS,With Assistance,"400 Cambridge Rd, MORNINGTON TAS 7018"
147.10932,-42.96129,Mountain River Memorial Hall,TAS,With Assistance,"263 Mountain River Rd, MOUNTAIN RIVER TAS 7109"
147.2661143,-42.7743122,Old Beach Community Centre,TAS,With Assistance,"Jetty Rd, OLD BEACH TAS 7017"
147.03856,-43.00901,Ranelagh Soldiers Memorial Hall,TAS,With Assistance,"40 Marguerite St, RANELAGH TAS 7109"
147.43748,-42.73937,Richmond Primary School,TAS,With Assistance,"Commercial Rd, RICHMOND TAS 7025"
147.35367,-42.81283,Risdon Vale Primary School,TAS,None,"2 Heather Rd, RISDON VALE TAS 7016"
147.439002,-42.900608,Emmanuel Christian School,TAS,Full,"1 Chipmans Rd, ROKEBY TAS 7019"
147.19567,-42.98497,Sandfly Hall,TAS,With Assistance,"811 Sandfly Rd, SANDFLY TAS 7150"
147.49566,-42.94002,Sandford Hall,TAS,None,"949 South Arm Rd, SANDFORD TAS 7020"
147.5113,-42.85432,Wyndham Vacation Resort,TAS,With Assistance,"78 Surf Rd, SEVEN MILE BEACH TAS 7170"
147.25411,-43.06542,Snug Primary School,TAS,With Assistance,"2208 Channel Hwy, SNUG TAS 7054"
147.42013,-43.02613,South Arm Primary School,TAS,With Assistance,"32 Harmony Lane, SOUTH ARM TAS 7022"
146.961547,-43.415763,Southport Community Centre,TAS,With Assistance,"8606 Huon Hwy, SOUTHPORT TAS 7109"
147.38279,-42.86044,Warrane Primary School,TAS,With Assistance,"213 Cambridge Rd, WARRANE TAS 7018"
147.23914,-43.15999,Woodbridge Hall,TAS,With Assistance,"3445 Channel Hwy, WOODBRIDGE TAS 7162"
147.72662,-41.7824,Avoca Primary School,TAS,None,"26-30 St Pauls Pl, AVOCA TAS 7213"
147.22359,-42.62434,Bagdad Primary School,TAS,None,"46-48 School Rd, BAGDAD TAS 7030"
146.8156035,-41.1995958,Beaconsfield Senior Citizens' Hall,TAS,With Assistance,"Weld St, BEACONSFIELD TAS 7270"
146.8174034,-41.148875,Beauty Point Uniting Church Hall,TAS,With Assistance,"Beatty St, BEAUTY POINT TAS 7270"
148.29926,-41.8744,Bicheno Beachfront,TAS,With Assistance,"Sinclair St, BICHENO TAS 7215"
147.00667,-42.38173,Bothwell Council Chambers,TAS,With Assistance,"Alexander St, BOTHWELL TAS 7030"
146.94335,-41.65121,Bracknell War Memorial Hall,TAS,With Assistance,"Louisa St, BRACKNELL TAS 7302"
147.24375,-42.73918,Brighton Civic Centre,TAS,With Assistance,"25 Green Point Rd, BRIDGEWATER TAS 7030"
147.25845,-42.69909,Brighton Primary School,TAS,With Assistance,"27 Downie St, BRIGHTON TAS 7030"
147.12662,-42.65628,Broadmarsh Hall,TAS,With Assistance,"1218 Elderslie Rd, BROADMARSH TAS 7030"
147.42106,-42.66717,Campania Hall,TAS,With Assistance,"45 Reeve St, CAMPANIA TAS 7026"
147.49458,-41.927,Campbell Town Town Hall,TAS,With Assistance,"75 High St, CAMPBELL TOWN TAS 7210"
147.01128,-41.53099,Carrick Public Hall,TAS,With Assistance,"29 Meander Valley Rd, CARRICK TAS 7291"
146.48139,-41.55698,Chudleigh Memorial Hall,TAS,With Assistance,"54 Sorell St, CHUDLEIGH TAS 7304"
146.27413,-41.43442,Claude Road Memorial Hall,TAS,None,"787 Claude Rd, CLAUDE ROAD TAS 7306"
147.3614,-42.53141,Colebrook Fire Station,TAS,With Assistance,"Colebrook Rd, COLEBROOK TAS 7027"
148.28572,-42.12505,Coles Bay Community Hall,TAS,None,"Harold St, COLES BAY TAS 7215"
147.80428,-42.82049,Copping Hall,TAS,With Assistance,"69 Allanby St, COPPING TAS 7174"
147.08074,-41.68551,Cressy Community Hall,TAS,With Assistance,"Main St, CRESSY TAS 7302"
146.65926,-41.52934,Deloraine High School Hall,TAS,With Assistance,"24 Lansdowne Pl, DELORAINE TAS 7304"
147.62373,-42.84863,Dodges Ferry Community Recreation Centre,TAS,With Assistance,"532 Old Forcett Rd, DODGES FERRY TAS 7173"
147.1787,-42.72826,Dromedary (Millvale) Community Hall,TAS,None,"14 Millvale Rd, DROMEDARY TAS 7030"
147.8124,-42.88612,Dunalley Primary School,TAS,With Assistance,"20-32 Bay St, DUNALLEY TAS 7177"
146.56389,-41.46167,Elizabeth Town Fire Station,TAS,With Assistance,"5816 Bass Hwy, ELIZABETH TOWN TAS 7304"
147.34904,-41.75814,Epping Forest Public Hall,TAS,With Assistance,"13515 Midland Hwy, EPPING FOREST TAS 7211"
147.24676,-41.56717,Evandale Primary School,TAS,With Assistance,"5-11 Barclay St, EVANDALE TAS 7212"
146.95752,-41.30062,Exeter High School,TAS,With Assistance,"28 Glen Ard Mohr Rd, EXETER TAS 7275"
147.97027,-41.63781,Fingal Activity Centre,TAS,With Assistance,"29 Talbot St, FINGAL TAS 7214"
147.63178,-42.80609,Forcett Public Hall,TAS,With Assistance,"699 Arthur Hwy, FORCETT TAS 7173"
146.77437,-41.34181,Frankford Memorial Hall,TAS,With Assistance,"Frankford Rd, FRANKFORD TAS 7275"
147.27517,-42.74903,Gagebrook Primary School,TAS,With Assistance,"4 Tottenham Rd, GAGEBROOK TAS 7030"
146.87177,-41.33816,Glengarry Fire Station,TAS,With Assistance,"Frankford Rd, GLENGARRY TAS 7275"
146.88985,-42.69655,Glenora District High School,TAS,None,"620 Gordon River Rd, GLENORA TAS 7140"
147.22395,-42.74976,Granton Memorial Hall,TAS,With Assistance,"Lyell Hwy, GRANTON TAS 7030"
146.97134,-41.28332,Gravelly Beach Main Hall,TAS,With Assistance,"Edinburgh Park, off Gravelly Beach Rd, GRAVELLY BEACH TAS 7276"
146.9019556,-41.5247212,Hagley Farm Primary School,TAS,With Assistance,"2508 Meander Valley Rd, HAGLEY TAS 7292"
146.79368,-41.10353,Kelso Community Centre,TAS,None,"Foreshore Rd, KELSO TAS 7270"
147.20088,-42.53226,Kempton Council Chambers,TAS,With Assistance,"Main St, KEMPTON TAS 7030"
147.0426,-42.83039,Lachlan Community Hall,TAS,With Assistance,"511 Lachlan Rd, LACHLAN TAS 7140"
147.568377,-42.542723,Levendale Community Hall,TAS,None,"Woodsdale Rd, LEVENDALE TAS 7120"
147.12275,-41.59797,Longford War Memorial Hall,TAS,With Assistance,"Wellington St, LONGFORD TAS 7301"
146.29118,-41.29085,Lower Barrington Public Hall,TAS,None,"1027 Sheffield Rd, LOWER BARRINGTON TAS 7306"
147.07053,-42.73504,Magra CWA Building,TAS,With Assistance,"Back River Rd, MAGRA TAS 7140"
147.89034,-41.47175,Mathinna Community Centre,TAS,None,"21 High St, MATHINNA TAS 7214"
146.6212121,-42.753977,Giant's Table and Cottages,TAS,With Assistance,"9-13 Junee Rd, MAYDENA TAS 7140"
146.609387,-41.652762,Meander Memorial Hall,TAS,Full,"124 Main Rd, MEANDER TAS 7304"
147.53265,-42.79979,Midway Point Community Hall,TAS,With Assistance,"Raynors Rd, MIDWAY POINT TAS 7171"
146.70828,-41.9937,Miena Community Centre,TAS,With Assistance,"55-57 Cider Gum Rd, MIENA TAS 7030"
146.4077532,-41.5572934,Mole Creek Primary School,TAS,With Assistance,"4 Caveside Rd, MOLE CREEK TAS 7304"
147.1602846,-42.8043361,Molesworth Community Hall,TAS,With Assistance,"560 Molesworth Rd, MOLESWORTH TAS 7140"
146.48104,-41.217,Moriarty Hall,TAS,With Assistance,"1 Bonneys La, MORIARTY TAS 7307"
147.050038,-42.774295,Fairview Primary School,TAS,Full,"211 Back River Rd, NEW NORFOLK TAS 7140"
147.06366,-42.779,New Norfolk Primary School,TAS,With Assistance,"8 Pioneer Ave, NEW NORFOLK TAS 7140"
147.74416,-43.09998,Tasman Civic Centre,TAS,With Assistance,"21 Clarke St, NUBEENA TAS 7184"
147.37201,-42.3,Oatlands Council Chambers,TAS,With Assistance,"71 High St, OATLANDS TAS 7120"
147.871666,-42.563502,Orford Primary School,TAS,Full,"35 Charles St, ORFORD TAS 7190"
