name,premises,address,lat,lon,state,wheelchair_access
Avoca,Bundaberg Church of Christ,"76 Twyford Street, AVOCA, QLD Australia 4670",-24.8885913,152.3148363,QLD,Assisted Access
Avondale,Avondale State School,"371 Avondale Road, AVONDALE, QLD Australia 4670",-24.73615189,152.1607089,QLD,Full Access
Ayr,PCYC Burdekin,"164 MacMillan Street, AYR, QLD Australia 4807",-19.582476,147.401396,QLD,Full Access
Babinda,Babinda RSL Memorial Hall,"26 School St, Babinda, QLD Australia 4861",-17.3433938,145.9211668,QLD,Full Access
Baffle Creek,Wartburg State School,"585 Coast Road, BAFFLE CREEK, QLD Australia 4674",-24.5022928,151.9311339,QLD,Full Access
Bajool,Bajool State School,"Toonda Street, BAJOOL, QLD Australia 4699",-23.6525368275,150.64704678310002,QLD,Full Access
Mooroobool,Balaclava State School,"418 Mulgrave Road, WESTCOURT CAIRNS, QLD Australia 4870",-16.93807438,145.74461281,QLD,Full Access
Bald Hills,Bald Hills State School Hall,"2156 Gympie Road, BALD HILLS, QLD Australia 4036",-27.32000097,153.00654888,QLD,Full Access
Ballandean,Ballandean State School,"7 Bents Road, BALLANDEAN, QLD Australia 4382",-28.79912242,151.84118421,QLD,Assisted Access
Balmoral,Balmoral State High School,"259 Thynne Road, MORNINGSIDE, QLD Australia 4170",-27.455835,153.073392,QLD,No Access
Banana,Banana State School,"32 Bramston Street, BANANA, QLD Australia 4702",-24.470187549999192,150.13025691454163,QLD,Assisted Access
Banksia Beach,Banksia Beach State School,"133 Sunderland Drive, BANKSIA BEACH, QLD Australia 4507",-27.04613578,153.14853966,QLD,Assisted Access
Banyo,St Oswald's Anglican Church Hall,"9 Froude Street, BANYO, QLD Australia 4014",-27.37472083,153.07579815,QLD,Full Access
Banyo East,Earnshaw State College,"Cnr Earnshaw and Tufnell Roads, NUDGEE, QLD Australia 4014",-27.378269,153.081467,QLD,Full Access
Baralaba,Baralaba State School,"1 Power Street, BARALABA, QLD Australia 4702",-24.181313,149.808848,QLD,Full Access
Barcaldine,Barcaldine State School,"Gidyea Street, Barcaldine, QLD Australia 4725",-23.5588339,145.29482245,QLD,Assisted Access
Bardon,St Joseph's Church Hall,"41 The Drive, BARDON, QLD Australia 4065",-27.458586,152.980265,QLD,Full Access
Baree,Baree School of Arts,"18 Creek St, Baree, QLD Australia 4714",-23.6205946,150.3906646,QLD,Full Access
Soldiers Hill,Barkly Highway State School,"3-17 Bougainville Street, SOLDIERS HILL, QLD Australia 4825",-20.70807,139.489813,QLD,Assisted Access
Bauple,Bauple State School,"8 Forestry Road, BAUPLE, QLD Australia 4650",-25.8123965,152.6229018,QLD,Assisted Access
Bayview Heights,St Mary's Catholic College,"58-63 Anderson Road, WOREE, QLD Australia 4868",-16.96767176,145.74029446,QLD,Full Access
Beachmere,Beachmere State School,"James Road, Beachmere, QLD Australia 4510",-27.13064654,153.0483216,QLD,Full Access
Beaudesert,St Mary's Catholic Primary School,"1 Bromelton Street, BEAUDESERT, QLD Australia 4285",-27.990637999999997,152.99184233,QLD,Full Access
Beechmont,Beechmont State School,"1922 Beechmont Road, BEECHMONT, QLD Australia 4211",-28.124972,153.18577399999998,QLD,Full Access
Beenleigh,Beenleigh State School,"22 James Street, BEENLEIGH, QLD Australia 4207",-27.7187833,153.2002034,QLD,Full Access
Beenleigh Central,Beenleigh State High School,"40 Alamein Street, BEENLEIGH, QLD Australia 4207",-27.7152961,153.20447177,QLD,Assisted Access
Beerburrum,Beerburrum School of Arts Hall,"7 Anzac Avenue, BEERBURRUM, QLD Australia 4517",-26.959229,152.95707199999998,QLD,Full Access
Beerwah,Beerwah & District Community Hall,"25 Peachester Road, BEERWAH, QLD Australia 4519",-26.8576862,152.9552865,QLD,Full Access
Belgian Gardens,Belgian Gardens State School,"43 Potts Street, BELGIAN GARDENS, QLD Australia 4810",-19.2509304,146.79327875,QLD,Full Access
Bell,Bell State School,"90 Dennis Street, BELL, QLD Australia 4408",-26.93964861,151.4526701,QLD,Full Access
Bell Hilltop,Aldridge State High School,"68 Boys Avenue, MARYBOROUGH, QLD Australia 4650",-25.51556604,152.68846035,QLD,Full Access
Bellara,Bribie Island Volunteer Marine Rescue,"4 Marine Parade, BELLARA, QLD Australia 4507",-27.062991999999998,153.144283,QLD,Full Access
Belmont,Belmont State School Hall,"1275 Old Cleveland Road, CARINDALE, QLD Australia 4152",-27.503956,153.113823,QLD,Full Access
Benaraby,Benaraby State School,"17 O'Connor Road, BENARABY, QLD Australia 4680",-24.00394948,151.3239187,QLD,Full Access
Benowa,Benowa State High School,"Mediterranean Drive, BENOWA, QLD Australia 4217",-28.00503943,153.38845789,QLD,Assisted Access
Berrinba East,Berrinba East State School,"165 Bardon Road, BERRINBA, QLD Australia 4117",-27.652210999999998,153.097489,QLD,Assisted Access
Berserker,Berserker Street State School,"128-140 Berserker Street, BERSERKER, QLD Australia 4701",-23.366138,150.530124,QLD,Full Access
Bethania,Bethania Community Centre,"88-118 Station Road, BETHANIA, QLD Australia 4205",-27.68618349,153.15724611,QLD,Full Access
Biboohra,Biboohra State School,"2 Petersen Street, BIBOOHRA, QLD Australia 4880",-16.916204999999998,145.418715,QLD,Full Access
Nerang,Nerang Bicentennial Centre Auditorium,"833 Southport-Nerang Road, NERANG, QLD Australia 4211",-27.984088,153.339376,QLD,Full Access
Biddeston,Biddeston State School,"2425 Toowoomba-Cecil Plains Road, BIDDESTON, QLD Australia 4401",-27.555045,151.69752599999998,QLD,Full Access
Biggenden,Biggenden State School,"9 Frederick Street, BIGGENDEN, QLD Australia 4621",-25.51107815,152.0479247,QLD,Assisted Access
Biggera Waters,Biggera Waters State School Activities Centre,"Coombabah Road, BIGGERA WATERS, QLD Australia 4216",-27.927597,153.396775,QLD,Full Access
Birkdale,Birkdale State School,"74 Agnes Street, BIRKDALE, QLD Australia 4159",-27.491515999999997,153.216328,QLD,Assisted Access
Birkdale South,Birkdale South State School,"451 Old Cleveland Road, BIRKDALE, QLD Australia 4159",-27.506057,153.21262,QLD,Assisted Access
Blackall,Blackall Cultural Centre,"17 Hawthorn Street, Blackall, QLD Australia 4472",-24.426475999999997,145.468288,QLD,Full Access
Blackbutt,Blackbutt State School,"25 Crofton Street, BLACKBUTT, QLD Australia 4306",-26.89031563,152.10357785,QLD,Full Access
Blackwater,Blackwater State School,"43 Wey Street, BLACKWATER, QLD Australia 4717",-23.58419486,148.87768507,QLD,Assisted Access
Blenheim,Blenheim State School,"81 Blenheim Road, BLENHEIM, QLD Australia 4341",-27.65031342,152.33158708,QLD,Full Access
Bli Bli,Bli Bli State School,"12-38 School Road, BLI BLI, QLD Australia 4560",-26.613877,153.03216398,QLD,Full Access
Bloomsbury,Bloomsbury State School,"8545 Bruce Highway, BLOOMSBURY, QLD Australia 4799",-20.70267131,148.59528065,QLD,Assisted Access
Bluewater,Bluewater State School,"Buckby Street, BLUEWATER, QLD Australia 4818",-19.175134,146.555846,QLD,Full Access
Bluff,Bluff State School,"32 Main Street, BLUFF, QLD Australia 4702",-23.58210048,149.06894267,QLD,Assisted Access
Bollon,Bollon State School,"60 Main Street, BOLLON, QLD Australia 4488",-28.03169209,147.47594655,QLD,Assisted Access
Bonogin,St Benedict's Catholic Church,"2A Wallaby Drive, MUDGEERABA, QLD Australia 4213",-28.0977502,153.35612655,QLD,No Access
Boondall,Boondall State School,"Sandgate Road (access via Roscommon Road), Boondall, QLD Australia 4034",-27.34808377,153.05925429,QLD,Full Access
Durong,Durong Community Hall,"8940 Chinchilla Wondai Road, DURONG SOUTH, QLD Australia 4610",-26.395604,151.244911,QLD,Assisted Access
Booyal,Booyal Central State School,"31620 Bruce Highway, BOOYAL, QLD Australia 4671",-25.20959816,152.03286141,QLD,Full Access
Boreen Point,Lake Cootharaba Sailing Club,"24 Boreen Parade, BOREEN POINT, QLD Australia 4565",-26.2845822,152.99790412,QLD,Assisted Access
